timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-01,202016.02860000,202615.86000000,201896.68426500,202428.86187000,29233.20000000,29320.00000000,29215.93000000,29292.94000000,1281.33674000,1281.33674000
2023-04-30,201997.02472500,207103.46959500,200954.50669500,202016.09770500,29230.45000000,29969.39000000,29079.59000000,29233.21000000,39752.53720000,39752.53720000
2023-04-29,202558.43374500,203506.48524000,200618.72550000,201997.02472500,29311.69000000,29448.88000000,29031.00000000,29230.45000000,20466.83058000,20466.83058000
2023-04-28,203671.57708500,204547.62117000,199651.25550000,202558.50285000,29472.77000000,29599.54000000,28891.00000000,29311.70000000,54298.16578000,54298.16578000
2023-04-27,196363.86154500,206554.84500000,196112.11203000,203671.57708500,28415.29000000,29890.00000000,28378.86000000,29472.77000000,95430.82431000,95430.82431000
2023-04-26,195572.67840000,207563.77800000,188207.46750000,196363.86154500,28300.80000000,30036.00000000,27235.00000000,28415.29000000,129228.40403000,129228.40403000
2023-04-25,190114.28176500,196258.13089500,187910.31600000,195572.60929500,27510.93000000,28399.99000000,27192.00000000,28300.79000000,52325.14637000,52325.14637000
2023-04-24,190664.77219500,193494.00000000,186188.35761000,190114.28176500,27590.59000000,28000.00000000,26942.82000000,27510.93000000,53111.56874000,53111.56874000
2023-04-23,192228.34192500,192228.34192500,188734.39312500,190664.84130000,27816.85000000,27816.85000000,27311.25000000,27590.60000000,34812.09581000,34812.09581000
2023-04-22,188399.85582000,192683.53656000,187553.38867500,192228.34192500,27262.84000000,27882.72000000,27140.35000000,27816.85000000,36023.69686000,36023.69686000
2023-04-21,195177.74332500,196078.66521000,187447.31250000,188399.85582000,28243.65000000,28374.02000000,27125.00000000,27262.84000000,77684.76790000,77684.76790000
2023-04-20,199002.35955000,201014.69715000,193563.10500000,195177.74332500,28797.10000000,29088.30000000,28010.00000000,28243.65000000,76879.09372000,76879.09372000
2023-04-19,209941.05910500,210172.69906500,197087.46000000,199002.35955000,30380.01000000,30413.53000000,28520.00000000,28797.10000000,86575.48656000,86575.48656000
2023-04-18,203377.88083500,210666.59250000,201073.29819000,209941.05910500,29430.27000000,30485.00000000,29096.78000000,30380.01000000,62004.89434000,62004.89434000
2023-04-17,209420.35293000,209499.13263000,202067.51182500,203377.88083500,30304.66000000,30316.06000000,29240.65000000,29430.27000000,56441.81127000,56441.81127000
2023-04-16,209354.28855000,211115.70589500,208144.26000000,209420.28382500,30295.10000000,30549.99000000,30120.00000000,30304.65000000,26431.99322000,26431.99322000
2023-04-15,210541.71976500,211430.89380000,208710.92100000,209354.21944500,30466.93000000,30595.60000000,30202.00000000,30295.09000000,25429.81247000,25429.81247000
2023-04-14,209898.42132000,214225.50000000,207080.04300000,210541.71976500,30373.84000000,31000.00000000,29966.00000000,30466.93000000,75984.19452000,75984.19452000
2023-04-13,206541.50773500,211426.74750000,206310.14419500,209898.42132000,29888.07000000,30595.00000000,29854.59000000,30373.84000000,51934.11731000,51934.11731000
2023-04-12,208700.07151500,210673.50300000,204809.25270000,206541.50773500,30200.43000000,30486.00000000,29637.40000000,29888.07000000,62049.48451000,62049.48451000
