,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD),time_frame,symbol
0,2023-05-02,68.9,69.1,68.7,68.9,68.9,69.1,68.7,68.9,1278.294,1278.294,daily,AAVE
1,2023-05-01,70.2,70.8,67.6,68.9,70.2,70.8,67.6,68.9,44700.692,44700.692,daily,AAVE
2,2023-04-30,71.8,72.6,70.2,70.2,71.8,72.6,70.2,70.2,33289.515,33289.515,daily,AAVE
3,2023-04-29,72.2,72.8,71.3,71.8,72.2,72.8,71.3,71.8,28775.068,28775.068,daily,AAVE
4,2023-04-28,71.4,72.3,70.1,72.1,71.4,72.3,70.1,72.1,41334.995,41334.995,daily,AAVE
5,2023-04-27,69.4,72.1,68.8,71.4,69.4,72.1,68.8,71.4,61645.387,61645.387,daily,AAVE
6,2023-04-26,71.2,74.7,65.9,69.4,71.2,74.7,65.9,69.4,117744.965,117744.965,daily,AAVE
7,2023-04-25,69.8,71.4,68.3,71.3,69.8,71.4,68.3,71.3,38830.916,38830.916,daily,AAVE
8,2023-04-24,70.4,71.5,68.0,69.9,70.4,71.5,68.0,69.9,32704.065,32704.065,daily,AAVE
9,2023-04-23,70.8,71.1,68.3,70.4,70.8,71.1,68.3,70.4,31138.637,31138.637,daily,AAVE
10,2023-04-22,69.1,71.0,68.6,70.9,69.1,71.0,68.6,70.9,28874.71,28874.71,daily,AAVE
11,2023-04-21,72.4,73.4,68.1,69.2,72.4,73.4,68.1,69.2,59572.554,59572.554,daily,AAVE
12,2023-04-20,73.9,75.4,71.5,72.4,73.9,75.4,71.5,72.4,64911.668,64911.668,daily,AAVE
13,2023-04-19,81.9,82.1,71.7,74.0,81.9,82.1,71.7,74.0,146285.229,146285.229,daily,AAVE
14,2023-04-18,81.0,84.3,79.5,82.0,81.0,84.3,79.5,82.0,90285.473,90285.473,daily,AAVE
15,2023-04-17,83.4,84.5,80.1,81.1,83.4,84.5,80.1,81.1,83906.782,83906.782,daily,AAVE
16,2023-04-16,82.4,83.7,80.7,83.4,82.4,83.7,80.7,83.4,81136.176,81136.176,daily,AAVE
