timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.17330000,0.17400000,0.17220000,0.17360000,0.17330000,0.17400000,0.17220000,0.17360000,1691225.00000000,1691225.00000000
2023-05-07,0.17510000,0.17560000,0.17300000,0.17320000,0.17510000,0.17560000,0.17300000,0.17320000,13931730.00000000,13931730.00000000
2023-05-06,0.18120000,0.18300000,0.17200000,0.17520000,0.18120000,0.18300000,0.17200000,0.17520000,24088285.00000000,24088285.00000000
2023-05-05,0.17690000,0.18320000,0.17680000,0.18120000,0.17690000,0.18320000,0.17680000,0.18120000,29724373.00000000,29724373.00000000
2023-05-04,0.18100000,0.18130000,0.17520000,0.17700000,0.18100000,0.18130000,0.17520000,0.17700000,22703967.00000000,22703967.00000000
2023-05-03,0.17880000,0.18210000,0.17430000,0.18100000,0.17880000,0.18210000,0.17430000,0.18100000,23462981.00000000,23462981.00000000
2023-05-02,0.17740000,0.17950000,0.17420000,0.17880000,0.17740000,0.17950000,0.17420000,0.17880000,17149618.00000000,17149618.00000000
2023-05-01,0.18030000,0.18150000,0.17460000,0.17740000,0.18030000,0.18150000,0.17460000,0.17740000,23230157.00000000,23230157.00000000
2023-04-30,0.18360000,0.18480000,0.17930000,0.18010000,0.18360000,0.18480000,0.17930000,0.18010000,18586561.00000000,18586561.00000000
2023-04-29,0.18360000,0.18580000,0.18180000,0.18360000,0.18360000,0.18580000,0.18180000,0.18360000,18026367.00000000,18026367.00000000
2023-04-28,0.18400000,0.18490000,0.18000000,0.18360000,0.18400000,0.18490000,0.18000000,0.18360000,20476690.00000000,20476690.00000000
2023-04-27,0.18100000,0.18530000,0.17960000,0.18400000,0.18100000,0.18530000,0.17960000,0.18400000,30360821.00000000,30360821.00000000
2023-04-26,0.18770000,0.19310000,0.17150000,0.18100000,0.18770000,0.19310000,0.17150000,0.18100000,55200029.00000000,55200029.00000000
2023-04-25,0.18530000,0.18900000,0.17950000,0.18770000,0.18530000,0.18900000,0.17950000,0.18770000,37049004.00000000,37049004.00000000
2023-04-24,0.18810000,0.19030000,0.18160000,0.18530000,0.18810000,0.19030000,0.18160000,0.18530000,23834132.00000000,23834132.00000000
2023-04-23,0.18980000,0.19000000,0.18220000,0.18810000,0.18980000,0.19000000,0.18220000,0.18810000,24711836.00000000,24711836.00000000
2023-04-22,0.18530000,0.19050000,0.18470000,0.18980000,0.18530000,0.19050000,0.18470000,0.18980000,26642828.00000000,26642828.00000000
2023-04-21,0.19040000,0.19140000,0.18140000,0.18530000,0.19040000,0.19140000,0.18140000,0.18530000,57044330.00000000,57044330.00000000
2023-04-20,0.19900000,0.20030000,0.18800000,0.19050000,0.19900000,0.20030000,0.18800000,0.19050000,98157054.00000000,98157054.00000000
2023-04-19,0.22230000,0.22250000,0.19600000,0.19910000,0.22230000,0.22250000,0.19600000,0.19910000,83227086.00000000,83227086.00000000
2023-04-18,0.22100000,0.22600000,0.21750000,0.22230000,0.22100000,0.22600000,0.21750000,0.22230000,62662963.00000000,62662963.00000000
2023-04-17,0.23440000,0.23530000,0.21910000,0.22100000,0.23440000,0.23530000,0.21910000,0.22100000,84428222.00000000,84428222.00000000
2023-04-16,0.23140000,0.23520000,0.22560000,0.23450000,0.23140000,0.23520000,0.22560000,0.23450000,33928545.00000000,33928545.00000000
2023-04-15,0.22720000,0.23330000,0.22350000,0.23140000,0.22720000,0.23330000,0.22350000,0.23140000,40173152.00000000,40173152.00000000
2023-04-14,0.22120000,0.23210000,0.22000000,0.22730000,0.22120000,0.23210000,0.22000000,0.22730000,64815365.00000000,64815365.00000000
2023-04-13,0.21510000,0.22280000,0.21300000,0.22120000,0.21510000,0.22280000,0.21300000,0.22120000,38220834.00000000,38220834.00000000
2023-04-12,0.21990000,0.22060000,0.21130000,0.21500000,0.21990000,0.22060000,0.21130000,0.21500000,35122839.00000000,35122839.00000000
