timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-02,3.09100000,3.09100000,3.06500000,3.06600000,3.09100000,3.09100000,3.06500000,3.06600000,13631.80000000,13631.80000000
2023-05-01,3.24500000,3.25500000,3.02000000,3.09100000,3.24500000,3.25500000,3.02000000,3.09100000,476506.00000000,476506.00000000
2023-04-30,3.33100000,3.34200000,3.23900000,3.24500000,3.33100000,3.34200000,3.23900000,3.24500000,146418.30000000,146418.30000000
2023-04-29,3.27200000,3.34800000,3.24000000,3.33200000,3.27200000,3.34800000,3.24000000,3.33200000,151988.60000000,151988.60000000
2023-04-28,3.32800000,3.35400000,3.24000000,3.27300000,3.32800000,3.35400000,3.24000000,3.27300000,255560.50000000,255560.50000000
2023-04-27,3.25400000,3.39900000,3.24000000,3.33000000,3.25400000,3.39900000,3.24000000,3.33000000,465072.10000000,465072.10000000
2023-04-26,3.28800000,3.50600000,3.15100000,3.25400000,3.28800000,3.50600000,3.15100000,3.25400000,815127.60000000,815127.60000000
2023-04-25,3.13800000,3.36400000,2.97400000,3.28900000,3.13800000,3.36400000,2.97400000,3.28900000,691842.40000000,691842.40000000
2023-04-24,3.29100000,3.32400000,3.08800000,3.13900000,3.29100000,3.32400000,3.08800000,3.13900000,443245.40000000,443245.40000000
2023-04-23,3.30500000,3.48500000,3.20900000,3.29100000,3.30500000,3.48500000,3.20900000,3.29100000,637862.20000000,637862.20000000
2023-04-22,3.27800000,3.33000000,3.20400000,3.30600000,3.27800000,3.33000000,3.20400000,3.30600000,352276.00000000,352276.00000000
2023-04-21,3.44900000,3.49300000,3.15900000,3.28200000,3.44900000,3.49300000,3.15900000,3.28200000,755729.10000000,755729.10000000
2023-04-20,3.59700000,3.77900000,3.44200000,3.45200000,3.59700000,3.77900000,3.44200000,3.45200000,751523.80000000,751523.80000000
2023-04-19,3.83900000,3.89200000,3.52500000,3.59500000,3.83900000,3.89200000,3.52500000,3.59500000,1045801.10000000,1045801.10000000
2023-04-18,3.63600000,3.87100000,3.58800000,3.84100000,3.63600000,3.87100000,3.58800000,3.84100000,666967.90000000,666967.90000000
2023-04-17,3.52600000,3.64900000,3.42500000,3.63500000,3.52600000,3.64900000,3.42500000,3.63500000,715406.40000000,715406.40000000
2023-04-16,3.56400000,3.58500000,3.47100000,3.52600000,3.56400000,3.58500000,3.47100000,3.52600000,472940.50000000,472940.50000000
2023-04-15,3.64200000,3.69900000,3.53000000,3.56500000,3.64200000,3.69900000,3.53000000,3.56500000,541322.50000000,541322.50000000
2023-04-14,3.60400000,3.96700000,3.57700000,3.64100000,3.60400000,3.96700000,3.57700000,3.64100000,1802723.80000000,1802723.80000000
2023-04-13,3.30000000,3.70300000,3.28300000,3.60400000,3.30000000,3.70300000,3.28300000,3.60400000,3066128.00000000,3066128.00000000
2023-04-12,3.29400000,3.38400000,3.16400000,3.30000000,3.29400000,3.38400000,3.16400000,3.30000000,1850887.00000000,1850887.00000000
2023-04-11,3.11700000,3.37800000,3.07700000,3.29300000,3.11700000,3.37800000,3.07700000,3.29300000,1306048.10000000,1306048.10000000
2023-04-10,3.14300000,3.17000000,3.04500000,3.11700000,3.14300000,3.17000000,3.04500000,3.11700000,770203.60000000,770203.60000000
2023-04-09,3.18100000,3.23700000,3.04400000,3.14100000,3.18100000,3.23700000,3.04400000,3.14100000,1166799.10000000,1166799.10000000
2023-04-08,2.99600000,3.34700000,2.96100000,3.18100000,2.99600000,3.34700000,2.96100000,3.18100000,2637012.80000000,2637012.80000000
2023-04-07,2.95100000,3.61300000,2.91200000,2.99700000,2.95100000,3.61300000,2.91200000,2.99700000,5665049.90000000,5665049.90000000
2023-04-06,2.79800000,2.98000000,2.75000000,2.95300000,2.79800000,2.98000000,2.75000000,2.95300000,1904828.60000000,1904828.60000000
2023-04-05,2.70500000,2.80900000,2.68000000,2.79900000,2.70500000,2.80900000,2.68000000,2.79900000,702411.30000000,702411.30000000
2023-04-04,2.60700000,2.71600000,2.59100000,2.70400000,2.60700000,2.71600000,2.59100000,2.70400000,760753.40000000,760753.40000000
2023-04-03,2.56200000,2.61900000,2.44500000,2.60700000,2.56200000,2.61900000,2.44500000,2.60700000,1017180.50000000,1017180.50000000
2023-04-02,2.54600000,2.58600000,2.48000000,2.56100000,2.54600000,2.58600000,2.48000000,2.56100000,411895.30000000,411895.30000000
2023-04-01,2.55600000,2.62000000,2.48500000,2.54600000,2.55600000,2.62000000,2.48500000,2.54600000,487862.40000000,487862.40000000
2023-03-31,2.47800000,2.60000000,2.45300000,2.55500000,2.47800000,2.60000000,2.45300000,2.55500000,535962.30000000,535962.30000000
2023-03-30,2.48000000,2.58600000,2.42000000,2.48000000,2.48000000,2.58600000,2.42000000,2.48000000,858766.70000000,858766.70000000
2023-03-29,2.28600000,2.50300000,2.28200000,2.48000000,2.28600000,2.50300000,2.28200000,2.48000000,839109.60000000,839109.60000000
2023-03-28,2.21800000,2.30800000,2.17000000,2.28600000,2.21800000,2.30800000,2.17000000,2.28600000,484499.90000000,484499.90000000
2023-03-27,2.38900000,2.39800000,2.17700000,2.21700000,2.38900000,2.39800000,2.17700000,2.21700000,550079.90000000,550079.90000000
2023-03-26,2.31900000,2.40000000,2.30400000,2.38800000,2.31900000,2.40000000,2.30400000,2.38800000,348655.20000000,348655.20000000
2023-03-25,2.40200000,2.42400000,2.29200000,2.31900000,2.40200000,2.42400000,2.29200000,2.31900000,388076.40000000,388076.40000000
2023-03-24,2.44300000,2.46300000,2.34400000,2.40200000,2.44300000,2.46300000,2.34400000,2.40200000,508824.40000000,508824.40000000
2023-03-23,2.31200000,2.45300000,2.29800000,2.44400000,2.31200000,2.45300000,2.29800000,2.44400000,422393.00000000,422393.00000000
2023-03-22,2.38600000,2.40800000,2.23900000,2.31100000,2.38600000,2.40800000,2.23900000,2.31100000,614649.50000000,614649.50000000
2023-03-21,2.35000000,2.39900000,2.25900000,2.38400000,2.35000000,2.39900000,2.25900000,2.38400000,505705.20000000,505705.20000000
2023-03-20,2.44800000,2.48700000,2.30200000,2.35200000,2.44800000,2.48700000,2.30200000,2.35200000,928544.90000000,928544.90000000
2023-03-19,2.37100000,2.50400000,2.36900000,2.44700000,2.37100000,2.50400000,2.36900000,2.44700000,739149.90000000,739149.90000000
2023-03-18,2.47800000,2.50400000,2.35300000,2.37400000,2.47800000,2.50400000,2.35300000,2.37400000,651307.00000000,651307.00000000
2023-03-17,2.34500000,2.48800000,2.32200000,2.47700000,2.34500000,2.48800000,2.32200000,2.47700000,806798.00000000,806798.00000000
2023-03-16,2.29400000,2.35600000,2.26200000,2.34600000,2.29400000,2.35600000,2.26200000,2.34600000,563672.50000000,563672.50000000
2023-03-15,2.40500000,2.45200000,2.21000000,2.29700000,2.40500000,2.45200000,2.21000000,2.29700000,983380.30000000,983380.30000000
2023-03-14,2.38200000,2.52800000,2.30800000,2.40500000,2.38200000,2.52800000,2.30800000,2.40500000,1755997.80000000,1755997.80000000
2023-03-13,2.33500000,2.43300000,2.25000000,2.38200000,2.33500000,2.43300000,2.25000000,2.38200000,833838.90000000,833838.90000000
2023-03-12,2.12000000,2.34500000,2.09600000,2.33400000,2.12000000,2.34500000,2.09600000,2.33400000,682463.80000000,682463.80000000
2023-03-11,2.07800000,2.12000000,1.97300000,2.12000000,2.07800000,2.12000000,1.97300000,2.12000000,583903.90000000,583903.90000000
2023-03-10,2.04900000,2.08900000,1.91300000,2.07800000,2.04900000,2.08900000,1.91300000,2.07800000,665437.60000000,665437.60000000
2023-03-09,2.18300000,2.27300000,2.02600000,2.04900000,2.18300000,2.27300000,2.02600000,2.04900000,458512.90000000,458512.90000000
2023-03-08,2.37000000,2.37400000,2.13200000,2.18400000,2.37000000,2.37400000,2.13200000,2.18400000,557593.40000000,557593.40000000
2023-03-07,2.39900000,2.44200000,2.30200000,2.37200000,2.39900000,2.44200000,2.30200000,2.37200000,299074.80000000,299074.80000000
2023-03-06,2.35500000,2.41600000,2.31200000,2.39800000,2.35500000,2.41600000,2.31200000,2.39800000,247876.80000000,247876.80000000
2023-03-05,2.40500000,2.46700000,2.34100000,2.35500000,2.40500000,2.46700000,2.34100000,2.35500000,287751.10000000,287751.10000000
2023-03-04,2.47500000,2.51700000,2.34600000,2.40500000,2.47500000,2.51700000,2.34600000,2.40500000,338338.40000000,338338.40000000
2023-03-03,2.66700000,2.66900000,2.39800000,2.47600000,2.66700000,2.66900000,2.39800000,2.47600000,527486.00000000,527486.00000000
2023-03-02,2.73800000,2.75500000,2.63600000,2.66900000,2.73800000,2.75500000,2.63600000,2.66900000,309880.60000000,309880.60000000
2023-03-01,2.66500000,2.74600000,2.63300000,2.74000000,2.66500000,2.74600000,2.63300000,2.74000000,372196.60000000,372196.60000000
2023-02-28,2.68000000,2.73500000,2.65600000,2.66600000,2.68000000,2.73500000,2.65600000,2.66600000,443924.40000000,443924.40000000
2023-02-27,2.80800000,2.80800000,2.63900000,2.68000000,2.80800000,2.80800000,2.63900000,2.68000000,765047.70000000,765047.70000000
2023-02-26,2.85000000,2.90800000,2.77600000,2.80900000,2.85000000,2.90800000,2.77600000,2.80900000,513028.20000000,513028.20000000
2023-02-25,2.86800000,2.86800000,2.75000000,2.84900000,2.86800000,2.86800000,2.75000000,2.84900000,326628.70000000,326628.70000000
2023-02-24,2.98400000,3.03400000,2.78900000,2.86800000,2.98400000,3.03400000,2.78900000,2.86800000,829673.10000000,829673.10000000
