timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.62300000,1.63000000,1.61400000,1.62300000,1.62300000,1.63000000,1.61400000,1.62300000,18745.40000000,18745.40000000
2023-05-07,1.65300000,1.68000000,1.61300000,1.62300000,1.65300000,1.68000000,1.61300000,1.62300000,468782.20000000,468782.20000000
2023-05-06,1.71400000,1.72400000,1.62700000,1.65300000,1.71400000,1.72400000,1.62700000,1.65300000,613773.30000000,613773.30000000
2023-05-05,1.67900000,1.71900000,1.63000000,1.71400000,1.67900000,1.71900000,1.63000000,1.71400000,672725.30000000,672725.30000000
2023-05-04,1.72400000,1.72600000,1.66900000,1.67900000,1.72400000,1.72600000,1.66900000,1.67900000,341700.60000000,341700.60000000
2023-05-03,1.70200000,1.72900000,1.65100000,1.72500000,1.70200000,1.72900000,1.65100000,1.72500000,618758.60000000,618758.60000000
2023-05-02,1.67300000,1.71600000,1.66000000,1.70300000,1.67300000,1.71600000,1.66000000,1.70300000,867676.70000000,867676.70000000
2023-05-01,1.69300000,1.70600000,1.63700000,1.67400000,1.69300000,1.70600000,1.63700000,1.67400000,568472.90000000,568472.90000000
2023-04-30,1.73900000,1.74000000,1.68100000,1.69300000,1.73900000,1.74000000,1.68100000,1.69300000,602162.90000000,602162.90000000
2023-04-29,1.71600000,1.77600000,1.70400000,1.73900000,1.71600000,1.77600000,1.70400000,1.73900000,1627648.00000000,1627648.00000000
2023-04-28,1.74600000,1.75800000,1.68100000,1.71500000,1.74600000,1.75800000,1.68100000,1.71500000,807528.50000000,807528.50000000
2023-04-27,1.74400000,1.78600000,1.70200000,1.74500000,1.74400000,1.78600000,1.70200000,1.74500000,2153552.00000000,2153552.00000000
2023-04-26,1.69100000,1.98800000,1.65300000,1.74400000,1.69100000,1.98800000,1.65300000,1.74400000,6312287.60000000,6312287.60000000
2023-04-25,1.66600000,1.69400000,1.59400000,1.69100000,1.66600000,1.69400000,1.59400000,1.69100000,711767.10000000,711767.10000000
2023-04-24,1.66700000,1.73300000,1.63400000,1.66500000,1.66700000,1.73300000,1.63400000,1.66500000,859784.70000000,859784.70000000
2023-04-23,1.72100000,1.72100000,1.62200000,1.66600000,1.72100000,1.72100000,1.62200000,1.66600000,526585.60000000,526585.60000000
2023-04-22,1.65600000,1.72400000,1.64700000,1.72200000,1.65600000,1.72400000,1.64700000,1.72200000,356250.60000000,356250.60000000
2023-04-21,1.76600000,1.78700000,1.62400000,1.65700000,1.76600000,1.78700000,1.62400000,1.65700000,811928.50000000,811928.50000000
2023-04-20,1.83300000,1.85500000,1.74800000,1.76600000,1.83300000,1.85500000,1.74800000,1.76600000,921037.70000000,921037.70000000
2023-04-19,2.04100000,2.06200000,1.78800000,1.83300000,2.04100000,2.06200000,1.78800000,1.83300000,2305546.90000000,2305546.90000000
2023-04-18,1.99000000,2.08800000,1.96300000,2.04000000,1.99000000,2.08800000,1.96300000,2.04000000,987034.90000000,987034.90000000
2023-04-17,2.07000000,2.07600000,1.94500000,1.99100000,2.07000000,2.07600000,1.94500000,1.99100000,1072511.20000000,1072511.20000000
2023-04-16,2.00300000,2.09200000,1.96200000,2.06800000,2.00300000,2.09200000,1.96200000,2.06800000,1423661.10000000,1423661.10000000
2023-04-15,1.96800000,2.03400000,1.92900000,2.00200000,1.96800000,2.03400000,1.92900000,2.00200000,1331687.90000000,1331687.90000000
2023-04-14,1.90400000,1.99100000,1.89000000,1.97000000,1.90400000,1.99100000,1.89000000,1.97000000,1925894.10000000,1925894.10000000
2023-04-13,1.88100000,1.91000000,1.84600000,1.90400000,1.88100000,1.91000000,1.84600000,1.90400000,914706.60000000,914706.60000000
2023-04-12,1.92100000,1.92600000,1.82000000,1.88200000,1.92100000,1.92600000,1.82000000,1.88200000,1728329.70000000,1728329.70000000
2023-04-11,1.96100000,2.00800000,1.91600000,1.92100000,1.96100000,2.00800000,1.91600000,1.92100000,1970573.40000000,1970573.40000000
2023-04-10,1.85900000,2.16200000,1.84400000,1.96300000,1.85900000,2.16200000,1.84400000,1.96300000,7836904.80000000,7836904.80000000
2023-04-09,1.84400000,1.87500000,1.77700000,1.85900000,1.84400000,1.87500000,1.77700000,1.85900000,1005063.70000000,1005063.70000000
2023-04-08,1.85400000,1.91900000,1.82100000,1.84300000,1.85400000,1.91900000,1.82100000,1.84300000,1737912.10000000,1737912.10000000
2023-04-07,1.82900000,1.86000000,1.78300000,1.85500000,1.82900000,1.86000000,1.78300000,1.85500000,1034196.80000000,1034196.80000000
2023-04-06,1.83300000,1.83500000,1.76500000,1.82800000,1.83300000,1.83500000,1.76500000,1.82800000,835375.80000000,835375.80000000
2023-04-05,1.81400000,1.87500000,1.77600000,1.83200000,1.81400000,1.87500000,1.77600000,1.83200000,1022013.30000000,1022013.30000000
2023-04-04,1.82800000,1.84800000,1.78000000,1.81400000,1.82800000,1.84800000,1.78000000,1.81400000,1005030.60000000,1005030.60000000
2023-04-03,1.77300000,1.83700000,1.71500000,1.82600000,1.77300000,1.83700000,1.71500000,1.82600000,1620983.60000000,1620983.60000000
2023-04-02,1.83200000,1.88100000,1.74500000,1.77200000,1.83200000,1.88100000,1.74500000,1.77200000,1118462.80000000,1118462.80000000
2023-04-01,1.86400000,1.93200000,1.79300000,1.83100000,1.86400000,1.93200000,1.79300000,1.83100000,1534992.90000000,1534992.90000000
2023-03-31,1.82500000,1.88000000,1.77400000,1.86500000,1.82500000,1.88000000,1.77400000,1.86500000,1323667.40000000,1323667.40000000
2023-03-30,1.90600000,1.95400000,1.80100000,1.82500000,1.90600000,1.95400000,1.80100000,1.82500000,2481218.00000000,2481218.00000000
2023-03-29,1.71000000,1.94700000,1.70100000,1.90600000,1.71000000,1.94700000,1.70100000,1.90600000,3416757.30000000,3416757.30000000
2023-03-28,1.66000000,1.73100000,1.62100000,1.70900000,1.66000000,1.73100000,1.62100000,1.70900000,1105216.70000000,1105216.70000000
2023-03-27,1.76300000,1.76500000,1.60600000,1.65900000,1.76300000,1.76500000,1.60600000,1.65900000,1602261.60000000,1602261.60000000
2023-03-26,1.70400000,1.77800000,1.67700000,1.76300000,1.70400000,1.77800000,1.67700000,1.76300000,1317978.40000000,1317978.40000000
2023-03-25,1.79100000,1.85300000,1.70200000,1.70400000,1.79100000,1.85300000,1.70200000,1.70400000,3582219.10000000,3582219.10000000
2023-03-24,1.72700000,1.80900000,1.63900000,1.79100000,1.72700000,1.80900000,1.63900000,1.79100000,1671043.60000000,1671043.60000000
2023-03-23,1.63600000,1.75900000,1.61700000,1.72600000,1.63600000,1.75900000,1.61700000,1.72600000,759416.10000000,759416.10000000
2023-03-22,1.75400000,1.77100000,1.59700000,1.63500000,1.75400000,1.77100000,1.59700000,1.63500000,1536302.70000000,1536302.70000000
2023-03-21,1.71900000,1.78000000,1.65400000,1.75400000,1.71900000,1.78000000,1.65400000,1.75400000,1206470.20000000,1206470.20000000
2023-03-20,1.83500000,1.86500000,1.69700000,1.71500000,1.83500000,1.86500000,1.69700000,1.71500000,2364424.30000000,2364424.30000000
2023-03-19,1.77600000,1.95100000,1.77600000,1.83400000,1.77600000,1.95100000,1.77600000,1.83400000,2958389.60000000,2958389.60000000
2023-03-18,1.79700000,1.93800000,1.76200000,1.77500000,1.79700000,1.93800000,1.76200000,1.77500000,3810963.20000000,3810963.20000000
2023-03-17,1.62500000,1.80100000,1.59600000,1.79800000,1.62500000,1.80100000,1.59600000,1.79800000,1636335.70000000,1636335.70000000
2023-03-16,1.59800000,1.64900000,1.56400000,1.62500000,1.59800000,1.64900000,1.56400000,1.62500000,1153085.40000000,1153085.40000000
2023-03-15,1.76800000,1.81000000,1.57800000,1.59700000,1.76800000,1.81000000,1.57800000,1.59700000,1404260.90000000,1404260.90000000
2023-03-14,1.68400000,1.83300000,1.63000000,1.76900000,1.68400000,1.83300000,1.63000000,1.76900000,2488802.00000000,2488802.00000000
2023-03-13,1.58600000,1.69800000,1.55800000,1.68400000,1.58600000,1.69800000,1.55800000,1.68400000,1691758.10000000,1691758.10000000
2023-03-12,1.45500000,1.59100000,1.41400000,1.58500000,1.45500000,1.59100000,1.41400000,1.58500000,1437135.10000000,1437135.10000000
2023-03-11,1.46000000,1.50800000,1.39500000,1.45600000,1.46000000,1.50800000,1.39500000,1.45600000,1310452.00000000,1310452.00000000
2023-03-10,1.45400000,1.47800000,1.35000000,1.46000000,1.45400000,1.47800000,1.35000000,1.46000000,1532401.90000000,1532401.90000000
2023-03-09,1.58400000,1.65800000,1.42500000,1.45400000,1.58400000,1.65800000,1.42500000,1.45400000,1597401.30000000,1597401.30000000
2023-03-08,1.68300000,1.69300000,1.53500000,1.58200000,1.68300000,1.69300000,1.53500000,1.58200000,1007682.00000000,1007682.00000000
2023-03-07,1.73200000,1.79000000,1.61100000,1.68300000,1.73200000,1.79000000,1.61100000,1.68300000,1630078.30000000,1630078.30000000
2023-03-06,1.72700000,1.76200000,1.67700000,1.73200000,1.72700000,1.76200000,1.67700000,1.73200000,928103.40000000,928103.40000000
2023-03-05,1.72900000,1.79300000,1.71600000,1.72800000,1.72900000,1.79300000,1.71600000,1.72800000,477312.40000000,477312.40000000
2023-03-04,1.82200000,1.83400000,1.68700000,1.73000000,1.82200000,1.83400000,1.68700000,1.73000000,621313.60000000,621313.60000000
2023-03-03,1.99200000,1.99200000,1.73100000,1.82200000,1.99200000,1.99200000,1.73100000,1.82200000,1658700.40000000,1658700.40000000
2023-03-02,2.06800000,2.08900000,1.95400000,1.99200000,2.06800000,2.08900000,1.95400000,1.99200000,890331.00000000,890331.00000000
2023-03-01,1.95900000,2.07800000,1.94900000,2.06900000,1.95900000,2.07800000,1.94900000,2.06900000,1392877.60000000,1392877.60000000
2023-02-28,2.00700000,2.03700000,1.93500000,1.95800000,2.00700000,2.03700000,1.93500000,1.95800000,1018315.30000000,1018315.30000000
2023-02-27,2.01400000,2.05400000,1.94500000,2.00700000,2.01400000,2.05400000,1.94500000,2.00700000,1302661.10000000,1302661.10000000
2023-02-26,1.99800000,2.03500000,1.96900000,2.01500000,1.99800000,2.03500000,1.96900000,2.01500000,722279.60000000,722279.60000000
2023-02-25,2.00400000,2.01800000,1.92100000,1.99900000,2.00400000,2.01800000,1.92100000,1.99900000,1081011.20000000,1081011.20000000
2023-02-24,2.16900000,2.18600000,1.94900000,2.00400000,2.16900000,2.18600000,1.94900000,2.00400000,2121508.90000000,2121508.90000000
2023-02-23,2.11600000,2.24500000,2.10400000,2.16900000,2.11600000,2.24500000,2.10400000,2.16900000,1921898.30000000,1921898.30000000
2023-02-22,2.19700000,2.27800000,2.03200000,2.11500000,2.19700000,2.27800000,2.03200000,2.11500000,2935241.70000000,2935241.70000000
2023-02-21,2.25300000,2.29000000,2.11200000,2.19800000,2.25300000,2.29000000,2.11200000,2.19800000,3492728.70000000,3492728.70000000
2023-02-20,2.07800000,2.27200000,2.05400000,2.25400000,2.07800000,2.27200000,2.05400000,2.25400000,3240647.80000000,3240647.80000000
2023-02-19,2.10500000,2.16500000,2.04900000,2.07800000,2.10500000,2.16500000,2.04900000,2.07800000,2475766.00000000,2475766.00000000
2023-02-18,2.05300000,2.18600000,2.02100000,2.10300000,2.05300000,2.18600000,2.02100000,2.10300000,2651293.00000000,2651293.00000000
2023-02-17,1.91900000,2.07500000,1.91000000,2.05300000,1.91900000,2.07500000,1.91000000,2.05300000,1712743.00000000,1712743.00000000
2023-02-16,2.02600000,2.10300000,1.90600000,1.92000000,2.02600000,2.10300000,1.90600000,1.92000000,2718096.00000000,2718096.00000000
2023-02-15,1.89300000,2.02700000,1.85700000,2.02600000,1.89300000,2.02700000,1.85700000,2.02600000,2477785.20000000,2477785.20000000
2023-02-14,1.84400000,1.89800000,1.78300000,1.89400000,1.84400000,1.89800000,1.78300000,1.89400000,1631160.00000000,1631160.00000000
2023-02-13,1.86400000,1.88400000,1.72700000,1.84400000,1.86400000,1.88400000,1.72700000,1.84400000,2035422.30000000,2035422.30000000
2023-02-12,1.94400000,1.95200000,1.83000000,1.86500000,1.94400000,1.95200000,1.83000000,1.86500000,1305219.60000000,1305219.60000000
2023-02-11,1.87900000,1.95000000,1.84500000,1.94300000,1.87900000,1.95000000,1.84500000,1.94300000,1548313.10000000,1548313.10000000
2023-02-10,1.88000000,1.94900000,1.82800000,1.88200000,1.88000000,1.94900000,1.82800000,1.88200000,2885748.40000000,2885748.40000000
2023-02-09,2.22900000,2.30000000,1.83100000,1.87900000,2.22900000,2.30000000,1.83100000,1.87900000,6715562.10000000,6715562.10000000
2023-02-08,2.24500000,2.31200000,2.16300000,2.22800000,2.24500000,2.31200000,2.16300000,2.22800000,3612692.30000000,3612692.30000000
2023-02-07,2.05700000,2.26300000,2.05300000,2.24500000,2.05700000,2.26300000,2.05300000,2.24500000,2967745.30000000,2967745.30000000
2023-02-06,2.11500000,2.14900000,2.02000000,2.05700000,2.11500000,2.14900000,2.02000000,2.05700000,2057933.60000000,2057933.60000000
2023-02-05,2.23400000,2.32500000,2.05600000,2.11500000,2.23400000,2.32500000,2.05600000,2.11500000,3652830.90000000,3652830.90000000
2023-02-04,2.19700000,2.35400000,2.16900000,2.23300000,2.19700000,2.35400000,2.16900000,2.23300000,4808409.60000000,4808409.60000000
2023-02-03,2.19000000,2.21600000,2.12300000,2.19700000,2.19000000,2.21600000,2.12300000,2.19700000,2947997.00000000,2947997.00000000
2023-02-02,2.21300000,2.34700000,2.15600000,2.19000000,2.21300000,2.34700000,2.15600000,2.19000000,5638309.30000000,5638309.30000000
2023-02-01,2.13700000,2.22500000,1.98400000,2.21300000,2.13700000,2.22500000,1.98400000,2.21300000,4893634.30000000,4893634.30000000
2023-01-31,2.06800000,2.38800000,2.02200000,2.13700000,2.06800000,2.38800000,2.02200000,2.13700000,10631069.90000000,10631069.90000000
2023-01-30,2.07300000,2.15900000,1.88600000,2.06900000,2.07300000,2.15900000,1.88600000,2.06900000,5215706.30000000,5215706.30000000
2023-01-29,2.01000000,2.08300000,1.99600000,2.07300000,2.01000000,2.08300000,1.99600000,2.07300000,1406397.20000000,1406397.20000000
2023-01-28,2.09600000,2.10500000,1.97000000,2.01000000,2.09600000,2.10500000,1.97000000,2.01000000,2062314.50000000,2062314.50000000
2023-01-27,2.21600000,2.21700000,2.01300000,2.09500000,2.21600000,2.21700000,2.01300000,2.09500000,5293075.20000000,5293075.20000000
2023-01-26,1.93200000,2.26700000,1.87900000,2.21700000,1.93200000,2.26700000,1.87900000,2.21700000,5767407.70000000,5767407.70000000
