timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.45350000,0.45720000,0.45310000,0.45600000,0.45350000,0.45720000,0.45310000,0.45600000,37771.00000000,37771.00000000
2023-05-07,0.46010000,0.46980000,0.45350000,0.45380000,0.46010000,0.46980000,0.45350000,0.45380000,233424.30000000,233424.30000000
2023-05-06,0.48350000,0.48630000,0.45400000,0.46040000,0.48350000,0.48630000,0.45400000,0.46040000,542579.50000000,542579.50000000
2023-05-05,0.47760000,0.48770000,0.47000000,0.48370000,0.47760000,0.48770000,0.47000000,0.48370000,571555.40000000,571555.40000000
2023-05-04,0.48060000,0.48690000,0.47090000,0.47880000,0.48060000,0.48690000,0.47090000,0.47880000,499210.80000000,499210.80000000
2023-05-03,0.47240000,0.48350000,0.45960000,0.48060000,0.47240000,0.48350000,0.45960000,0.48060000,722468.90000000,722468.90000000
2023-05-02,0.45910000,0.47590000,0.45660000,0.47250000,0.45910000,0.47590000,0.45660000,0.47250000,545182.40000000,545182.40000000
2023-05-01,0.46710000,0.47070000,0.45300000,0.45950000,0.46710000,0.47070000,0.45300000,0.45950000,657781.90000000,657781.90000000
2023-04-30,0.48230000,0.48570000,0.46660000,0.46720000,0.48230000,0.48570000,0.46660000,0.46720000,837372.20000000,837372.20000000
2023-04-29,0.47640000,0.49480000,0.47480000,0.48330000,0.47640000,0.49480000,0.47480000,0.48330000,640100.70000000,640100.70000000
2023-04-28,0.48200000,0.48510000,0.47150000,0.47530000,0.48200000,0.48510000,0.47150000,0.47530000,666806.40000000,666806.40000000
2023-04-27,0.47320000,0.49100000,0.47260000,0.48190000,0.47320000,0.49100000,0.47260000,0.48190000,577016.40000000,577016.40000000
2023-04-26,0.48260000,0.50010000,0.44910000,0.47310000,0.48260000,0.50010000,0.44910000,0.47310000,1010454.40000000,1010454.40000000
2023-04-25,0.47500000,0.48530000,0.46600000,0.48250000,0.47500000,0.48530000,0.46600000,0.48250000,507950.80000000,507950.80000000
2023-04-24,0.47900000,0.48320000,0.46710000,0.47490000,0.47900000,0.48320000,0.46710000,0.47490000,395854.40000000,395854.40000000
2023-04-23,0.48630000,0.48630000,0.46620000,0.47990000,0.48630000,0.48630000,0.46620000,0.47990000,444540.30000000,444540.30000000
2023-04-22,0.47200000,0.48730000,0.46910000,0.48640000,0.47200000,0.48730000,0.46910000,0.48640000,354837.30000000,354837.30000000
2023-04-21,0.49210000,0.49730000,0.46600000,0.47240000,0.49210000,0.49730000,0.46600000,0.47240000,842289.90000000,842289.90000000
2023-04-20,0.49790000,0.51460000,0.48900000,0.49250000,0.49790000,0.51460000,0.48900000,0.49250000,1166746.60000000,1166746.60000000
2023-04-19,0.54100000,0.54400000,0.49170000,0.49800000,0.54100000,0.54400000,0.49170000,0.49800000,1544384.20000000,1544384.20000000
2023-04-18,0.52880000,0.54900000,0.52230000,0.54120000,0.52880000,0.54900000,0.52230000,0.54120000,1642729.60000000,1642729.60000000
2023-04-17,0.54160000,0.54340000,0.52390000,0.52920000,0.54160000,0.54340000,0.52390000,0.52920000,1656868.40000000,1656868.40000000
2023-04-16,0.53950000,0.54950000,0.53300000,0.54160000,0.53950000,0.54950000,0.53300000,0.54160000,779933.80000000,779933.80000000
2023-04-15,0.54180000,0.54930000,0.53390000,0.53940000,0.54180000,0.54930000,0.53390000,0.53940000,1665250.20000000,1665250.20000000
2023-04-14,0.53440000,0.55260000,0.53010000,0.54180000,0.53440000,0.55260000,0.53010000,0.54180000,3854660.30000000,3854660.30000000
2023-04-13,0.53210000,0.53820000,0.52110000,0.53450000,0.53210000,0.53820000,0.52110000,0.53450000,2837776.40000000,2837776.40000000
2023-04-12,0.52950000,0.53800000,0.51610000,0.53210000,0.52950000,0.53800000,0.51610000,0.53210000,3401791.10000000,3401791.10000000
2023-04-11,0.54810000,0.54830000,0.51530000,0.52920000,0.54810000,0.54830000,0.51530000,0.52920000,8681624.90000000,8681624.90000000
2023-04-10,0.60150000,0.63260000,0.52130000,0.54830000,0.60150000,0.63260000,0.52130000,0.54830000,18576388.70000000,18576388.70000000
2023-04-09,0.57040000,0.64220000,0.56600000,0.60150000,0.57040000,0.64220000,0.56600000,0.60150000,7449977.00000000,7449977.00000000
