timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-02,0.00979000,0.00982000,0.00979000,0.00981000,0.00979000,0.00982000,0.00979000,0.00981000,28248.30000000,28248.30000000
2023-05-01,0.01017000,0.01018000,0.00976000,0.00982000,0.01017000,0.01018000,0.00976000,0.00982000,11111950.40000000,11111950.40000000
2023-04-30,0.01032000,0.01054000,0.01016000,0.01016000,0.01032000,0.01054000,0.01016000,0.01016000,18636985.70000000,18636985.70000000
2023-04-29,0.01032000,0.01070000,0.01025000,0.01034000,0.01032000,0.01070000,0.01025000,0.01034000,18260721.60000000,18260721.60000000
2023-04-28,0.01041000,0.01047000,0.01012000,0.01031000,0.01041000,0.01047000,0.01012000,0.01031000,9832129.60000000,9832129.60000000
2023-04-27,0.01041000,0.01074000,0.01017000,0.01043000,0.01041000,0.01074000,0.01017000,0.01043000,25864639.80000000,25864639.80000000
2023-04-26,0.01005000,0.01100000,0.01000000,0.01041000,0.01005000,0.01100000,0.01000000,0.01041000,70044471.00000000,70044471.00000000
2023-04-25,0.01003000,0.01161000,0.00976000,0.01005000,0.01003000,0.01161000,0.00976000,0.01005000,267060948.69999999,267060948.69999999
2023-04-24,0.00981000,0.01065000,0.00964000,0.01002000,0.00981000,0.01065000,0.00964000,0.01002000,40983572.80000000,40983572.80000000
2023-04-23,0.01013000,0.01016000,0.00963000,0.00982000,0.01013000,0.01016000,0.00963000,0.00982000,9298551.60000000,9298551.60000000
2023-04-22,0.00975000,0.01014000,0.00968000,0.01013000,0.00975000,0.01014000,0.00968000,0.01013000,17701105.80000000,17701105.80000000
2023-04-21,0.01053000,0.01090000,0.00953000,0.00971000,0.01053000,0.01090000,0.00953000,0.00971000,40010924.60000000,40010924.60000000
2023-04-20,0.01071000,0.01128000,0.01047000,0.01052000,0.01071000,0.01128000,0.01047000,0.01052000,17552415.80000000,17552415.80000000
2023-04-19,0.01167000,0.01187000,0.01060000,0.01071000,0.01167000,0.01187000,0.01060000,0.01071000,44437155.30000000,44437155.30000000
2023-04-18,0.01146000,0.01180000,0.01142000,0.01167000,0.01146000,0.01180000,0.01142000,0.01167000,28082336.70000000,28082336.70000000
2023-04-17,0.01181000,0.01192000,0.01138000,0.01145000,0.01181000,0.01192000,0.01138000,0.01145000,25419053.10000000,25419053.10000000
2023-04-16,0.01163000,0.01185000,0.01156000,0.01178000,0.01163000,0.01185000,0.01156000,0.01178000,21171616.20000000,21171616.20000000
2023-04-15,0.01149000,0.01169000,0.01138000,0.01161000,0.01149000,0.01169000,0.01138000,0.01161000,18914532.70000000,18914532.70000000
2023-04-14,0.01148000,0.01166000,0.01132000,0.01149000,0.01148000,0.01166000,0.01132000,0.01149000,30798185.30000000,30798185.30000000
2023-04-13,0.01120000,0.01165000,0.01114000,0.01148000,0.01120000,0.01165000,0.01114000,0.01148000,34702330.10000000,34702330.10000000
2023-04-12,0.01155000,0.01158000,0.01115000,0.01120000,0.01155000,0.01158000,0.01115000,0.01120000,24111232.00000000,24111232.00000000
2023-04-11,0.01163000,0.01180000,0.01148000,0.01154000,0.01163000,0.01180000,0.01148000,0.01154000,30309717.10000000,30309717.10000000
2023-04-10,0.01164000,0.01175000,0.01144000,0.01165000,0.01164000,0.01175000,0.01144000,0.01165000,26280856.90000000,26280856.90000000
