timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-02,0.99940000,0.99940000,0.99930000,0.99930000,0.99940000,0.99940000,0.99930000,0.99930000,4778708.00000000,4778708.00000000
2023-05-01,0.99980000,0.99980000,0.99920000,0.99930000,0.99980000,0.99980000,0.99920000,0.99930000,282295137.00000000,282295137.00000000
2023-04-30,0.99950000,1.00000000,0.99940000,0.99970000,0.99950000,1.00000000,0.99940000,0.99970000,275897662.00000000,275897662.00000000
2023-04-29,0.99960000,0.99970000,0.99950000,0.99960000,0.99960000,0.99970000,0.99950000,0.99960000,108060288.00000000,108060288.00000000
2023-04-28,0.99960000,0.99970000,0.99950000,0.99970000,0.99960000,0.99970000,0.99950000,0.99970000,220477598.00000000,220477598.00000000
2023-04-27,0.99960000,0.99980000,0.99960000,0.99960000,0.99960000,0.99980000,0.99960000,0.99960000,210516148.00000000,210516148.00000000
2023-04-26,0.99990000,0.99990000,0.99960000,0.99970000,0.99990000,0.99990000,0.99960000,0.99970000,242093181.00000000,242093181.00000000
2023-04-25,0.99980000,0.99990000,0.99970000,0.99990000,0.99980000,0.99990000,0.99970000,0.99990000,193413122.00000000,193413122.00000000
2023-04-24,0.99970000,0.99990000,0.99960000,0.99990000,0.99970000,0.99990000,0.99960000,0.99990000,164835166.00000000,164835166.00000000
2023-04-23,0.99980000,0.99980000,0.99950000,0.99970000,0.99980000,0.99980000,0.99950000,0.99970000,127136504.00000000,127136504.00000000
2023-04-22,0.99990000,1.00010000,0.99970000,0.99970000,0.99990000,1.00010000,0.99970000,0.99970000,158532606.00000000,158532606.00000000
2023-04-21,0.99970000,1.00000000,0.99960000,0.99990000,0.99970000,1.00000000,0.99960000,0.99990000,290763269.00000000,290763269.00000000
2023-04-20,0.99950000,0.99980000,0.99940000,0.99960000,0.99950000,0.99980000,0.99940000,0.99960000,399600231.00000000,399600231.00000000
2023-04-19,0.99980000,0.99990000,0.99940000,0.99950000,0.99980000,0.99990000,0.99940000,0.99950000,487366776.00000000,487366776.00000000
2023-04-18,0.99960000,0.99990000,0.99940000,0.99990000,0.99960000,0.99990000,0.99940000,0.99990000,405162030.00000000,405162030.00000000
2023-04-17,0.99970000,0.99980000,0.99930000,0.99960000,0.99970000,0.99980000,0.99930000,0.99960000,434945857.00000000,434945857.00000000
2023-04-16,0.99950000,0.99990000,0.99950000,0.99970000,0.99950000,0.99990000,0.99950000,0.99970000,293861627.00000000,293861627.00000000
2023-04-15,0.99970000,0.99980000,0.99950000,0.99960000,0.99970000,0.99980000,0.99950000,0.99960000,266228470.00000000,266228470.00000000
2023-04-14,0.99970000,0.99990000,0.99950000,0.99970000,0.99970000,0.99990000,0.99950000,0.99970000,479254186.00000000,479254186.00000000
2023-04-13,0.99940000,0.99970000,0.99940000,0.99960000,0.99940000,0.99970000,0.99940000,0.99960000,406708959.00000000,406708959.00000000
2023-04-12,0.99940000,0.99960000,0.99920000,0.99950000,0.99940000,0.99960000,0.99920000,0.99950000,480302402.00000000,480302402.00000000
2023-04-11,0.99930000,0.99970000,0.99920000,0.99930000,0.99930000,0.99970000,0.99920000,0.99930000,487721776.00000000,487721776.00000000
2023-04-10,0.99930000,0.99960000,0.99920000,0.99940000,0.99930000,0.99960000,0.99920000,0.99940000,362983787.00000000,362983787.00000000
2023-04-09,0.99920000,0.99940000,0.99920000,0.99940000,0.99920000,0.99940000,0.99920000,0.99940000,283165570.00000000,283165570.00000000
2023-04-08,0.99930000,0.99940000,0.99920000,0.99920000,0.99930000,0.99940000,0.99920000,0.99920000,351648759.00000000,351648759.00000000
2023-04-07,0.99960000,0.99960000,0.99910000,0.99920000,0.99960000,0.99960000,0.99910000,0.99920000,204998918.00000000,204998918.00000000
2023-04-06,0.99950000,0.99960000,0.99950000,0.99950000,0.99950000,0.99960000,0.99950000,0.99950000,243168778.00000000,243168778.00000000
2023-04-05,0.99950000,0.99970000,0.99940000,0.99960000,0.99950000,0.99970000,0.99940000,0.99960000,350129348.00000000,350129348.00000000
2023-04-04,0.99940000,0.99970000,0.99930000,0.99950000,0.99940000,0.99970000,0.99930000,0.99950000,300853704.00000000,300853704.00000000
2023-04-03,0.99930000,0.99970000,0.99920000,0.99950000,0.99930000,0.99970000,0.99920000,0.99950000,461566932.00000000,461566932.00000000
2023-04-02,0.99920000,0.99950000,0.99880000,0.99940000,0.99920000,0.99950000,0.99880000,0.99940000,268782513.00000000,268782513.00000000
2023-04-01,0.99960000,0.99970000,0.99900000,0.99930000,0.99960000,0.99970000,0.99900000,0.99930000,303161753.00000000,303161753.00000000
2023-03-31,0.99950000,0.99970000,0.99940000,0.99970000,0.99950000,0.99970000,0.99940000,0.99970000,357843352.00000000,357843352.00000000
2023-03-30,0.99970000,0.99990000,0.99950000,0.99950000,0.99970000,0.99990000,0.99950000,0.99950000,454242331.00000000,454242331.00000000
2023-03-29,0.99960000,1.00000000,0.99940000,0.99980000,0.99960000,1.00000000,0.99940000,0.99980000,357275130.00000000,357275130.00000000
2023-03-28,0.99930000,0.99980000,0.99920000,0.99950000,0.99930000,0.99980000,0.99920000,0.99950000,381548146.00000000,381548146.00000000
2023-03-27,0.99890000,0.99950000,0.99850000,0.99930000,0.99890000,0.99950000,0.99850000,0.99930000,473402424.00000000,473402424.00000000
2023-03-26,0.99880000,0.99910000,0.99860000,0.99880000,0.99880000,0.99910000,0.99860000,0.99880000,267811480.00000000,267811480.00000000
2023-03-25,0.99870000,0.99920000,0.99850000,0.99880000,0.99870000,0.99920000,0.99850000,0.99880000,358755383.00000000,358755383.00000000
2023-03-24,0.99810000,0.99910000,0.99800000,0.99880000,0.99810000,0.99910000,0.99800000,0.99880000,358359604.00000000,358359604.00000000
2023-03-23,0.99770000,0.99880000,0.99700000,0.99820000,0.99770000,0.99880000,0.99700000,0.99820000,651988985.00000000,651988985.00000000
2023-03-22,0.99830000,0.99860000,0.99750000,0.99760000,0.99830000,0.99860000,0.99750000,0.99760000,496878772.00000000,496878772.00000000
2023-03-21,0.99760000,0.99900000,0.99710000,0.99830000,0.99760000,0.99900000,0.99710000,0.99830000,439690693.00000000,439690693.00000000
2023-03-20,0.99720000,0.99870000,0.99630000,0.99760000,0.99720000,0.99870000,0.99630000,0.99760000,520143517.00000000,520143517.00000000
2023-03-19,0.99740000,0.99790000,0.99680000,0.99720000,0.99740000,0.99790000,0.99680000,0.99720000,372071174.00000000,372071174.00000000
2023-03-18,0.99880000,0.99930000,0.99660000,0.99730000,0.99880000,0.99930000,0.99660000,0.99730000,786046201.00000000,786046201.00000000
2023-03-17,0.99820000,0.99940000,0.99760000,0.99890000,0.99820000,0.99940000,0.99760000,0.99890000,674058705.00000000,674058705.00000000
2023-03-16,0.99640000,0.99900000,0.99630000,0.99820000,0.99640000,0.99900000,0.99630000,0.99820000,466535686.00000000,466535686.00000000
2023-03-15,0.99650000,0.99830000,0.99450000,0.99640000,0.99650000,0.99830000,0.99450000,0.99640000,854416163.00000000,854416163.00000000
2023-03-14,0.99680000,0.99740000,0.99520000,0.99650000,0.99680000,0.99740000,0.99520000,0.99650000,820918529.00000000,820918529.00000000
2023-03-13,0.99620000,0.99790000,0.99280000,0.99690000,0.99620000,0.99790000,0.99280000,0.99690000,793676137.00000000,793676137.00000000
2023-03-12,0.99280000,0.99700000,0.99190000,0.99620000,0.99280000,0.99700000,0.99190000,0.99620000,501156515.00000000,501156515.00000000
2023-03-11,0.99700000,0.99710000,0.98730000,0.99290000,0.99700000,0.99710000,0.98730000,0.99290000,1197759546.00000000,1197759546.00000000
2023-03-10,1.00010000,1.00030000,0.99530000,0.99700000,1.00010000,1.00030000,0.99530000,0.99700000,1387850729.00000000,1387850729.00000000
2023-03-09,1.00010000,1.00030000,1.00000000,1.00000000,1.00010000,1.00030000,1.00000000,1.00000000,580687363.00000000,580687363.00000000
2023-03-08,1.00010000,1.00010000,1.00000000,1.00000000,1.00010000,1.00010000,1.00000000,1.00000000,454921463.00000000,454921463.00000000
2023-03-07,1.00010000,1.00020000,0.99990000,1.00000000,1.00010000,1.00020000,0.99990000,1.00000000,539932475.00000000,539932475.00000000
2023-03-06,1.00000000,1.00010000,0.99980000,1.00010000,1.00000000,1.00010000,0.99980000,1.00010000,583287681.00000000,583287681.00000000
2023-03-05,1.00000000,1.00000000,0.99980000,1.00000000,1.00000000,1.00000000,0.99980000,1.00000000,280788404.00000000,280788404.00000000
2023-03-04,1.00000000,1.00000000,0.99980000,1.00000000,1.00000000,1.00000000,0.99980000,1.00000000,385200964.00000000,385200964.00000000
2023-03-03,1.00000000,1.00000000,0.99950000,1.00000000,1.00000000,1.00000000,0.99950000,1.00000000,875319875.00000000,875319875.00000000
2023-03-02,0.99990000,1.00010000,0.99980000,0.99990000,0.99990000,1.00010000,0.99980000,0.99990000,627231499.00000000,627231499.00000000
2023-03-01,0.99990000,1.00000000,0.99980000,0.99990000,0.99990000,1.00000000,0.99980000,0.99990000,670395209.00000000,670395209.00000000
2023-02-28,0.99990000,1.00000000,0.99980000,0.99980000,0.99990000,1.00000000,0.99980000,0.99980000,559438248.00000000,559438248.00000000
2023-02-27,0.99990000,1.00000000,0.99980000,1.00000000,0.99990000,1.00000000,0.99980000,1.00000000,561613299.00000000,561613299.00000000
2023-02-26,0.99980000,1.00000000,0.99980000,0.99990000,0.99980000,1.00000000,0.99980000,0.99990000,346957867.00000000,346957867.00000000
