timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,17.84000000,17.97000000,17.73000000,17.87000000,17.84000000,17.97000000,17.73000000,17.87000000,1286.76200000,1286.76200000
2023-05-07,17.64000000,19.32000000,17.53000000,17.85000000,17.64000000,19.32000000,17.53000000,17.85000000,42675.62100000,42675.62100000
2023-05-06,18.28000000,18.39000000,17.28000000,17.53000000,18.28000000,18.39000000,17.28000000,17.53000000,25132.94100000,25132.94100000
2023-05-05,18.95000000,20.59000000,18.05000000,18.28000000,18.95000000,20.59000000,18.05000000,18.28000000,146272.37300000,146272.37300000
2023-05-04,17.53000000,20.59000000,17.27000000,18.96000000,17.53000000,20.59000000,17.27000000,18.96000000,167082.85500000,167082.85500000
2023-05-03,17.90000000,17.90000000,16.91000000,17.53000000,17.90000000,17.90000000,16.91000000,17.53000000,19171.96000000,19171.96000000
2023-05-02,17.61000000,17.99000000,17.50000000,17.87000000,17.61000000,17.99000000,17.50000000,17.87000000,9080.45900000,9080.45900000
2023-05-01,18.18000000,18.45000000,17.39000000,17.60000000,18.18000000,18.45000000,17.39000000,17.60000000,14825.05500000,14825.05500000
2023-04-30,18.69000000,18.69000000,17.91000000,18.19000000,18.69000000,18.69000000,17.91000000,18.19000000,20241.83700000,20241.83700000
2023-04-29,18.74000000,18.98000000,18.50000000,18.72000000,18.74000000,18.98000000,18.50000000,18.72000000,10703.92900000,10703.92900000
2023-04-28,19.02000000,19.16000000,18.50000000,18.74000000,19.02000000,19.16000000,18.50000000,18.74000000,10518.73300000,10518.73300000
2023-04-27,18.72000000,20.00000000,18.55000000,19.00000000,18.72000000,20.00000000,18.55000000,19.00000000,23375.11000000,23375.11000000
2023-04-26,18.96000000,19.39000000,18.23000000,18.76000000,18.96000000,19.39000000,18.23000000,18.76000000,18463.21400000,18463.21400000
2023-04-25,18.85000000,19.04000000,18.26000000,18.99000000,18.85000000,19.04000000,18.26000000,18.99000000,11843.60900000,11843.60900000
2023-04-24,18.90000000,19.20000000,18.59000000,18.86000000,18.90000000,19.20000000,18.59000000,18.86000000,11246.29000000,11246.29000000
2023-04-23,19.82000000,20.71000000,18.56000000,18.90000000,19.82000000,20.71000000,18.56000000,18.90000000,46635.89900000,46635.89900000
2023-04-22,18.54000000,20.40000000,18.36000000,19.86000000,18.54000000,20.40000000,18.36000000,19.86000000,19247.28800000,19247.28800000
2023-04-21,19.45000000,19.84000000,18.40000000,18.48000000,19.45000000,19.84000000,18.40000000,18.48000000,11330.62700000,11330.62700000
2023-04-20,20.08000000,20.32000000,19.26000000,19.45000000,20.08000000,20.32000000,19.26000000,19.45000000,22616.33900000,22616.33900000
2023-04-19,21.86000000,22.08000000,20.00000000,20.09000000,21.86000000,22.08000000,20.00000000,20.09000000,24675.56800000,24675.56800000
2023-04-18,21.43000000,22.00000000,21.22000000,21.89000000,21.43000000,22.00000000,21.22000000,21.89000000,15900.64500000,15900.64500000
2023-04-17,21.81000000,21.87000000,21.10000000,21.34000000,21.81000000,21.87000000,21.10000000,21.34000000,18093.49100000,18093.49100000
2023-04-16,21.66000000,22.25000000,21.25000000,21.87000000,21.66000000,22.25000000,21.25000000,21.87000000,24416.97200000,24416.97200000
2023-04-15,21.41000000,22.29000000,20.92000000,21.64000000,21.41000000,22.29000000,20.92000000,21.64000000,34390.06700000,34390.06700000
2023-04-14,21.54000000,22.08000000,21.13000000,21.43000000,21.54000000,22.08000000,21.13000000,21.43000000,23328.48900000,23328.48900000
2023-04-13,20.87000000,22.30000000,20.74000000,21.49000000,20.87000000,22.30000000,20.74000000,21.49000000,40220.20600000,40220.20600000
2023-04-12,21.15000000,21.21000000,20.56000000,20.85000000,21.15000000,21.21000000,20.56000000,20.85000000,18584.35400000,18584.35400000
2023-04-11,21.36000000,21.82000000,21.00000000,21.15000000,21.36000000,21.82000000,21.00000000,21.15000000,31115.71700000,31115.71700000
2023-04-10,21.23000000,22.64000000,20.68000000,21.41000000,21.23000000,22.64000000,20.68000000,21.41000000,84293.88500000,84293.88500000
2023-04-09,20.81000000,21.44000000,20.42000000,21.27000000,20.81000000,21.44000000,20.42000000,21.27000000,24716.17100000,24716.17100000
2023-04-08,20.76000000,21.25000000,20.42000000,20.83000000,20.76000000,21.25000000,20.42000000,20.83000000,42298.09600000,42298.09600000
2023-04-07,20.52000000,22.23000000,19.72000000,20.74000000,20.52000000,22.23000000,19.72000000,20.74000000,73198.77600000,73198.77600000
2023-04-06,21.12000000,21.40000000,20.41000000,20.57000000,21.12000000,21.40000000,20.41000000,20.57000000,33693.24400000,33693.24400000
2023-04-05,20.54000000,23.38000000,20.23000000,21.12000000,20.54000000,23.38000000,20.23000000,21.12000000,114531.22100000,114531.22100000
2023-04-04,20.16000000,20.91000000,19.87000000,20.57000000,20.16000000,20.91000000,19.87000000,20.57000000,28556.89100000,28556.89100000
2023-04-03,20.87000000,21.55000000,19.30000000,20.11000000,20.87000000,21.55000000,19.30000000,20.11000000,100905.80300000,100905.80300000
2023-04-02,20.01000000,25.18000000,19.76000000,20.87000000,20.01000000,25.18000000,19.76000000,20.87000000,303823.50400000,303823.50400000
2023-04-01,20.40000000,20.53000000,19.94000000,20.02000000,20.40000000,20.53000000,19.94000000,20.02000000,15224.57500000,15224.57500000
2023-03-31,20.31000000,21.50000000,20.00000000,20.39000000,20.31000000,21.50000000,20.00000000,20.39000000,19468.54500000,19468.54500000
2023-03-30,21.33000000,21.66000000,20.16000000,20.31000000,21.33000000,21.66000000,20.16000000,20.31000000,12277.43300000,12277.43300000
2023-03-29,20.74000000,21.91000000,20.74000000,21.35000000,20.74000000,21.91000000,20.74000000,21.35000000,10038.47900000,10038.47900000
2023-03-28,20.12000000,20.87000000,19.65000000,20.75000000,20.12000000,20.87000000,19.65000000,20.75000000,10133.25300000,10133.25300000
2023-03-27,21.21000000,21.28000000,19.89000000,20.13000000,21.21000000,21.28000000,19.89000000,20.13000000,14889.07400000,14889.07400000
2023-03-26,21.23000000,22.00000000,21.11000000,21.21000000,21.23000000,22.00000000,21.11000000,21.21000000,10681.25800000,10681.25800000
2023-03-25,21.01000000,22.87000000,20.66000000,21.26000000,21.01000000,22.87000000,20.66000000,21.26000000,40937.08300000,40937.08300000
2023-03-24,21.91000000,23.33000000,20.86000000,20.97000000,21.91000000,23.33000000,20.86000000,20.97000000,88971.74100000,88971.74100000
2023-03-23,19.26000000,25.90000000,19.16000000,21.90000000,19.26000000,25.90000000,19.16000000,21.90000000,178646.95200000,178646.95200000
2023-03-22,20.14000000,20.15000000,18.50000000,19.27000000,20.14000000,20.15000000,18.50000000,19.27000000,10955.26900000,10955.26900000
2023-03-21,19.86000000,20.41000000,19.35000000,20.17000000,19.86000000,20.41000000,19.35000000,20.17000000,14553.86600000,14553.86600000
2023-03-20,20.90000000,20.95000000,19.72000000,19.85000000,20.90000000,20.95000000,19.72000000,19.85000000,20454.94600000,20454.94600000
2023-03-19,20.72000000,21.77000000,20.44000000,20.90000000,20.72000000,21.77000000,20.44000000,20.90000000,20174.36300000,20174.36300000
