timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-02,0.00091300,0.00091400,0.00090700,0.00091100,0.00091300,0.00091400,0.00090700,0.00091100,34684620.00000000,34684620.00000000
2023-05-01,0.00094600,0.00095000,0.00089800,0.00091300,0.00094600,0.00095000,0.00089800,0.00091300,1509257907.00000000,1509257907.00000000
2023-04-30,0.00097700,0.00098100,0.00094100,0.00094500,0.00097700,0.00098100,0.00094100,0.00094500,1238317538.00000000,1238317538.00000000
2023-04-29,0.00098000,0.00098500,0.00096900,0.00097700,0.00098000,0.00098500,0.00096900,0.00097700,939200615.00000000,939200615.00000000
2023-04-28,0.00099900,0.00100100,0.00096700,0.00097900,0.00099900,0.00100100,0.00096700,0.00097900,1571376233.00000000,1571376233.00000000
2023-04-27,0.00097000,0.00101400,0.00096500,0.00100000,0.00097000,0.00101400,0.00096500,0.00100000,1715150207.00000000,1715150207.00000000
2023-04-26,0.00100500,0.00103800,0.00092500,0.00097100,0.00100500,0.00103800,0.00092500,0.00097100,2879990362.00000000,2879990362.00000000
2023-04-25,0.00101800,0.00103400,0.00095100,0.00100400,0.00101800,0.00103400,0.00095100,0.00100400,3048753752.00000000,3048753752.00000000
2023-04-24,0.00099800,0.00102400,0.00097700,0.00101800,0.00099800,0.00102400,0.00097700,0.00101800,1271458731.00000000,1271458731.00000000
2023-04-23,0.00101700,0.00102100,0.00096800,0.00099800,0.00101700,0.00102100,0.00096800,0.00099800,1105324421.00000000,1105324421.00000000
2023-04-22,0.00098400,0.00102300,0.00097700,0.00101700,0.00098400,0.00102300,0.00097700,0.00101700,1066272703.00000000,1066272703.00000000
2023-04-21,0.00104100,0.00105300,0.00097200,0.00098500,0.00104100,0.00105300,0.00097200,0.00098500,1564320101.00000000,1564320101.00000000
2023-04-20,0.00111500,0.00114500,0.00102700,0.00104100,0.00111500,0.00114500,0.00102700,0.00104100,2006675759.00000000,2006675759.00000000
2023-04-19,0.00120900,0.00121100,0.00107800,0.00111500,0.00120900,0.00121100,0.00107800,0.00111500,3955550096.00000000,3955550096.00000000
2023-04-18,0.00118400,0.00121700,0.00116100,0.00120900,0.00118400,0.00121700,0.00116100,0.00120900,1186090763.00000000,1186090763.00000000
2023-04-17,0.00120600,0.00120900,0.00116000,0.00118200,0.00120600,0.00120900,0.00116000,0.00118200,1724643019.00000000,1724643019.00000000
2023-04-16,0.00116600,0.00121800,0.00114600,0.00120700,0.00116600,0.00121800,0.00114600,0.00120700,2498501416.00000000,2498501416.00000000
2023-04-15,0.00116300,0.00116800,0.00114100,0.00116500,0.00116300,0.00116800,0.00114100,0.00116500,1123083365.00000000,1123083365.00000000
2023-04-14,0.00113600,0.00117500,0.00113100,0.00116200,0.00113600,0.00117500,0.00113100,0.00116200,1923155202.00000000,1923155202.00000000
2023-04-13,0.00111800,0.00114900,0.00110600,0.00113600,0.00111800,0.00114900,0.00110600,0.00113600,1621763351.00000000,1621763351.00000000
2023-04-12,0.00114400,0.00116800,0.00108000,0.00111700,0.00114400,0.00116800,0.00108000,0.00111700,3032580422.00000000,3032580422.00000000
2023-04-11,0.00111000,0.00116700,0.00109700,0.00114400,0.00111000,0.00116700,0.00109700,0.00114400,4157108906.00000000,4157108906.00000000
2023-04-10,0.00106800,0.00111200,0.00105400,0.00110900,0.00106800,0.00111200,0.00105400,0.00110900,1285173142.00000000,1285173142.00000000
2023-04-09,0.00105000,0.00107400,0.00103500,0.00106800,0.00105000,0.00107400,0.00103500,0.00106800,1014570874.00000000,1014570874.00000000
2023-04-08,0.00105700,0.00107200,0.00104200,0.00105100,0.00105700,0.00107200,0.00104200,0.00105100,892334440.00000000,892334440.00000000
2023-04-07,0.00108100,0.00108200,0.00105000,0.00105700,0.00108100,0.00108200,0.00105000,0.00105700,798345273.00000000,798345273.00000000
2023-04-06,0.00111000,0.00111100,0.00107100,0.00108000,0.00111000,0.00111100,0.00107100,0.00108000,1144629007.00000000,1144629007.00000000
2023-04-05,0.00109500,0.00114000,0.00108300,0.00110800,0.00109500,0.00114000,0.00108300,0.00110800,1887247104.00000000,1887247104.00000000
2023-04-04,0.00108000,0.00110500,0.00106600,0.00109400,0.00108000,0.00110500,0.00106600,0.00109400,1292061982.00000000,1292061982.00000000
2023-04-03,0.00107700,0.00109900,0.00104000,0.00108000,0.00107700,0.00109900,0.00104000,0.00108000,2002896675.00000000,2002896675.00000000
2023-04-02,0.00111700,0.00112300,0.00105600,0.00107600,0.00111700,0.00112300,0.00105600,0.00107600,1445677042.00000000,1445677042.00000000
2023-04-01,0.00110400,0.00112300,0.00108900,0.00111700,0.00110400,0.00112300,0.00108900,0.00111700,1700091215.00000000,1700091215.00000000
2023-03-31,0.00106700,0.00114400,0.00104400,0.00110400,0.00106700,0.00114400,0.00104400,0.00110400,3580692558.00000000,3580692558.00000000
2023-03-30,0.00107100,0.00110000,0.00102400,0.00106800,0.00107100,0.00110000,0.00102400,0.00106800,2995225090.00000000,2995225090.00000000
2023-03-29,0.00103100,0.00108800,0.00102600,0.00107200,0.00103100,0.00108800,0.00102600,0.00107200,1737104657.00000000,1737104657.00000000
2023-03-28,0.00099900,0.00103400,0.00098100,0.00103100,0.00099900,0.00103400,0.00098100,0.00103100,1021570437.00000000,1021570437.00000000
2023-03-27,0.00105800,0.00106000,0.00096400,0.00099800,0.00105800,0.00106000,0.00096400,0.00099800,1641723985.00000000,1641723985.00000000
2023-03-26,0.00102900,0.00108400,0.00101600,0.00105800,0.00102900,0.00108400,0.00101600,0.00105800,1003108158.00000000,1003108158.00000000
2023-03-25,0.00106700,0.00107300,0.00101500,0.00103000,0.00106700,0.00107300,0.00101500,0.00103000,845599042.00000000,845599042.00000000
2023-03-24,0.00111200,0.00112500,0.00104100,0.00106600,0.00111200,0.00112500,0.00104100,0.00106600,1027243709.00000000,1027243709.00000000
2023-03-23,0.00103300,0.00111900,0.00102300,0.00111100,0.00103300,0.00111900,0.00102300,0.00111100,1462775711.00000000,1462775711.00000000
2023-03-22,0.00110700,0.00111200,0.00100800,0.00103300,0.00110700,0.00111200,0.00100800,0.00103300,2821465991.00000000,2821465991.00000000
2023-03-21,0.00109700,0.00113200,0.00104900,0.00110600,0.00109700,0.00113200,0.00104900,0.00110600,2119018203.00000000,2119018203.00000000
2023-03-20,0.00115000,0.00117100,0.00108300,0.00109600,0.00115000,0.00117100,0.00108300,0.00109600,2406843214.00000000,2406843214.00000000
2023-03-19,0.00110100,0.00121200,0.00110100,0.00115000,0.00110100,0.00121200,0.00110100,0.00115000,4650896950.00000000,4650896950.00000000
2023-03-18,0.00114200,0.00116800,0.00108400,0.00110000,0.00114200,0.00116800,0.00108400,0.00110000,2716211708.00000000,2716211708.00000000
2023-03-17,0.00102500,0.00114300,0.00100500,0.00114100,0.00102500,0.00114300,0.00100500,0.00114100,2787521322.00000000,2787521322.00000000
2023-03-16,0.00100100,0.00104600,0.00099900,0.00102500,0.00100100,0.00104600,0.00099900,0.00102500,2582142794.00000000,2582142794.00000000
2023-03-15,0.00110600,0.00112500,0.00099500,0.00100100,0.00110600,0.00112500,0.00099500,0.00100100,2846837543.00000000,2846837543.00000000
2023-03-14,0.00105600,0.00116100,0.00103100,0.00110500,0.00105600,0.00116100,0.00103100,0.00110500,3602022781.00000000,3602022781.00000000
2023-03-13,0.00097100,0.00107100,0.00094600,0.00105500,0.00097100,0.00107100,0.00094600,0.00105500,4536254681.00000000,4536254681.00000000
2023-03-12,0.00087700,0.00097200,0.00085800,0.00097100,0.00087700,0.00097200,0.00085800,0.00097100,3076629545.00000000,3076629545.00000000
2023-03-11,0.00089300,0.00092900,0.00083400,0.00087700,0.00089300,0.00092900,0.00083400,0.00087700,2641053599.00000000,2641053599.00000000
2023-03-10,0.00089000,0.00089600,0.00081100,0.00089400,0.00089000,0.00089600,0.00081100,0.00089400,3619208535.00000000,3619208535.00000000
2023-03-09,0.00094500,0.00097900,0.00087000,0.00088900,0.00094500,0.00097900,0.00087000,0.00088900,3102409166.00000000,3102409166.00000000
2023-03-08,0.00102000,0.00102600,0.00091900,0.00094500,0.00102000,0.00102600,0.00091900,0.00094500,2162264940.00000000,2162264940.00000000
2023-03-07,0.00107500,0.00109900,0.00098700,0.00101800,0.00107500,0.00109900,0.00098700,0.00101800,2542936283.00000000,2542936283.00000000
2023-03-06,0.00109600,0.00109900,0.00105500,0.00107500,0.00109600,0.00109900,0.00105500,0.00107500,2987319769.00000000,2987319769.00000000
2023-03-05,0.00105500,0.00113300,0.00105300,0.00109600,0.00105500,0.00113300,0.00105300,0.00109600,2297269242.00000000,2297269242.00000000
2023-03-04,0.00114300,0.00116700,0.00103300,0.00105500,0.00114300,0.00116700,0.00103300,0.00105500,2404812375.00000000,2404812375.00000000
2023-03-03,0.00115900,0.00120800,0.00103700,0.00114200,0.00115900,0.00120800,0.00103700,0.00114200,9367510696.00000000,9367510696.00000000
2023-03-02,0.00118100,0.00118400,0.00112400,0.00115900,0.00118100,0.00118400,0.00112400,0.00115900,1425604392.00000000,1425604392.00000000
2023-03-01,0.00113900,0.00119200,0.00112800,0.00118100,0.00113900,0.00119200,0.00112800,0.00118100,1320453662.00000000,1320453662.00000000
2023-02-28,0.00119900,0.00121500,0.00113700,0.00113900,0.00119900,0.00121500,0.00113700,0.00113900,1711955304.00000000,1711955304.00000000
2023-02-27,0.00120500,0.00122600,0.00116900,0.00119700,0.00120500,0.00122600,0.00116900,0.00119700,1479458849.00000000,1479458849.00000000
2023-02-26,0.00119100,0.00122000,0.00117000,0.00120500,0.00119100,0.00122000,0.00117000,0.00120500,1393089489.00000000,1393089489.00000000
2023-02-25,0.00118500,0.00120500,0.00113000,0.00119000,0.00118500,0.00120500,0.00113000,0.00119000,1761009875.00000000,1761009875.00000000
2023-02-24,0.00123900,0.00124800,0.00115000,0.00118400,0.00123900,0.00124800,0.00115000,0.00118400,3187264904.00000000,3187264904.00000000
2023-02-23,0.00124200,0.00129000,0.00121200,0.00123800,0.00124200,0.00129000,0.00121200,0.00123800,2937817758.00000000,2937817758.00000000
2023-02-22,0.00127600,0.00128500,0.00117900,0.00124200,0.00127600,0.00128500,0.00117900,0.00124200,4081440962.00000000,4081440962.00000000
2023-02-21,0.00131900,0.00140700,0.00123700,0.00127600,0.00131900,0.00140700,0.00123700,0.00127600,7460424370.00000000,7460424370.00000000
2023-02-20,0.00130700,0.00145500,0.00124400,0.00131600,0.00130700,0.00145500,0.00124400,0.00131600,19879978483.00000000,19879978483.00000000
2023-02-19,0.00110600,0.00153400,0.00109500,0.00130700,0.00110600,0.00153400,0.00109500,0.00130700,22775111302.00000000,22775111302.00000000
2023-02-18,0.00109400,0.00112800,0.00106100,0.00110500,0.00109400,0.00112800,0.00106100,0.00110500,3922253166.00000000,3922253166.00000000
2023-02-17,0.00103700,0.00111100,0.00102500,0.00109500,0.00103700,0.00111100,0.00102500,0.00109500,7815239333.00000000,7815239333.00000000
2023-02-16,0.00099400,0.00122000,0.00098000,0.00103500,0.00099400,0.00122000,0.00098000,0.00103500,21685663104.00000000,21685663104.00000000
2023-02-15,0.00092800,0.00100000,0.00091900,0.00099300,0.00092800,0.00100000,0.00091900,0.00099300,2229727321.00000000,2229727321.00000000
2023-02-14,0.00088900,0.00092800,0.00086900,0.00092800,0.00088900,0.00092800,0.00086900,0.00092800,3059609077.00000000,3059609077.00000000
2023-02-13,0.00087800,0.00089200,0.00083500,0.00088900,0.00087800,0.00089200,0.00083500,0.00088900,2600423525.00000000,2600423525.00000000
2023-02-12,0.00089900,0.00091100,0.00086000,0.00087900,0.00089900,0.00091100,0.00086000,0.00087900,1160450097.00000000,1160450097.00000000
2023-02-11,0.00086700,0.00090600,0.00085700,0.00089900,0.00086700,0.00090600,0.00085700,0.00089900,1299335806.00000000,1299335806.00000000
2023-02-10,0.00089100,0.00090400,0.00086000,0.00086700,0.00089100,0.00090400,0.00086000,0.00086700,2648853625.00000000,2648853625.00000000
2023-02-09,0.00101400,0.00104600,0.00086200,0.00089100,0.00101400,0.00104600,0.00086200,0.00089100,4078684422.00000000,4078684422.00000000
2023-02-08,0.00105700,0.00106900,0.00098200,0.00101300,0.00105700,0.00106900,0.00098200,0.00101300,2660861382.00000000,2660861382.00000000
2023-02-07,0.00100600,0.00107800,0.00100400,0.00105700,0.00100600,0.00107800,0.00100400,0.00105700,3529674528.00000000,3529674528.00000000
2023-02-06,0.00097400,0.00104200,0.00095500,0.00100600,0.00097400,0.00104200,0.00095500,0.00100600,3806477128.00000000,3806477128.00000000
