timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.07652000,0.07690000,0.07614000,0.07686000,0.07652000,0.07690000,0.07614000,0.07686000,28754741.00000000,28754741.00000000
2023-05-07,0.07672000,0.07756000,0.07617000,0.07652000,0.07672000,0.07756000,0.07617000,0.07652000,440286253.00000000,440286253.00000000
2023-05-06,0.08017000,0.08049000,0.07566000,0.07672000,0.08017000,0.08049000,0.07566000,0.07672000,866161917.00000000,866161917.00000000
2023-05-05,0.07837000,0.08147000,0.07705000,0.08017000,0.07837000,0.08147000,0.07705000,0.08017000,751560591.00000000,751560591.00000000
2023-05-04,0.07961000,0.07970000,0.07794000,0.07838000,0.07961000,0.07970000,0.07794000,0.07838000,521626133.00000000,521626133.00000000
2023-05-03,0.07876000,0.08072000,0.07711000,0.07962000,0.07876000,0.08072000,0.07711000,0.07962000,666847319.00000000,666847319.00000000
2023-05-02,0.07882000,0.07910000,0.07754000,0.07876000,0.07882000,0.07910000,0.07754000,0.07876000,429294264.00000000,429294264.00000000
2023-05-01,0.07950000,0.08003000,0.07733000,0.07882000,0.07950000,0.08003000,0.07733000,0.07882000,687515788.00000000,687515788.00000000
2023-04-30,0.08157000,0.08174000,0.07923000,0.07951000,0.08157000,0.08174000,0.07923000,0.07951000,585421236.00000000,585421236.00000000
2023-04-29,0.08033000,0.08197000,0.08019000,0.08157000,0.08033000,0.08197000,0.08019000,0.08157000,590694438.00000000,590694438.00000000
2023-04-28,0.08013000,0.08074000,0.07892000,0.08033000,0.08013000,0.08074000,0.07892000,0.08033000,490310858.00000000,490310858.00000000
2023-04-27,0.07859000,0.08100000,0.07837000,0.08014000,0.07859000,0.08100000,0.07837000,0.08014000,1030067337.00000000,1030067337.00000000
2023-04-26,0.07976000,0.08358000,0.07480000,0.07859000,0.07976000,0.08358000,0.07480000,0.07859000,1881668380.00000000,1881668380.00000000
2023-04-25,0.07875000,0.07996000,0.07752000,0.07976000,0.07875000,0.07996000,0.07752000,0.07976000,649768816.00000000,649768816.00000000
2023-04-24,0.07876000,0.08000000,0.07715000,0.07873000,0.07876000,0.08000000,0.07715000,0.07873000,835608693.00000000,835608693.00000000
2023-04-23,0.08029000,0.08083000,0.07651000,0.07878000,0.08029000,0.08083000,0.07651000,0.07878000,776127337.00000000,776127337.00000000
2023-04-22,0.07842000,0.08101000,0.07817000,0.08028000,0.07842000,0.08101000,0.07817000,0.08028000,807742799.00000000,807742799.00000000
2023-04-21,0.08390000,0.08470000,0.07620000,0.07842000,0.08390000,0.08470000,0.07620000,0.07842000,2208532603.00000000,2208532603.00000000
2023-04-20,0.08787000,0.09350000,0.08251000,0.08389000,0.08787000,0.09350000,0.08251000,0.08389000,4572088496.00000000,4572088496.00000000
2023-04-19,0.09412000,0.09413000,0.08420000,0.08788000,0.09412000,0.09413000,0.08420000,0.08788000,2757696460.00000000,2757696460.00000000
2023-04-18,0.09137000,0.09500000,0.08974000,0.09411000,0.09137000,0.09500000,0.08974000,0.09411000,1670819556.00000000,1670819556.00000000
2023-04-17,0.09043000,0.09488000,0.08807000,0.09137000,0.09043000,0.09488000,0.08807000,0.09137000,2941097287.00000000,2941097287.00000000
2023-04-16,0.08889000,0.09183000,0.08750000,0.09043000,0.08889000,0.09183000,0.08750000,0.09043000,1204599668.00000000,1204599668.00000000
2023-04-15,0.08866000,0.09057000,0.08714000,0.08888000,0.08866000,0.09057000,0.08714000,0.08888000,873116413.00000000,873116413.00000000
2023-04-14,0.08729000,0.09138000,0.08527000,0.08866000,0.08729000,0.09138000,0.08527000,0.08866000,2129880806.00000000,2129880806.00000000
2023-04-13,0.08346000,0.08886000,0.08279000,0.08729000,0.08346000,0.08886000,0.08279000,0.08729000,1824584606.00000000,1824584606.00000000
2023-04-12,0.08409000,0.08510000,0.08036000,0.08346000,0.08409000,0.08510000,0.08036000,0.08346000,1733885327.00000000,1733885327.00000000
2023-04-11,0.08474000,0.08607000,0.08359000,0.08408000,0.08474000,0.08607000,0.08359000,0.08408000,1001623427.00000000,1001623427.00000000
2023-04-10,0.08318000,0.08541000,0.08225000,0.08473000,0.08318000,0.08541000,0.08225000,0.08473000,948759612.00000000,948759612.00000000
2023-04-09,0.08135000,0.08393000,0.08107000,0.08318000,0.08135000,0.08393000,0.08107000,0.08318000,922447755.00000000,922447755.00000000
2023-04-08,0.08222000,0.08383000,0.08035000,0.08134000,0.08222000,0.08383000,0.08035000,0.08134000,1218517909.00000000,1218517909.00000000
2023-04-07,0.08541000,0.08620000,0.08113000,0.08222000,0.08541000,0.08620000,0.08113000,0.08222000,2228211181.00000000,2228211181.00000000
2023-04-06,0.09268000,0.09275000,0.08415000,0.08541000,0.09268000,0.09275000,0.08415000,0.08541000,3278113280.00000000,3278113280.00000000
