timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,39.33000000,39.55000000,39.19000000,39.30000000,39.33000000,39.55000000,39.19000000,39.30000000,4393.02000000,4393.02000000
2023-05-07,39.41000000,39.70000000,39.12000000,39.31000000,39.41000000,39.70000000,39.12000000,39.31000000,84947.43000000,84947.43000000
2023-05-06,39.85000000,40.25000000,38.37000000,39.41000000,39.85000000,40.25000000,38.37000000,39.41000000,145982.45000000,145982.45000000
2023-05-05,39.24000000,40.19000000,38.79000000,39.85000000,39.24000000,40.19000000,38.79000000,39.85000000,155062.72000000,155062.72000000
2023-05-04,40.04000000,40.09000000,39.09000000,39.23000000,40.04000000,40.09000000,39.09000000,39.23000000,150144.02000000,150144.02000000
2023-05-03,40.64000000,41.20000000,39.03000000,40.05000000,40.64000000,41.20000000,39.03000000,40.05000000,246057.73000000,246057.73000000
2023-05-02,41.72000000,41.72000000,39.85000000,40.64000000,41.72000000,41.72000000,39.85000000,40.64000000,217350.60000000,217350.60000000
2023-05-01,41.52000000,43.90000000,41.08000000,41.72000000,41.52000000,43.90000000,41.08000000,41.72000000,463620.68000000,463620.68000000
2023-04-30,41.84000000,42.78000000,40.90000000,41.52000000,41.84000000,42.78000000,40.90000000,41.52000000,147898.91000000,147898.91000000
2023-04-29,43.26000000,43.32000000,41.58000000,41.85000000,43.26000000,43.32000000,41.58000000,41.85000000,185341.71000000,185341.71000000
2023-04-28,44.01000000,46.17000000,43.07000000,43.26000000,44.01000000,46.17000000,43.07000000,43.26000000,414164.71000000,414164.71000000
2023-04-27,41.56000000,49.80000000,41.47000000,44.01000000,41.56000000,49.80000000,41.47000000,44.01000000,2066231.11000000,2066231.11000000
2023-04-26,38.68000000,42.98000000,38.37000000,41.55000000,38.68000000,42.98000000,38.37000000,41.55000000,396403.45000000,396403.45000000
2023-04-25,38.64000000,38.74000000,37.20000000,38.67000000,38.64000000,38.74000000,37.20000000,38.67000000,128569.34000000,128569.34000000
2023-04-24,38.83000000,39.85000000,38.31000000,38.64000000,38.83000000,39.85000000,38.31000000,38.64000000,91463.11000000,91463.11000000
2023-04-23,39.01000000,39.42000000,38.13000000,38.85000000,39.01000000,39.42000000,38.13000000,38.85000000,65069.42000000,65069.42000000
2023-04-22,38.32000000,39.08000000,38.12000000,39.01000000,38.32000000,39.08000000,38.12000000,39.01000000,52905.64000000,52905.64000000
2023-04-21,39.39000000,40.09000000,37.56000000,38.33000000,39.39000000,40.09000000,37.56000000,38.33000000,132470.06000000,132470.06000000
2023-04-20,39.93000000,40.30000000,38.80000000,39.41000000,39.93000000,40.30000000,38.80000000,39.41000000,148301.62000000,148301.62000000
2023-04-19,43.56000000,43.97000000,39.00000000,39.94000000,43.56000000,43.97000000,39.00000000,39.94000000,258829.71000000,258829.71000000
2023-04-18,43.59000000,44.62000000,42.01000000,43.56000000,43.59000000,44.62000000,42.01000000,43.56000000,317499.70000000,317499.70000000
2023-04-17,43.21000000,44.12000000,41.95000000,43.59000000,43.21000000,44.12000000,41.95000000,43.59000000,197615.85000000,197615.85000000
2023-04-16,43.50000000,43.74000000,42.75000000,43.21000000,43.50000000,43.74000000,42.75000000,43.21000000,106459.14000000,106459.14000000
2023-04-15,43.03000000,44.00000000,42.21000000,43.50000000,43.03000000,44.00000000,42.21000000,43.50000000,159829.81000000,159829.81000000
2023-04-14,41.38000000,44.20000000,41.32000000,43.00000000,41.38000000,44.20000000,41.32000000,43.00000000,221970.83000000,221970.83000000
2023-04-13,40.64000000,41.83000000,40.30000000,41.38000000,40.64000000,41.83000000,40.30000000,41.38000000,128915.91000000,128915.91000000
2023-04-12,40.83000000,41.01000000,39.60000000,40.62000000,40.83000000,41.01000000,39.60000000,40.62000000,136597.63000000,136597.63000000
2023-04-11,40.80000000,41.62000000,40.67000000,40.84000000,40.80000000,41.62000000,40.67000000,40.84000000,146068.53000000,146068.53000000
2023-04-10,39.92000000,41.77000000,39.55000000,40.80000000,39.92000000,41.77000000,39.55000000,40.80000000,196942.48000000,196942.48000000
2023-04-09,40.32000000,40.82000000,39.79000000,39.92000000,40.32000000,40.82000000,39.79000000,39.92000000,115613.09000000,115613.09000000
2023-04-08,40.75000000,41.19000000,40.28000000,40.32000000,40.75000000,41.19000000,40.28000000,40.32000000,75838.37000000,75838.37000000
2023-04-07,41.29000000,41.69000000,40.52000000,40.74000000,41.29000000,41.69000000,40.52000000,40.74000000,96413.17000000,96413.17000000
2023-04-06,42.40000000,42.47000000,41.00000000,41.31000000,42.40000000,42.47000000,41.00000000,41.31000000,175731.73000000,175731.73000000
2023-04-05,41.43000000,42.80000000,41.22000000,42.42000000,41.43000000,42.80000000,41.22000000,42.42000000,160549.31000000,160549.31000000
2023-04-04,40.53000000,41.60000000,40.19000000,41.41000000,40.53000000,41.60000000,40.19000000,41.41000000,136285.45000000,136285.45000000
2023-04-03,40.90000000,41.29000000,39.49000000,40.52000000,40.90000000,41.29000000,39.49000000,40.52000000,221304.67000000,221304.67000000
2023-04-02,42.69000000,42.86000000,40.25000000,40.90000000,42.69000000,42.86000000,40.25000000,40.90000000,196309.62000000,196309.62000000
2023-04-01,42.44000000,43.16000000,42.04000000,42.68000000,42.44000000,43.16000000,42.04000000,42.68000000,91005.96000000,91005.96000000
2023-03-31,42.18000000,42.92000000,41.52000000,42.44000000,42.18000000,42.92000000,41.52000000,42.44000000,112815.66000000,112815.66000000
2023-03-30,44.05000000,44.20000000,41.65000000,42.17000000,44.05000000,44.20000000,41.65000000,42.17000000,256939.79000000,256939.79000000
2023-03-29,42.10000000,44.55000000,42.04000000,44.06000000,42.10000000,44.55000000,42.04000000,44.06000000,172034.57000000,172034.57000000
2023-03-28,41.16000000,42.35000000,40.64000000,42.08000000,41.16000000,42.35000000,40.64000000,42.08000000,109390.20000000,109390.20000000
2023-03-27,42.77000000,42.88000000,40.43000000,41.16000000,42.77000000,42.88000000,40.43000000,41.16000000,135160.00000000,135160.00000000
2023-03-26,42.11000000,42.99000000,41.97000000,42.77000000,42.11000000,42.99000000,41.97000000,42.77000000,69934.08000000,69934.08000000
2023-03-25,42.43000000,42.78000000,41.48000000,42.13000000,42.43000000,42.78000000,41.48000000,42.13000000,69003.18000000,69003.18000000
2023-03-24,43.55000000,44.40000000,41.74000000,42.41000000,43.55000000,44.40000000,41.74000000,42.41000000,180721.22000000,180721.22000000
2023-03-23,41.90000000,44.14000000,41.60000000,43.57000000,41.90000000,44.14000000,41.60000000,43.57000000,165908.91000000,165908.91000000
2023-03-22,44.16000000,44.84000000,40.46000000,41.92000000,44.16000000,44.84000000,40.46000000,41.92000000,301801.30000000,301801.30000000
2023-03-21,49.00000000,49.93000000,40.50000000,44.15000000,49.00000000,49.93000000,40.50000000,44.15000000,663519.76000000,663519.76000000
2023-03-20,43.76000000,49.35000000,42.31000000,49.00000000,43.76000000,49.35000000,42.31000000,49.00000000,428414.34000000,428414.34000000
2023-03-19,43.14000000,44.76000000,42.50000000,43.71000000,43.14000000,44.76000000,42.50000000,43.71000000,113042.50000000,113042.50000000
2023-03-18,43.95000000,46.09000000,42.96000000,43.16000000,43.95000000,46.09000000,42.96000000,43.16000000,187632.54000000,187632.54000000
2023-03-17,40.72000000,44.02000000,40.15000000,43.93000000,40.72000000,44.02000000,40.15000000,43.93000000,160686.31000000,160686.31000000
2023-03-16,40.53000000,41.60000000,39.85000000,40.72000000,40.53000000,41.60000000,39.85000000,40.72000000,124666.36000000,124666.36000000
2023-03-15,43.63000000,44.31000000,39.72000000,40.55000000,43.63000000,44.31000000,39.72000000,40.55000000,197705.27000000,197705.27000000
2023-03-14,42.78000000,45.07000000,41.60000000,43.64000000,42.78000000,45.07000000,41.60000000,43.64000000,239890.71000000,239890.71000000
2023-03-13,40.77000000,43.46000000,40.29000000,42.73000000,40.77000000,43.46000000,40.29000000,42.73000000,273763.41000000,273763.41000000
2023-03-12,38.38000000,40.94000000,37.94000000,40.75000000,38.38000000,40.94000000,37.94000000,40.75000000,178040.91000000,178040.91000000
2023-03-11,38.40000000,39.11000000,36.32000000,38.37000000,38.40000000,39.11000000,36.32000000,38.37000000,261607.27000000,261607.27000000
2023-03-10,37.87000000,38.88000000,36.00000000,38.40000000,37.87000000,38.88000000,36.00000000,38.40000000,241778.48000000,241778.48000000
