timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-02,0.37540000,0.37610000,0.37330000,0.37480000,0.37540000,0.37610000,0.37330000,0.37480000,75719.30000000,75719.30000000
2023-05-01,0.38550000,0.38800000,0.36880000,0.37540000,0.38550000,0.38800000,0.36880000,0.37540000,4079062.90000000,4079062.90000000
2023-04-30,0.39750000,0.39750000,0.38240000,0.38560000,0.39750000,0.39750000,0.38240000,0.38560000,4380928.10000000,4380928.10000000
2023-04-29,0.39390000,0.40000000,0.39140000,0.39750000,0.39390000,0.40000000,0.39140000,0.39750000,3809083.50000000,3809083.50000000
2023-04-28,0.39880000,0.40270000,0.38750000,0.39390000,0.39880000,0.40270000,0.38750000,0.39390000,4543986.80000000,4543986.80000000
2023-04-27,0.39100000,0.40350000,0.38670000,0.39880000,0.39100000,0.40350000,0.38670000,0.39880000,6287104.00000000,6287104.00000000
2023-04-26,0.39760000,0.41240000,0.36820000,0.39110000,0.39760000,0.41240000,0.36820000,0.39110000,9480070.60000000,9480070.60000000
2023-04-25,0.39100000,0.40010000,0.37900000,0.39760000,0.39100000,0.40010000,0.37900000,0.39760000,4663306.50000000,4663306.50000000
2023-04-24,0.39080000,0.39660000,0.38270000,0.39060000,0.39080000,0.39660000,0.38270000,0.39060000,5345959.10000000,5345959.10000000
2023-04-23,0.39780000,0.39780000,0.37840000,0.39080000,0.39780000,0.39780000,0.37840000,0.39080000,4793955.40000000,4793955.40000000
2023-04-22,0.38310000,0.39790000,0.37970000,0.39780000,0.38310000,0.39790000,0.37970000,0.39780000,4993236.70000000,4993236.70000000
2023-04-21,0.39990000,0.40710000,0.37710000,0.38310000,0.39990000,0.40710000,0.37710000,0.38310000,11268271.10000000,11268271.10000000
2023-04-20,0.40920000,0.41930000,0.39200000,0.40020000,0.40920000,0.41930000,0.39200000,0.40020000,9754651.40000000,9754651.40000000
2023-04-19,0.45590000,0.45600000,0.39700000,0.40920000,0.45590000,0.45600000,0.39700000,0.40920000,15498274.50000000,15498274.50000000
2023-04-18,0.45160000,0.46110000,0.44270000,0.45590000,0.45160000,0.46110000,0.44270000,0.45590000,10896770.20000000,10896770.20000000
2023-04-17,0.45050000,0.45530000,0.43500000,0.45170000,0.45050000,0.45530000,0.43500000,0.45170000,11005440.30000000,11005440.30000000
2023-04-16,0.44510000,0.45990000,0.43470000,0.45040000,0.44510000,0.45990000,0.43470000,0.45040000,9158373.10000000,9158373.10000000
2023-04-15,0.44810000,0.45320000,0.43650000,0.44510000,0.44810000,0.45320000,0.43650000,0.44510000,8834849.90000000,8834849.90000000
2023-04-14,0.43440000,0.45080000,0.42650000,0.44810000,0.43440000,0.45080000,0.42650000,0.44810000,15123661.50000000,15123661.50000000
2023-04-13,0.42090000,0.43460000,0.41540000,0.43450000,0.42090000,0.43460000,0.41540000,0.43450000,10836243.20000000,10836243.20000000
2023-04-12,0.43130000,0.43250000,0.40530000,0.42100000,0.43130000,0.43250000,0.40530000,0.42100000,14727556.40000000,14727556.40000000
2023-04-11,0.43730000,0.43800000,0.42800000,0.43130000,0.43730000,0.43800000,0.42800000,0.43130000,11973415.80000000,11973415.80000000
2023-04-10,0.44360000,0.44610000,0.42050000,0.43720000,0.44360000,0.44610000,0.42050000,0.43720000,16859869.00000000,16859869.00000000
2023-04-09,0.44040000,0.44770000,0.42680000,0.44350000,0.44040000,0.44770000,0.42680000,0.44350000,21126984.10000000,21126984.10000000
2023-04-08,0.47180000,0.47760000,0.43860000,0.44040000,0.47180000,0.47760000,0.43860000,0.44040000,43040935.90000000,43040935.90000000
2023-04-07,0.41920000,0.50200000,0.41840000,0.47180000,0.41920000,0.50200000,0.41840000,0.47180000,131326786.50000000,131326786.50000000
2023-04-06,0.42720000,0.42970000,0.41080000,0.41900000,0.42720000,0.42970000,0.41080000,0.41900000,9474789.50000000,9474789.50000000
2023-04-05,0.40840000,0.43290000,0.40490000,0.42730000,0.40840000,0.43290000,0.40490000,0.42730000,14666027.80000000,14666027.80000000
2023-04-04,0.39980000,0.41110000,0.39240000,0.40840000,0.39980000,0.41110000,0.39240000,0.40840000,7557449.90000000,7557449.90000000
2023-04-03,0.39480000,0.41690000,0.38200000,0.39990000,0.39480000,0.41690000,0.38200000,0.39990000,10271630.20000000,10271630.20000000
2023-04-02,0.41400000,0.41790000,0.38730000,0.39460000,0.41400000,0.41790000,0.38730000,0.39460000,7188496.20000000,7188496.20000000
2023-04-01,0.40650000,0.41730000,0.40220000,0.41400000,0.40650000,0.41730000,0.40220000,0.41400000,8170840.40000000,8170840.40000000
2023-03-31,0.39140000,0.41410000,0.38080000,0.40630000,0.39140000,0.41410000,0.38080000,0.40630000,8839122.00000000,8839122.00000000
2023-03-30,0.39940000,0.40790000,0.38200000,0.39150000,0.39940000,0.40790000,0.38200000,0.39150000,9933117.00000000,9933117.00000000
2023-03-29,0.37620000,0.40130000,0.37620000,0.39940000,0.37620000,0.40130000,0.37620000,0.39940000,9216465.00000000,9216465.00000000
2023-03-28,0.36840000,0.37760000,0.35970000,0.37620000,0.36840000,0.37760000,0.35970000,0.37620000,5924923.10000000,5924923.10000000
2023-03-27,0.38980000,0.39330000,0.36180000,0.36830000,0.38980000,0.39330000,0.36180000,0.36830000,7508880.40000000,7508880.40000000
2023-03-26,0.38130000,0.39250000,0.37840000,0.38980000,0.38130000,0.39250000,0.37840000,0.38980000,4763109.60000000,4763109.60000000
2023-03-25,0.38580000,0.39320000,0.37510000,0.38130000,0.38580000,0.39320000,0.37510000,0.38130000,5498389.20000000,5498389.20000000
2023-03-24,0.40130000,0.40210000,0.37800000,0.38580000,0.40130000,0.40210000,0.37800000,0.38580000,6673529.60000000,6673529.60000000
2023-03-23,0.38390000,0.40540000,0.37760000,0.40130000,0.38390000,0.40540000,0.37760000,0.40130000,7524840.40000000,7524840.40000000
