timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.96900000,0.97400000,0.96200000,0.97200000,0.96900000,0.97400000,0.96200000,0.97200000,338874.90000000,338874.90000000
2023-05-07,0.98400000,0.99300000,0.95800000,0.96900000,0.98400000,0.99300000,0.95800000,0.96900000,5739848.80000000,5739848.80000000
2023-05-06,1.01600000,1.03900000,0.97000000,0.98300000,1.01600000,1.03900000,0.97000000,0.98300000,14586453.90000000,14586453.90000000
2023-05-05,1.00500000,1.02000000,0.96000000,1.01700000,1.00500000,1.02000000,0.96000000,1.01700000,8670552.50000000,8670552.50000000
2023-05-04,1.03200000,1.03400000,0.99900000,1.00500000,1.03200000,1.03400000,0.99900000,1.00500000,6149878.90000000,6149878.90000000
2023-05-03,1.02200000,1.03800000,0.99800000,1.03200000,1.02200000,1.03800000,0.99800000,1.03200000,6508637.10000000,6508637.10000000
2023-05-02,1.00800000,1.03100000,1.00600000,1.02200000,1.00800000,1.03100000,1.00600000,1.02200000,4691534.40000000,4691534.40000000
2023-05-01,1.02200000,1.02800000,0.99300000,1.00800000,1.02200000,1.02800000,0.99300000,1.00800000,5846173.70000000,5846173.70000000
2023-04-30,1.04300000,1.05000000,1.01100000,1.02200000,1.04300000,1.05000000,1.01100000,1.02200000,4735623.70000000,4735623.70000000
2023-04-29,1.04000000,1.05000000,1.02800000,1.04300000,1.04000000,1.05000000,1.02800000,1.04300000,4500383.10000000,4500383.10000000
2023-04-28,1.03100000,1.05100000,1.01400000,1.04000000,1.03100000,1.05100000,1.01400000,1.04000000,5537585.90000000,5537585.90000000
2023-04-27,1.02700000,1.05000000,1.00900000,1.03100000,1.02700000,1.05000000,1.00900000,1.03100000,14334241.40000000,14334241.40000000
2023-04-26,1.06100000,1.08800000,0.97400000,1.02700000,1.06100000,1.08800000,0.97400000,1.02700000,16174654.00000000,16174654.00000000
2023-04-25,1.04900000,1.06200000,1.02200000,1.06000000,1.04900000,1.06200000,1.02200000,1.06000000,9391665.10000000,9391665.10000000
2023-04-24,1.05500000,1.07400000,1.01800000,1.04900000,1.05500000,1.07400000,1.01800000,1.04900000,9971121.90000000,9971121.90000000
2023-04-23,1.07300000,1.07300000,1.03000000,1.05600000,1.07300000,1.07300000,1.03000000,1.05600000,8065881.60000000,8065881.60000000
2023-04-22,1.04300000,1.07700000,1.03800000,1.07300000,1.04300000,1.07700000,1.03800000,1.07300000,6571783.20000000,6571783.20000000
2023-04-21,1.07800000,1.09200000,1.02100000,1.04300000,1.07800000,1.09200000,1.02100000,1.04300000,13607513.40000000,13607513.40000000
2023-04-20,1.10000000,1.11500000,1.05100000,1.07800000,1.10000000,1.11500000,1.05100000,1.07800000,15025224.60000000,15025224.60000000
2023-04-19,1.21900000,1.22000000,1.08000000,1.10000000,1.21900000,1.22000000,1.08000000,1.10000000,19089296.60000000,19089296.60000000
2023-04-18,1.20600000,1.23000000,1.19100000,1.21900000,1.20600000,1.23000000,1.19100000,1.21900000,7948674.90000000,7948674.90000000
2023-04-17,1.23800000,1.24000000,1.19800000,1.20600000,1.23800000,1.24000000,1.19800000,1.20600000,9009140.50000000,9009140.50000000
2023-04-16,1.24200000,1.25300000,1.22300000,1.23800000,1.24200000,1.25300000,1.22300000,1.23800000,7503759.80000000,7503759.80000000
2023-04-15,1.25000000,1.25200000,1.23000000,1.24200000,1.25000000,1.25200000,1.23000000,1.24200000,8242665.30000000,8242665.30000000
2023-04-14,1.25800000,1.29700000,1.21100000,1.24900000,1.25800000,1.29700000,1.21100000,1.24900000,25660594.30000000,25660594.30000000
2023-04-13,1.20700000,1.27400000,1.19900000,1.25800000,1.20700000,1.27400000,1.19900000,1.25800000,17736606.70000000,17736606.70000000
2023-04-12,1.23200000,1.23800000,1.19200000,1.20700000,1.23200000,1.23800000,1.19200000,1.20700000,11721155.50000000,11721155.50000000
2023-04-11,1.23900000,1.25300000,1.22800000,1.23200000,1.23900000,1.25300000,1.22800000,1.23200000,10062909.70000000,10062909.70000000
2023-04-10,1.20900000,1.24700000,1.19100000,1.23800000,1.20900000,1.24700000,1.19100000,1.23800000,8660629.60000000,8660629.60000000
2023-04-09,1.18900000,1.21700000,1.17400000,1.20900000,1.18900000,1.21700000,1.17400000,1.20900000,6995300.00000000,6995300.00000000
2023-04-08,1.21500000,1.23600000,1.18700000,1.19000000,1.21500000,1.23600000,1.18700000,1.19000000,8585702.60000000,8585702.60000000
2023-04-07,1.21700000,1.22200000,1.19000000,1.21500000,1.21700000,1.22200000,1.19000000,1.21500000,8982648.20000000,8982648.20000000
2023-04-06,1.18900000,1.25100000,1.17200000,1.21800000,1.18900000,1.25100000,1.17200000,1.21800000,18131133.60000000,18131133.60000000
