timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00549000,0.00549500,0.00547300,0.00549500,0.00549000,0.00549500,0.00547300,0.00549500,606596.00000000,606596.00000000
2023-05-07,0.00543000,0.00569800,0.00541300,0.00549200,0.00543000,0.00569800,0.00541300,0.00549200,36139886.00000000,36139886.00000000
2023-05-06,0.00550800,0.00552400,0.00541600,0.00543100,0.00550800,0.00552400,0.00541600,0.00543100,18929041.00000000,18929041.00000000
2023-05-05,0.00561400,0.00566600,0.00547400,0.00550900,0.00561400,0.00566600,0.00547400,0.00550900,45456268.00000000,45456268.00000000
2023-05-04,0.00569300,0.00569400,0.00560000,0.00561300,0.00569300,0.00569400,0.00560000,0.00561300,9646716.00000000,9646716.00000000
2023-05-03,0.00567400,0.00571200,0.00557600,0.00569300,0.00567400,0.00571200,0.00557600,0.00569300,16552316.00000000,16552316.00000000
2023-05-02,0.00575200,0.00578800,0.00564800,0.00567300,0.00575200,0.00578800,0.00564800,0.00567300,21555547.00000000,21555547.00000000
2023-05-01,0.00580800,0.00583400,0.00567600,0.00575500,0.00580800,0.00583400,0.00567600,0.00575500,19287335.00000000,19287335.00000000
2023-04-30,0.00585300,0.00594300,0.00579000,0.00580500,0.00585300,0.00594300,0.00579000,0.00580500,17257169.00000000,17257169.00000000
2023-04-29,0.00584500,0.00596100,0.00576600,0.00585200,0.00584500,0.00596100,0.00576600,0.00585200,30629757.00000000,30629757.00000000
2023-04-28,0.00589500,0.00591100,0.00582200,0.00584700,0.00589500,0.00591100,0.00582200,0.00584700,10435790.00000000,10435790.00000000
2023-04-27,0.00588600,0.00606300,0.00585000,0.00589500,0.00588600,0.00606300,0.00585000,0.00589500,41390042.00000000,41390042.00000000
2023-04-26,0.00594100,0.00598800,0.00580000,0.00588400,0.00594100,0.00598800,0.00580000,0.00588400,32023354.00000000,32023354.00000000
2023-04-25,0.00582100,0.00595200,0.00581400,0.00593900,0.00582100,0.00595200,0.00581400,0.00593900,30992159.00000000,30992159.00000000
2023-04-24,0.00587900,0.00593100,0.00580200,0.00582100,0.00587900,0.00593100,0.00580200,0.00582100,16392300.00000000,16392300.00000000
2023-04-23,0.00594800,0.00598300,0.00582500,0.00587900,0.00594800,0.00598300,0.00582500,0.00587900,12374899.00000000,12374899.00000000
2023-04-22,0.00588500,0.00595600,0.00583600,0.00594800,0.00588500,0.00595600,0.00583600,0.00594800,6931206.00000000,6931206.00000000
2023-04-21,0.00599600,0.00603600,0.00582700,0.00588400,0.00599600,0.00603600,0.00582700,0.00588400,29143926.00000000,29143926.00000000
2023-04-20,0.00611400,0.00622000,0.00592200,0.00600100,0.00611400,0.00622000,0.00592200,0.00600100,50670532.00000000,50670532.00000000
2023-04-19,0.00636400,0.00639200,0.00605900,0.00610900,0.00636400,0.00639200,0.00605900,0.00610900,73718755.00000000,73718755.00000000
2023-04-18,0.00631400,0.00649800,0.00627800,0.00636800,0.00631400,0.00649800,0.00627800,0.00636800,60200098.00000000,60200098.00000000
2023-04-17,0.00642600,0.00644200,0.00629400,0.00631200,0.00642600,0.00644200,0.00629400,0.00631200,17121649.00000000,17121649.00000000
2023-04-16,0.00639900,0.00648700,0.00631400,0.00642900,0.00639900,0.00648700,0.00631400,0.00642900,24052826.00000000,24052826.00000000
2023-04-15,0.00640000,0.00647000,0.00635400,0.00639900,0.00640000,0.00647000,0.00635400,0.00639900,16579166.00000000,16579166.00000000
2023-04-14,0.00632100,0.00654800,0.00628700,0.00639900,0.00632100,0.00654800,0.00628700,0.00639900,49547508.00000000,49547508.00000000
2023-04-13,0.00627500,0.00639900,0.00626300,0.00632000,0.00627500,0.00639900,0.00626300,0.00632000,26979690.00000000,26979690.00000000
2023-04-12,0.00631500,0.00689400,0.00622100,0.00627500,0.00631500,0.00689400,0.00622100,0.00627500,190095006.00000000,190095006.00000000
2023-04-11,0.00636000,0.00640300,0.00628300,0.00631600,0.00636000,0.00640300,0.00628300,0.00631600,31785913.00000000,31785913.00000000
2023-04-10,0.00634000,0.00642000,0.00629600,0.00636000,0.00634000,0.00642000,0.00629600,0.00636000,21986187.00000000,21986187.00000000
