timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,2.93200000,2.94600000,2.82000000,2.84500000,2.93200000,2.94600000,2.82000000,2.84500000,14867.70000000,14867.70000000
2023-05-07,2.96800000,3.00000000,2.94000000,2.94000000,2.96800000,3.00000000,2.94000000,2.94000000,88943.00000000,88943.00000000
2023-05-06,3.07000000,3.22000000,2.92500000,2.97500000,3.07000000,3.22000000,2.92500000,2.97500000,186761.70000000,186761.70000000
2023-05-05,3.00700000,3.09200000,2.99400000,3.06000000,3.00700000,3.09200000,2.99400000,3.06000000,75425.20000000,75425.20000000
2023-05-04,3.00300000,3.01600000,2.96400000,3.00500000,3.00300000,3.01600000,2.96400000,3.00500000,28424.10000000,28424.10000000
2023-05-03,3.02000000,3.09600000,2.88100000,3.00400000,3.02000000,3.09600000,2.88100000,3.00400000,183764.00000000,183764.00000000
2023-05-02,3.00600000,3.02700000,2.97000000,3.02000000,3.00600000,3.02700000,2.97000000,3.02000000,96653.40000000,96653.40000000
2023-05-01,3.14900000,3.15400000,2.97400000,3.01000000,3.14900000,3.15400000,2.97400000,3.01000000,220980.60000000,220980.60000000
2023-04-30,3.22200000,3.22200000,3.09700000,3.14600000,3.22200000,3.22200000,3.09700000,3.14600000,39725.20000000,39725.20000000
2023-04-29,3.16400000,3.25300000,3.13600000,3.22500000,3.16400000,3.25300000,3.13600000,3.22500000,56607.60000000,56607.60000000
2023-04-28,3.15400000,3.23000000,3.10800000,3.16800000,3.15400000,3.23000000,3.10800000,3.16800000,56457.70000000,56457.70000000
2023-04-27,3.11400000,3.17900000,3.08700000,3.14900000,3.11400000,3.17900000,3.08700000,3.14900000,88217.80000000,88217.80000000
2023-04-26,3.12600000,3.21900000,3.00300000,3.11600000,3.12600000,3.21900000,3.00300000,3.11600000,115241.60000000,115241.60000000
