timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-11-28,0.01278000,0.01285000,0.01223000,0.01233000,0.01278000,0.01285000,0.01223000,0.01233000,5728182.90000000,5728182.90000000
2022-11-27,0.01265000,0.01359000,0.01240000,0.01276000,0.01265000,0.01359000,0.01240000,0.01276000,67663125.50000000,67663125.50000000
2022-11-26,0.01259000,0.01382000,0.01238000,0.01266000,0.01259000,0.01382000,0.01238000,0.01266000,55935506.60000000,55935506.60000000
2022-11-25,0.01331000,0.01423000,0.01153000,0.01256000,0.01331000,0.01423000,0.01153000,0.01256000,212075738.90000001,212075738.90000001
2022-11-24,0.01260000,0.01550000,0.01235000,0.01333000,0.01260000,0.01550000,0.01235000,0.01333000,368948589.30000001,368948589.30000001
2022-11-23,0.01184000,0.01270000,0.01181000,0.01259000,0.01184000,0.01270000,0.01181000,0.01259000,58716842.40000000,58716842.40000000
2022-11-22,0.01129000,0.01208000,0.01088000,0.01191000,0.01129000,0.01208000,0.01088000,0.01191000,59596189.60000000,59596189.60000000
2022-11-21,0.01115000,0.01305000,0.01044000,0.01130000,0.01115000,0.01305000,0.01044000,0.01130000,137484717.00000000,137484717.00000000
2022-11-20,0.01168000,0.01350000,0.01086000,0.01114000,0.01168000,0.01350000,0.01086000,0.01114000,181602197.59999999,181602197.59999999
2022-11-19,0.01165000,0.01214000,0.01136000,0.01168000,0.01165000,0.01214000,0.01136000,0.01168000,41717245.00000000,41717245.00000000
2022-11-18,0.01275000,0.01306000,0.01134000,0.01166000,0.01275000,0.01306000,0.01134000,0.01166000,75662509.09999999,75662509.09999999
2022-11-17,0.01272000,0.01288000,0.01231000,0.01270000,0.01272000,0.01288000,0.01231000,0.01270000,16555600.50000000,16555600.50000000
2022-11-16,0.01292000,0.01298000,0.01256000,0.01272000,0.01292000,0.01298000,0.01256000,0.01272000,9395539.90000000,9395539.90000000
2022-11-15,0.01262000,0.01331000,0.01257000,0.01292000,0.01262000,0.01331000,0.01257000,0.01292000,15470482.80000000,15470482.80000000
2022-11-14,0.01234000,0.01288000,0.01161000,0.01260000,0.01234000,0.01288000,0.01161000,0.01260000,15908327.10000000,15908327.10000000
2022-11-13,0.01277000,0.01364000,0.01189000,0.01233000,0.01277000,0.01364000,0.01189000,0.01233000,31641106.50000000,31641106.50000000
2022-11-12,0.01246000,0.01294000,0.01196000,0.01271000,0.01246000,0.01294000,0.01196000,0.01271000,19387159.70000000,19387159.70000000
2022-11-11,0.01405000,0.01426000,0.01205000,0.01243000,0.01405000,0.01426000,0.01205000,0.01243000,37739611.70000000,37739611.70000000
2022-11-10,0.01139000,0.01434000,0.01135000,0.01409000,0.01139000,0.01434000,0.01135000,0.01409000,39479489.10000000,39479489.10000000
2022-11-09,0.01538000,0.01542000,0.01073000,0.01138000,0.01538000,0.01542000,0.01073000,0.01138000,98238474.09999999,98238474.09999999
2022-11-08,0.01848000,0.01850000,0.01366000,0.01538000,0.01848000,0.01850000,0.01366000,0.01538000,98949099.20000000,98949099.20000000
