timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.26660000,0.27000000,0.26490000,0.26700000,0.26660000,0.27000000,0.26490000,0.26700000,623899.40000000,623899.40000000
2023-05-07,0.27320000,0.27550000,0.26490000,0.26680000,0.27320000,0.27550000,0.26490000,0.26680000,6763457.00000000,6763457.00000000
2023-05-06,0.28730000,0.28880000,0.26930000,0.27310000,0.28730000,0.28880000,0.26930000,0.27310000,9667849.00000000,9667849.00000000
2023-05-05,0.27780000,0.29000000,0.27380000,0.28750000,0.27780000,0.29000000,0.27380000,0.28750000,18796758.00000000,18796758.00000000
2023-05-04,0.28880000,0.28900000,0.27290000,0.27800000,0.28880000,0.28900000,0.27290000,0.27800000,10143798.20000000,10143798.20000000
2023-05-03,0.27850000,0.29390000,0.26510000,0.28890000,0.27850000,0.29390000,0.26510000,0.28890000,14007184.40000000,14007184.40000000
2023-05-02,0.27490000,0.27930000,0.26750000,0.27840000,0.27490000,0.27930000,0.26750000,0.27840000,9129341.60000000,9129341.60000000
2023-05-01,0.29110000,0.29140000,0.27000000,0.27490000,0.29110000,0.29140000,0.27000000,0.27490000,11069949.80000000,11069949.80000000
2023-04-30,0.30210000,0.30220000,0.28710000,0.29080000,0.30210000,0.30220000,0.28710000,0.29080000,10235010.70000000,10235010.70000000
2023-04-29,0.30270000,0.30340000,0.29540000,0.30210000,0.30270000,0.30340000,0.29540000,0.30210000,10679258.70000000,10679258.70000000
2023-04-28,0.29620000,0.32190000,0.28970000,0.30280000,0.29620000,0.32190000,0.28970000,0.30280000,48739359.80000000,48739359.80000000
2023-04-27,0.27640000,0.31260000,0.27540000,0.29620000,0.27640000,0.31260000,0.27540000,0.29620000,49434429.40000000,49434429.40000000
2023-04-26,0.29060000,0.29950000,0.25920000,0.27630000,0.29060000,0.29950000,0.25920000,0.27630000,35913613.10000000,35913613.10000000
2023-04-25,0.28520000,0.29550000,0.27090000,0.29080000,0.28520000,0.29550000,0.27090000,0.29080000,18067072.70000000,18067072.70000000
2023-04-24,0.29400000,0.29520000,0.27720000,0.28530000,0.29400000,0.29520000,0.27720000,0.28530000,20642791.60000000,20642791.60000000
2023-04-23,0.31140000,0.31250000,0.28060000,0.29410000,0.31140000,0.31250000,0.28060000,0.29410000,23691430.10000000,23691430.10000000
2023-04-22,0.29160000,0.32650000,0.29140000,0.31140000,0.29160000,0.32650000,0.29140000,0.31140000,60890395.10000000,60890395.10000000
2023-04-21,0.30420000,0.31400000,0.28380000,0.29210000,0.30420000,0.31400000,0.28380000,0.29210000,20411460.80000000,20411460.80000000
