timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.19170000,0.19310000,0.19080000,0.19240000,0.19170000,0.19310000,0.19080000,0.19240000,224426.00000000,224426.00000000
2023-05-07,0.19200000,0.19430000,0.19010000,0.19180000,0.19200000,0.19430000,0.19010000,0.19180000,3148343.00000000,3148343.00000000
2023-05-06,0.19920000,0.20020000,0.18980000,0.19210000,0.19920000,0.20020000,0.18980000,0.19210000,7215880.00000000,7215880.00000000
2023-05-05,0.19550000,0.20020000,0.19480000,0.19920000,0.19550000,0.20020000,0.19480000,0.19920000,6505653.00000000,6505653.00000000
2023-05-04,0.19950000,0.20050000,0.19370000,0.19540000,0.19950000,0.20050000,0.19370000,0.19540000,8597634.00000000,8597634.00000000
2023-05-03,0.19570000,0.20070000,0.19000000,0.19960000,0.19570000,0.20070000,0.19000000,0.19960000,10621110.00000000,10621110.00000000
2023-05-02,0.19330000,0.19580000,0.19120000,0.19570000,0.19330000,0.19580000,0.19120000,0.19570000,7270441.00000000,7270441.00000000
2023-05-01,0.19710000,0.19860000,0.19000000,0.19330000,0.19710000,0.19860000,0.19000000,0.19330000,8718481.00000000,8718481.00000000
2023-04-30,0.20110000,0.20300000,0.19680000,0.19720000,0.20110000,0.20300000,0.19680000,0.19720000,5621397.00000000,5621397.00000000
2023-04-29,0.20020000,0.20290000,0.19890000,0.20120000,0.20020000,0.20290000,0.19890000,0.20120000,6514733.00000000,6514733.00000000
2023-04-28,0.20130000,0.20170000,0.19630000,0.20010000,0.20130000,0.20170000,0.19630000,0.20010000,7229643.00000000,7229643.00000000
2023-04-27,0.19740000,0.20390000,0.19580000,0.20130000,0.19740000,0.20390000,0.19580000,0.20130000,10248170.00000000,10248170.00000000
2023-04-26,0.20190000,0.20760000,0.18770000,0.19740000,0.20190000,0.20760000,0.18770000,0.19740000,14578134.00000000,14578134.00000000
2023-04-25,0.19980000,0.20280000,0.19310000,0.20190000,0.19980000,0.20280000,0.19310000,0.20190000,9255113.00000000,9255113.00000000
2023-04-24,0.19960000,0.20150000,0.19440000,0.19970000,0.19960000,0.20150000,0.19440000,0.19970000,8831588.00000000,8831588.00000000
2023-04-23,0.20280000,0.20280000,0.19490000,0.19960000,0.20280000,0.20280000,0.19490000,0.19960000,6737922.00000000,6737922.00000000
2023-04-22,0.19990000,0.20330000,0.19760000,0.20290000,0.19990000,0.20330000,0.19760000,0.20290000,4888704.00000000,4888704.00000000
2023-04-21,0.20820000,0.21060000,0.19640000,0.20000000,0.20820000,0.21060000,0.19640000,0.20000000,14582984.00000000,14582984.00000000
2023-04-20,0.20750000,0.21140000,0.20170000,0.20810000,0.20750000,0.21140000,0.20170000,0.20810000,13320973.00000000,13320973.00000000
2023-04-19,0.22840000,0.22900000,0.20280000,0.20750000,0.22840000,0.22900000,0.20280000,0.20750000,19174614.00000000,19174614.00000000
2023-04-18,0.22350000,0.22980000,0.22100000,0.22850000,0.22350000,0.22980000,0.22100000,0.22850000,8337672.00000000,8337672.00000000
2023-04-17,0.22890000,0.22970000,0.21950000,0.22350000,0.22890000,0.22970000,0.21950000,0.22350000,11475023.00000000,11475023.00000000
2023-04-16,0.22500000,0.22990000,0.22090000,0.22890000,0.22500000,0.22990000,0.22090000,0.22890000,9779227.00000000,9779227.00000000
2023-04-15,0.22730000,0.22840000,0.22230000,0.22510000,0.22730000,0.22840000,0.22230000,0.22510000,11852682.00000000,11852682.00000000
2023-04-14,0.22310000,0.22950000,0.21990000,0.22730000,0.22310000,0.22950000,0.21990000,0.22730000,15733701.00000000,15733701.00000000
