timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.02331000,0.02357000,0.02318000,0.02353000,0.02331000,0.02357000,0.02318000,0.02353000,2956319.00000000,2956319.00000000
2023-05-07,0.02357000,0.02379000,0.02309000,0.02331000,0.02357000,0.02379000,0.02309000,0.02331000,62952750.00000000,62952750.00000000
2023-05-06,0.02436000,0.02475000,0.02283000,0.02357000,0.02436000,0.02475000,0.02283000,0.02357000,137124913.00000000,137124913.00000000
2023-05-05,0.02539000,0.02680000,0.02433000,0.02436000,0.02539000,0.02680000,0.02433000,0.02436000,347210716.00000000,347210716.00000000
2023-05-04,0.02527000,0.02557000,0.02492000,0.02540000,0.02527000,0.02557000,0.02492000,0.02540000,41961973.00000000,41961973.00000000
2023-05-03,0.02475000,0.02536000,0.02402000,0.02525000,0.02475000,0.02536000,0.02402000,0.02525000,67802093.00000000,67802093.00000000
2023-05-02,0.02441000,0.02483000,0.02408000,0.02476000,0.02441000,0.02483000,0.02408000,0.02476000,37213816.00000000,37213816.00000000
2023-05-01,0.02468000,0.02503000,0.02395000,0.02443000,0.02468000,0.02503000,0.02395000,0.02443000,49941701.00000000,49941701.00000000
2023-04-30,0.02536000,0.02537000,0.02460000,0.02467000,0.02536000,0.02537000,0.02460000,0.02467000,40635262.00000000,40635262.00000000
2023-04-29,0.02465000,0.02546000,0.02452000,0.02536000,0.02465000,0.02546000,0.02452000,0.02536000,43389486.00000000,43389486.00000000
2023-04-28,0.02525000,0.02531000,0.02416000,0.02464000,0.02525000,0.02531000,0.02416000,0.02464000,48694389.00000000,48694389.00000000
2023-04-27,0.02453000,0.02600000,0.02427000,0.02523000,0.02453000,0.02600000,0.02427000,0.02523000,126380375.00000000,126380375.00000000
2023-04-26,0.02476000,0.02569000,0.02312000,0.02453000,0.02476000,0.02569000,0.02312000,0.02453000,206788208.00000000,206788208.00000000
2023-04-25,0.02320000,0.02481000,0.02273000,0.02476000,0.02320000,0.02481000,0.02273000,0.02476000,222391095.00000000,222391095.00000000
2023-04-24,0.02420000,0.02539000,0.02314000,0.02320000,0.02420000,0.02539000,0.02314000,0.02320000,355165220.00000000,355165220.00000000
2023-04-23,0.02388000,0.02461000,0.02288000,0.02420000,0.02388000,0.02461000,0.02288000,0.02420000,274289669.00000000,274289669.00000000
2023-04-22,0.02347000,0.02457000,0.02333000,0.02387000,0.02347000,0.02457000,0.02333000,0.02387000,272364743.00000000,272364743.00000000
2023-04-21,0.02511000,0.02542000,0.02302000,0.02348000,0.02511000,0.02542000,0.02302000,0.02348000,264145336.00000000,264145336.00000000
2023-04-20,0.02662000,0.02704000,0.02504000,0.02511000,0.02662000,0.02704000,0.02504000,0.02511000,496908935.00000000,496908935.00000000
2023-04-19,0.02919000,0.02920000,0.02600000,0.02663000,0.02919000,0.02920000,0.02600000,0.02663000,134639323.00000000,134639323.00000000
2023-04-18,0.02858000,0.02927000,0.02806000,0.02919000,0.02858000,0.02927000,0.02806000,0.02919000,94844049.00000000,94844049.00000000
2023-04-17,0.02937000,0.02945000,0.02800000,0.02857000,0.02937000,0.02945000,0.02800000,0.02857000,132046412.00000000,132046412.00000000
2023-04-16,0.02930000,0.02997000,0.02880000,0.02939000,0.02930000,0.02997000,0.02880000,0.02939000,117466024.00000000,117466024.00000000
2023-04-15,0.03030000,0.03030000,0.02907000,0.02931000,0.03030000,0.03030000,0.02907000,0.02931000,102122214.00000000,102122214.00000000
2023-04-14,0.02935000,0.03036000,0.02866000,0.03031000,0.02935000,0.03036000,0.02866000,0.03031000,150833571.00000000,150833571.00000000
2023-04-13,0.02823000,0.02937000,0.02795000,0.02936000,0.02823000,0.02937000,0.02795000,0.02936000,91302388.00000000,91302388.00000000
2023-04-12,0.02859000,0.02880000,0.02748000,0.02822000,0.02859000,0.02880000,0.02748000,0.02822000,131508976.00000000,131508976.00000000
2023-04-11,0.02859000,0.02915000,0.02840000,0.02860000,0.02859000,0.02915000,0.02840000,0.02860000,153213618.00000000,153213618.00000000
2023-04-10,0.02787000,0.02866000,0.02724000,0.02860000,0.02787000,0.02866000,0.02724000,0.02860000,155862271.00000000,155862271.00000000
2023-04-09,0.02816000,0.02829000,0.02714000,0.02788000,0.02816000,0.02829000,0.02714000,0.02788000,116260966.00000000,116260966.00000000
2023-04-08,0.02825000,0.02838000,0.02777000,0.02815000,0.02825000,0.02838000,0.02777000,0.02815000,137980863.00000000,137980863.00000000
2023-04-07,0.02880000,0.02917000,0.02799000,0.02824000,0.02880000,0.02917000,0.02799000,0.02824000,163469719.00000000,163469719.00000000
2023-04-06,0.02896000,0.02955000,0.02828000,0.02880000,0.02896000,0.02955000,0.02828000,0.02880000,194247787.00000000,194247787.00000000
2023-04-05,0.03031000,0.03085000,0.02864000,0.02896000,0.03031000,0.03085000,0.02864000,0.02896000,226194058.00000000,226194058.00000000
2023-04-04,0.02842000,0.03203000,0.02822000,0.03030000,0.02842000,0.03203000,0.02822000,0.03030000,501626974.00000000,501626974.00000000
2023-04-03,0.02624000,0.02971000,0.02533000,0.02841000,0.02624000,0.02971000,0.02533000,0.02841000,480124479.00000000,480124479.00000000
2023-04-02,0.02702000,0.02717000,0.02550000,0.02624000,0.02702000,0.02717000,0.02550000,0.02624000,74588647.00000000,74588647.00000000
2023-04-01,0.02669000,0.02711000,0.02610000,0.02701000,0.02669000,0.02711000,0.02610000,0.02701000,82065949.00000000,82065949.00000000
2023-03-31,0.02612000,0.02681000,0.02564000,0.02669000,0.02612000,0.02681000,0.02564000,0.02669000,109094939.00000000,109094939.00000000
2023-03-30,0.02599000,0.02700000,0.02521000,0.02613000,0.02599000,0.02700000,0.02521000,0.02613000,134583809.00000000,134583809.00000000
2023-03-29,0.02464000,0.02621000,0.02462000,0.02599000,0.02464000,0.02621000,0.02462000,0.02599000,118264347.00000000,118264347.00000000
2023-03-28,0.02405000,0.02485000,0.02366000,0.02463000,0.02405000,0.02485000,0.02366000,0.02463000,136333567.00000000,136333567.00000000
2023-03-27,0.02483000,0.02544000,0.02380000,0.02405000,0.02483000,0.02544000,0.02380000,0.02405000,193438393.00000000,193438393.00000000
2023-03-26,0.02398000,0.02503000,0.02377000,0.02483000,0.02398000,0.02503000,0.02377000,0.02483000,62323730.00000000,62323730.00000000
2023-03-25,0.02484000,0.02525000,0.02372000,0.02398000,0.02484000,0.02525000,0.02372000,0.02398000,99427185.00000000,99427185.00000000
2023-03-24,0.02549000,0.02717000,0.02425000,0.02483000,0.02549000,0.02717000,0.02425000,0.02483000,352850126.00000000,352850126.00000000
2023-03-23,0.02426000,0.02558000,0.02408000,0.02549000,0.02426000,0.02558000,0.02408000,0.02549000,107448605.00000000,107448605.00000000
2023-03-22,0.02581000,0.02584000,0.02355000,0.02425000,0.02581000,0.02584000,0.02355000,0.02425000,174313485.00000000,174313485.00000000
2023-03-21,0.02474000,0.02710000,0.02394000,0.02579000,0.02474000,0.02710000,0.02394000,0.02579000,294824579.00000000,294824579.00000000
2023-03-20,0.02616000,0.02653000,0.02461000,0.02474000,0.02616000,0.02653000,0.02461000,0.02474000,153837025.00000000,153837025.00000000
2023-03-19,0.02580000,0.02678000,0.02555000,0.02614000,0.02580000,0.02678000,0.02555000,0.02614000,124328923.00000000,124328923.00000000
2023-03-18,0.02669000,0.02731000,0.02559000,0.02581000,0.02669000,0.02731000,0.02559000,0.02581000,142187169.00000000,142187169.00000000
2023-03-17,0.02402000,0.02670000,0.02370000,0.02670000,0.02402000,0.02670000,0.02370000,0.02670000,155973257.00000000,155973257.00000000
2023-03-16,0.02375000,0.02433000,0.02339000,0.02400000,0.02375000,0.02433000,0.02339000,0.02400000,165710156.00000000,165710156.00000000
2023-03-15,0.02598000,0.02647000,0.02327000,0.02376000,0.02598000,0.02647000,0.02327000,0.02376000,191228264.00000000,191228264.00000000
2023-03-14,0.02522000,0.02669000,0.02447000,0.02599000,0.02522000,0.02669000,0.02447000,0.02599000,163317483.00000000,163317483.00000000
2023-03-13,0.02399000,0.02554000,0.02325000,0.02521000,0.02399000,0.02554000,0.02325000,0.02521000,182562650.00000000,182562650.00000000
2023-03-12,0.02222000,0.02401000,0.02157000,0.02399000,0.02222000,0.02401000,0.02157000,0.02399000,109231020.00000000,109231020.00000000
2023-03-11,0.02246000,0.02290000,0.02127000,0.02223000,0.02246000,0.02290000,0.02127000,0.02223000,103322201.00000000,103322201.00000000
2023-03-10,0.02174000,0.02257000,0.02075000,0.02246000,0.02174000,0.02257000,0.02075000,0.02246000,205520972.00000000,205520972.00000000
2023-03-09,0.02276000,0.02403000,0.02161000,0.02173000,0.02276000,0.02403000,0.02161000,0.02173000,231558466.00000000,231558466.00000000
2023-03-08,0.02396000,0.02413000,0.02226000,0.02275000,0.02396000,0.02413000,0.02226000,0.02275000,154267335.00000000,154267335.00000000
2023-03-07,0.02498000,0.02527000,0.02333000,0.02396000,0.02498000,0.02527000,0.02333000,0.02396000,115816641.00000000,115816641.00000000
2023-03-06,0.02487000,0.02500000,0.02434000,0.02498000,0.02487000,0.02500000,0.02434000,0.02498000,106732366.00000000,106732366.00000000
2023-03-05,0.02495000,0.02546000,0.02472000,0.02488000,0.02495000,0.02546000,0.02472000,0.02488000,57985120.00000000,57985120.00000000
2023-03-04,0.02579000,0.02604000,0.02429000,0.02495000,0.02579000,0.02604000,0.02429000,0.02495000,118777288.00000000,118777288.00000000
2023-03-03,0.02731000,0.02735000,0.02340000,0.02580000,0.02731000,0.02735000,0.02340000,0.02580000,168130870.00000000,168130870.00000000
2023-03-02,0.02803000,0.02809000,0.02625000,0.02733000,0.02803000,0.02809000,0.02625000,0.02733000,152607791.00000000,152607791.00000000
2023-03-01,0.02712000,0.02809000,0.02703000,0.02803000,0.02712000,0.02809000,0.02703000,0.02803000,71660840.00000000,71660840.00000000
2023-02-28,0.02805000,0.02900000,0.02700000,0.02711000,0.02805000,0.02900000,0.02700000,0.02711000,110832398.00000000,110832398.00000000
2023-02-27,0.02861000,0.02901000,0.02714000,0.02804000,0.02861000,0.02901000,0.02714000,0.02804000,115412077.00000000,115412077.00000000
2023-02-26,0.02789000,0.02880000,0.02764000,0.02862000,0.02789000,0.02880000,0.02764000,0.02862000,67360528.00000000,67360528.00000000
2023-02-25,0.02814000,0.02843000,0.02689000,0.02789000,0.02814000,0.02843000,0.02689000,0.02789000,90925753.00000000,90925753.00000000
2023-02-24,0.02977000,0.02994000,0.02757000,0.02814000,0.02977000,0.02994000,0.02757000,0.02814000,144490820.00000000,144490820.00000000
2023-02-23,0.03061000,0.03147000,0.02946000,0.02977000,0.03061000,0.03147000,0.02946000,0.02977000,253349312.00000000,253349312.00000000
2023-02-22,0.03296000,0.03355000,0.02968000,0.03061000,0.03296000,0.03355000,0.02968000,0.03061000,267782046.00000000,267782046.00000000
2023-02-21,0.03310000,0.03380000,0.03150000,0.03296000,0.03310000,0.03380000,0.03150000,0.03296000,320061226.00000000,320061226.00000000
2023-02-20,0.03061000,0.03349000,0.02966000,0.03309000,0.03061000,0.03349000,0.02966000,0.03309000,266543209.00000000,266543209.00000000
2023-02-19,0.03107000,0.03208000,0.03005000,0.03062000,0.03107000,0.03208000,0.03005000,0.03062000,314984469.00000000,314984469.00000000
2023-02-18,0.02945000,0.03222000,0.02938000,0.03108000,0.02945000,0.03222000,0.02938000,0.03108000,201321308.00000000,201321308.00000000
2023-02-17,0.02855000,0.02982000,0.02849000,0.02944000,0.02855000,0.02982000,0.02849000,0.02944000,130566403.00000000,130566403.00000000
2023-02-16,0.03109000,0.03161000,0.02840000,0.02855000,0.03109000,0.03161000,0.02840000,0.02855000,265362521.00000000,265362521.00000000
2023-02-15,0.02998000,0.03176000,0.02965000,0.03109000,0.02998000,0.03176000,0.02965000,0.03109000,112780426.00000000,112780426.00000000
