timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,6.91100000,6.91100000,6.84100000,6.88300000,6.91100000,6.91100000,6.84100000,6.88300000,186410.74000000,186410.74000000
2023-05-07,6.92000000,6.98900000,6.85800000,6.91100000,6.92000000,6.98900000,6.85800000,6.91100000,1677014.89000000,1677014.89000000
2023-05-06,7.22600000,7.27900000,6.86600000,6.92000000,7.22600000,7.27900000,6.86600000,6.92000000,2603213.92000000,2603213.92000000
2023-05-05,6.99700000,7.28000000,6.88800000,7.22600000,6.99700000,7.28000000,6.88800000,7.22600000,2888965.91000000,2888965.91000000
2023-05-04,7.12900000,7.16200000,6.95900000,6.99800000,7.12900000,7.16200000,6.95900000,6.99800000,1740570.99000000,1740570.99000000
2023-05-03,6.98700000,7.15100000,6.81900000,7.12900000,6.98700000,7.15100000,6.81900000,7.12900000,3262366.57000000,3262366.57000000
2023-05-02,6.89600000,7.01300000,6.80000000,6.98700000,6.89600000,7.01300000,6.80000000,6.98700000,2077200.39000000,2077200.39000000
2023-05-01,7.02500000,7.08200000,6.79700000,6.89800000,7.02500000,7.08200000,6.79700000,6.89800000,3285344.74000000,3285344.74000000
2023-04-30,7.18500000,7.30500000,7.01400000,7.02500000,7.18500000,7.30500000,7.01400000,7.02500000,2775030.59000000,2775030.59000000
2023-04-29,7.04000000,7.22000000,6.99200000,7.18500000,7.04000000,7.22000000,6.99200000,7.18500000,2390310.55000000,2390310.55000000
2023-04-28,7.17000000,7.18700000,6.94900000,7.04000000,7.17000000,7.18700000,6.94900000,7.04000000,3510662.05000000,3510662.05000000
2023-04-27,7.00400000,7.23200000,6.98200000,7.17000000,7.00400000,7.23200000,6.98200000,7.17000000,5324313.93000000,5324313.93000000
2023-04-26,7.27500000,7.50300000,6.70300000,7.00400000,7.27500000,7.50300000,6.70300000,7.00400000,7272868.62000000,7272868.62000000
2023-04-25,7.06900000,7.30000000,6.94800000,7.27400000,7.06900000,7.30000000,6.94800000,7.27400000,3659091.95000000,3659091.95000000
2023-04-24,7.08200000,7.26900000,6.99600000,7.06800000,7.08200000,7.26900000,6.99600000,7.06800000,4023418.30000000,4023418.30000000
2023-04-23,7.17400000,7.17400000,6.86600000,7.08200000,7.17400000,7.17400000,6.86600000,7.08200000,4150416.52000000,4150416.52000000
2023-04-22,7.11300000,7.24200000,7.08000000,7.17500000,7.11300000,7.24200000,7.08000000,7.17500000,3015617.24000000,3015617.24000000
2023-04-21,7.51200000,7.60900000,7.00600000,7.11300000,7.51200000,7.60900000,7.00600000,7.11300000,6884596.68000000,6884596.68000000
2023-04-20,7.75200000,7.96700000,7.45300000,7.51200000,7.75200000,7.96700000,7.45300000,7.51200000,7428716.20000000,7428716.20000000
2023-04-19,8.57800000,8.60000000,7.63000000,7.75200000,8.57800000,8.60000000,7.63000000,7.75200000,10140445.27000000,10140445.27000000
