timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.92200000,0.92800000,0.91700000,0.92400000,0.92200000,0.92800000,0.91700000,0.92400000,20257.20000000,20257.20000000
2023-05-07,0.93400000,0.94400000,0.91900000,0.92400000,0.93400000,0.94400000,0.91900000,0.92400000,336196.90000000,336196.90000000
2023-05-06,0.97200000,1.03200000,0.92700000,0.93400000,0.97200000,1.03200000,0.92700000,0.93400000,1940594.40000000,1940594.40000000
2023-05-05,0.94700000,0.98500000,0.93900000,0.97200000,0.94700000,0.98500000,0.93900000,0.97200000,376469.40000000,376469.40000000
2023-05-04,0.94400000,0.96600000,0.93600000,0.94900000,0.94400000,0.96600000,0.93600000,0.94900000,394703.60000000,394703.60000000
2023-05-03,0.93900000,0.95800000,0.91900000,0.94400000,0.93900000,0.95800000,0.91900000,0.94400000,278607.90000000,278607.90000000
2023-05-02,0.93100000,0.93900000,0.91500000,0.93800000,0.93100000,0.93900000,0.91500000,0.93800000,133984.50000000,133984.50000000
2023-05-01,0.96300000,0.96500000,0.92300000,0.93200000,0.96300000,0.96500000,0.92300000,0.93200000,127900.60000000,127900.60000000
2023-04-30,0.97400000,0.97700000,0.95400000,0.96100000,0.97400000,0.97700000,0.95400000,0.96100000,128605.30000000,128605.30000000
2023-04-29,0.97800000,0.98400000,0.97100000,0.97400000,0.97800000,0.98400000,0.97100000,0.97400000,110206.30000000,110206.30000000
2023-04-28,0.98200000,0.98200000,0.96200000,0.97800000,0.98200000,0.98200000,0.96200000,0.97800000,179570.20000000,179570.20000000
2023-04-27,0.97200000,0.98400000,0.95900000,0.98100000,0.97200000,0.98400000,0.95900000,0.98100000,311963.30000000,311963.30000000
2023-04-26,0.98500000,1.00600000,0.95000000,0.97200000,0.98500000,1.00600000,0.95000000,0.97200000,502588.60000000,502588.60000000
2023-04-25,0.98300000,1.01000000,0.94700000,0.98500000,0.98300000,1.01000000,0.94700000,0.98500000,412722.00000000,412722.00000000
2023-04-24,1.02000000,1.03200000,0.96800000,0.98300000,1.02000000,1.03200000,0.96800000,0.98300000,417742.10000000,417742.10000000
2023-04-23,1.07700000,1.07800000,0.98900000,1.02000000,1.07700000,1.07800000,0.98900000,1.02000000,881305.30000000,881305.30000000
2023-04-22,1.05800000,1.34900000,1.04800000,1.07900000,1.05800000,1.34900000,1.04800000,1.07900000,7637018.90000000,7637018.90000000
2023-04-21,1.05200000,1.07200000,1.03600000,1.05400000,1.05200000,1.07200000,1.03600000,1.05400000,650631.90000000,650631.90000000
2023-04-20,1.03800000,1.06800000,1.01000000,1.05000000,1.03800000,1.06800000,1.01000000,1.05000000,709571.20000000,709571.20000000
2023-04-19,1.11600000,1.11600000,1.03100000,1.03800000,1.11600000,1.11600000,1.03100000,1.03800000,308147.70000000,308147.70000000
