timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.96330000,0.96720000,0.95810000,0.96470000,0.96330000,0.96720000,0.95810000,0.96470000,2505291.60000000,2505291.60000000
2023-05-07,0.97530000,0.98520000,0.96070000,0.96360000,0.97530000,0.98520000,0.96070000,0.96360000,32707806.10000000,32707806.10000000
2023-05-06,0.99780000,1.00500000,0.95000000,0.97530000,0.99780000,1.00500000,0.95000000,0.97530000,51505951.90000000,51505951.90000000
2023-05-05,0.98260000,1.00850000,0.97500000,0.99790000,0.98260000,1.00850000,0.97500000,0.99790000,44738112.90000000,44738112.90000000
2023-05-04,1.00590000,1.00800000,0.97880000,0.98260000,1.00590000,1.00800000,0.97880000,0.98260000,36523489.40000000,36523489.40000000
2023-05-03,0.97680000,1.01790000,0.96250000,1.00590000,0.97680000,1.01790000,0.96250000,1.00590000,70885685.70000000,70885685.70000000
2023-05-02,0.95920000,0.98070000,0.95170000,0.97680000,0.95920000,0.98070000,0.95170000,0.97680000,40560596.10000000,40560596.10000000
2023-05-01,0.98070000,0.98810000,0.94500000,0.95940000,0.98070000,0.98810000,0.94500000,0.95940000,50236668.50000000,50236668.50000000
2023-04-30,1.00320000,1.01590000,0.97420000,0.98070000,1.00320000,1.01590000,0.97420000,0.98070000,43418304.30000000,43418304.30000000
2023-04-29,0.99830000,1.02330000,0.99220000,1.00320000,0.99830000,1.02330000,0.99220000,1.00320000,36255695.00000000,36255695.00000000
2023-04-28,1.01220000,1.01610000,0.97970000,0.99840000,1.01220000,1.01610000,0.97970000,0.99840000,51748452.10000000,51748452.10000000
2023-04-27,0.98580000,1.03100000,0.97870000,1.01220000,0.98580000,1.03100000,0.97870000,1.01220000,78910649.09999999,78910649.09999999
2023-04-26,1.00440000,1.05950000,0.94350000,0.98590000,1.00440000,1.05950000,0.94350000,0.98590000,112722354.70000000,112722354.70000000
2023-04-25,0.98900000,1.01680000,0.94950000,1.00430000,0.98900000,1.01680000,0.94950000,1.00430000,68309773.09999999,68309773.09999999
2023-04-24,1.00370000,1.02490000,0.97260000,0.98890000,1.00370000,1.02490000,0.97260000,0.98890000,60968224.40000000,60968224.40000000
2023-04-23,1.02480000,1.03250000,0.97850000,1.00370000,1.02480000,1.03250000,0.97850000,1.00370000,46620740.20000000,46620740.20000000
2023-04-22,1.01160000,1.02840000,1.00550000,1.02450000,1.01160000,1.02840000,1.00550000,1.02450000,31886638.10000000,31886638.10000000
2023-04-21,1.04580000,1.05750000,1.00000000,1.01150000,1.04580000,1.05750000,1.00000000,1.01150000,59168608.70000000,59168608.70000000
2023-04-20,1.08400000,1.09830000,1.03690000,1.04580000,1.08400000,1.09830000,1.03690000,1.04580000,76321479.20000000,76321479.20000000
2023-04-19,1.17180000,1.17760000,1.05500000,1.08430000,1.17180000,1.17760000,1.05500000,1.08430000,87360572.00000000,87360572.00000000
2023-04-18,1.15300000,1.18400000,1.14220000,1.17180000,1.15300000,1.18400000,1.14220000,1.17180000,50427246.30000000,50427246.30000000
2023-04-17,1.18290000,1.18450000,1.14620000,1.15290000,1.18290000,1.18450000,1.14620000,1.15290000,57261192.60000000,57261192.60000000
2023-04-16,1.17030000,1.18850000,1.15050000,1.18280000,1.17030000,1.18850000,1.15050000,1.18280000,39211719.30000000,39211719.30000000
2023-04-15,1.15980000,1.18470000,1.14260000,1.17020000,1.15980000,1.18470000,1.14260000,1.17020000,56850756.60000000,56850756.60000000
2023-04-14,1.13350000,1.19000000,1.13330000,1.15990000,1.13350000,1.19000000,1.13330000,1.15990000,103734364.40000001,103734364.40000001
2023-04-13,1.10370000,1.13900000,1.09590000,1.13340000,1.10370000,1.13900000,1.09590000,1.13340000,47157902.60000000,47157902.60000000
2023-04-12,1.11210000,1.11700000,1.08090000,1.10370000,1.11210000,1.11700000,1.08090000,1.10370000,49608152.80000000,49608152.80000000
2023-04-11,1.12080000,1.13140000,1.10860000,1.11200000,1.12080000,1.13140000,1.10860000,1.11200000,41221811.90000000,41221811.90000000
2023-04-10,1.10080000,1.12410000,1.08640000,1.12070000,1.10080000,1.12410000,1.08640000,1.12070000,36381653.10000000,36381653.10000000
2023-04-09,1.10190000,1.10990000,1.08340000,1.10080000,1.10190000,1.10990000,1.08340000,1.10080000,29136430.20000000,29136430.20000000
2023-04-08,1.10690000,1.11760000,1.09950000,1.10200000,1.10690000,1.11760000,1.09950000,1.10200000,18119817.90000000,18119817.90000000
2023-04-07,1.11470000,1.12020000,1.09570000,1.10690000,1.11470000,1.12020000,1.09570000,1.10690000,29905601.10000000,29905601.10000000
2023-04-06,1.14020000,1.14170000,1.10680000,1.11480000,1.14020000,1.14170000,1.10680000,1.11480000,34323644.40000000,34323644.40000000
2023-04-05,1.13870000,1.16930000,1.12120000,1.14030000,1.13870000,1.16930000,1.12120000,1.14030000,55452938.50000000,55452938.50000000
