timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,694.00000000,701.00000000,693.00000000,699.00000000,694.00000000,701.00000000,693.00000000,699.00000000,299.33120000,299.33120000
2023-05-07,690.00000000,706.00000000,686.00000000,694.00000000,690.00000000,706.00000000,686.00000000,694.00000000,4537.99350000,4537.99350000
2023-05-06,726.00000000,734.00000000,683.00000000,690.00000000,726.00000000,734.00000000,683.00000000,690.00000000,6187.23080000,6187.23080000
2023-05-05,690.00000000,731.00000000,687.00000000,726.00000000,690.00000000,731.00000000,687.00000000,726.00000000,7417.18080000,7417.18080000
2023-05-04,699.00000000,705.00000000,685.00000000,690.00000000,699.00000000,705.00000000,685.00000000,690.00000000,1684.77670000,1684.77670000
2023-05-03,699.00000000,701.00000000,682.00000000,699.00000000,699.00000000,701.00000000,682.00000000,699.00000000,3060.30280000,3060.30280000
2023-05-02,702.00000000,716.00000000,698.00000000,699.00000000,702.00000000,716.00000000,698.00000000,699.00000000,4595.74110000,4595.74110000
2023-05-01,693.00000000,707.00000000,675.00000000,702.00000000,693.00000000,707.00000000,675.00000000,702.00000000,4254.17500000,4254.17500000
2023-04-30,708.00000000,709.00000000,691.00000000,693.00000000,708.00000000,709.00000000,691.00000000,693.00000000,2635.89500000,2635.89500000
2023-04-29,699.00000000,714.00000000,696.00000000,708.00000000,699.00000000,714.00000000,696.00000000,708.00000000,2415.24950000,2415.24950000
2023-04-28,703.00000000,705.00000000,688.00000000,699.00000000,703.00000000,705.00000000,688.00000000,699.00000000,3985.98140000,3985.98140000
2023-04-27,689.00000000,708.00000000,683.00000000,703.00000000,689.00000000,708.00000000,683.00000000,703.00000000,5707.74430000,5707.74430000
2023-04-26,692.00000000,724.00000000,654.00000000,689.00000000,692.00000000,724.00000000,654.00000000,689.00000000,9097.07900000,9097.07900000
2023-04-25,681.00000000,695.00000000,668.00000000,692.00000000,681.00000000,695.00000000,668.00000000,692.00000000,4171.43600000,4171.43600000
2023-04-24,689.00000000,699.00000000,674.00000000,681.00000000,689.00000000,699.00000000,674.00000000,681.00000000,3450.01940000,3450.01940000
2023-04-23,698.00000000,698.00000000,669.00000000,690.00000000,698.00000000,698.00000000,669.00000000,690.00000000,5060.45930000,5060.45930000
