timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.22940000,0.23080000,0.22880000,0.23040000,0.22940000,0.23080000,0.22880000,0.23040000,51287.00000000,51287.00000000
2023-05-07,0.23290000,0.23510000,0.22840000,0.22930000,0.23290000,0.23510000,0.22840000,0.22930000,655256.00000000,655256.00000000
2023-05-06,0.24530000,0.25280000,0.23040000,0.23290000,0.24530000,0.25280000,0.23040000,0.23290000,2538820.00000000,2538820.00000000
2023-05-05,0.23850000,0.25000000,0.23760000,0.24540000,0.23850000,0.25000000,0.23760000,0.24540000,2720353.00000000,2720353.00000000
2023-05-04,0.24290000,0.24370000,0.23600000,0.23840000,0.24290000,0.24370000,0.23600000,0.23840000,985010.00000000,985010.00000000
2023-05-03,0.24380000,0.24620000,0.23490000,0.24250000,0.24380000,0.24620000,0.23490000,0.24250000,1701615.00000000,1701615.00000000
2023-05-02,0.23370000,0.24650000,0.23180000,0.24390000,0.23370000,0.24650000,0.23180000,0.24390000,2246918.00000000,2246918.00000000
2023-05-01,0.24270000,0.25430000,0.23210000,0.23380000,0.24270000,0.25430000,0.23210000,0.23380000,4833150.00000000,4833150.00000000
2023-04-30,0.24820000,0.24880000,0.24150000,0.24260000,0.24820000,0.24880000,0.24150000,0.24260000,1615538.00000000,1615538.00000000
2023-04-29,0.23990000,0.25970000,0.23860000,0.24810000,0.23990000,0.25970000,0.23860000,0.24810000,6705703.00000000,6705703.00000000
2023-04-28,0.24230000,0.24260000,0.23520000,0.23950000,0.24230000,0.24260000,0.23520000,0.23950000,682976.00000000,682976.00000000
2023-04-27,0.23890000,0.24320000,0.23500000,0.24230000,0.23890000,0.24320000,0.23500000,0.24230000,1008320.00000000,1008320.00000000
2023-04-26,0.24330000,0.25130000,0.23090000,0.23890000,0.24330000,0.25130000,0.23090000,0.23890000,1932700.00000000,1932700.00000000
2023-04-25,0.24070000,0.24420000,0.23630000,0.24310000,0.24070000,0.24420000,0.23630000,0.24310000,1106605.00000000,1106605.00000000
2023-04-24,0.24320000,0.24680000,0.23920000,0.24090000,0.24320000,0.24680000,0.23920000,0.24090000,1200088.00000000,1200088.00000000
2023-04-23,0.25340000,0.25460000,0.24000000,0.24310000,0.25340000,0.25460000,0.24000000,0.24310000,1791431.00000000,1791431.00000000
2023-04-22,0.24610000,0.25400000,0.24270000,0.25320000,0.24610000,0.25400000,0.24270000,0.25320000,937033.00000000,937033.00000000
2023-04-21,0.25890000,0.26090000,0.24280000,0.24600000,0.25890000,0.26090000,0.24280000,0.24600000,1258044.00000000,1258044.00000000
2023-04-20,0.26540000,0.27080000,0.25590000,0.25920000,0.26540000,0.27080000,0.25590000,0.25920000,1638815.00000000,1638815.00000000
2023-04-19,0.29010000,0.29280000,0.26370000,0.26560000,0.29010000,0.29280000,0.26370000,0.26560000,3001043.00000000,3001043.00000000
2023-04-18,0.28160000,0.29450000,0.27920000,0.29010000,0.28160000,0.29450000,0.27920000,0.29010000,2762049.00000000,2762049.00000000
2023-04-17,0.28850000,0.29730000,0.28140000,0.28160000,0.28850000,0.29730000,0.28140000,0.28160000,3882587.00000000,3882587.00000000
2023-04-16,0.27880000,0.29800000,0.27790000,0.28850000,0.27880000,0.29800000,0.27790000,0.28850000,8622524.00000000,8622524.00000000
2023-04-15,0.27980000,0.28140000,0.27510000,0.27900000,0.27980000,0.28140000,0.27510000,0.27900000,1299193.00000000,1299193.00000000
2023-04-14,0.27990000,0.28500000,0.27380000,0.27970000,0.27990000,0.28500000,0.27380000,0.27970000,2233619.00000000,2233619.00000000
2023-04-13,0.27390000,0.28450000,0.27240000,0.28020000,0.27390000,0.28450000,0.27240000,0.28020000,2399925.00000000,2399925.00000000
2023-04-12,0.27860000,0.27920000,0.26360000,0.27380000,0.27860000,0.27920000,0.26360000,0.27380000,3104504.00000000,3104504.00000000
2023-04-11,0.28220000,0.28400000,0.27760000,0.27830000,0.28220000,0.28400000,0.27760000,0.27830000,2394720.00000000,2394720.00000000
2023-04-10,0.28440000,0.28620000,0.27540000,0.28220000,0.28440000,0.28620000,0.27540000,0.28220000,2690111.00000000,2690111.00000000
2023-04-09,0.28310000,0.29130000,0.28010000,0.28460000,0.28310000,0.29130000,0.28010000,0.28460000,3537435.00000000,3537435.00000000
2023-04-08,0.27460000,0.28830000,0.27270000,0.28340000,0.27460000,0.28830000,0.27270000,0.28340000,3208000.00000000,3208000.00000000
2023-04-07,0.27560000,0.27980000,0.27140000,0.27400000,0.27560000,0.27980000,0.27140000,0.27400000,1139062.00000000,1139062.00000000
2023-04-06,0.27900000,0.29000000,0.27480000,0.27540000,0.27900000,0.29000000,0.27480000,0.27540000,4629693.00000000,4629693.00000000
2023-04-05,0.27530000,0.28270000,0.26800000,0.27890000,0.27530000,0.28270000,0.26800000,0.27890000,2267242.00000000,2267242.00000000
2023-04-04,0.27090000,0.27970000,0.26940000,0.27530000,0.27090000,0.27970000,0.26940000,0.27530000,2901171.00000000,2901171.00000000
