timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.28870000,0.29120000,0.26850000,0.27220000,0.28870000,0.29120000,0.26850000,0.27220000,2166846.00000000,2166846.00000000
2023-05-07,0.29050000,0.29560000,0.28340000,0.28880000,0.29050000,0.29560000,0.28340000,0.28880000,6256785.00000000,6256785.00000000
2023-05-06,0.31820000,0.32130000,0.28700000,0.29080000,0.31820000,0.32130000,0.28700000,0.29080000,8740501.00000000,8740501.00000000
2023-05-05,0.31340000,0.33180000,0.30860000,0.31840000,0.31340000,0.33180000,0.30860000,0.31840000,9131181.00000000,9131181.00000000
2023-05-04,0.31720000,0.32830000,0.31090000,0.31360000,0.31720000,0.32830000,0.31090000,0.31360000,7034200.00000000,7034200.00000000
2023-05-03,0.32840000,0.32870000,0.30250000,0.31710000,0.32840000,0.32870000,0.30250000,0.31710000,11456781.00000000,11456781.00000000
2023-05-02,0.34470000,0.35450000,0.32320000,0.32820000,0.34470000,0.35450000,0.32320000,0.32820000,13436518.00000000,13436518.00000000
2023-05-01,0.32860000,0.36060000,0.32510000,0.34440000,0.32860000,0.36060000,0.32510000,0.34440000,37963780.00000000,37963780.00000000
2023-04-30,0.31870000,0.34490000,0.30660000,0.32830000,0.31870000,0.34490000,0.30660000,0.32830000,15060822.00000000,15060822.00000000
2023-04-29,0.32320000,0.33980000,0.31640000,0.31870000,0.32320000,0.33980000,0.31640000,0.31870000,7560619.00000000,7560619.00000000
2023-04-28,0.32720000,0.35220000,0.31760000,0.32360000,0.32720000,0.35220000,0.31760000,0.32360000,16273082.00000000,16273082.00000000
2023-04-27,0.32190000,0.34840000,0.31720000,0.32720000,0.32190000,0.34840000,0.31720000,0.32720000,20240332.00000000,20240332.00000000
2023-04-26,0.32650000,0.38530000,0.31300000,0.32180000,0.32650000,0.38530000,0.31300000,0.32180000,70910285.00000000,70910285.00000000
2023-04-25,0.29920000,0.32710000,0.28020000,0.32640000,0.29920000,0.32710000,0.28020000,0.32640000,11902176.00000000,11902176.00000000
2023-04-24,0.30530000,0.30930000,0.29170000,0.29920000,0.30530000,0.30930000,0.29170000,0.29920000,10268535.00000000,10268535.00000000
2023-04-23,0.32420000,0.32570000,0.29540000,0.30520000,0.32420000,0.32570000,0.29540000,0.30520000,8324492.00000000,8324492.00000000
2023-04-22,0.34370000,0.34500000,0.30750000,0.32420000,0.34370000,0.34500000,0.30750000,0.32420000,15864169.00000000,15864169.00000000
2023-04-21,0.30910000,0.39640000,0.30670000,0.34400000,0.30910000,0.39640000,0.30670000,0.34400000,79573019.00000000,79573019.00000000
2023-04-20,0.32670000,0.33030000,0.29740000,0.30910000,0.32670000,0.33030000,0.29740000,0.30910000,15324056.00000000,15324056.00000000
2023-04-19,0.37880000,0.37950000,0.31100000,0.32670000,0.37880000,0.37950000,0.31100000,0.32670000,25566889.00000000,25566889.00000000
2023-04-18,0.37380000,0.41600000,0.36220000,0.37910000,0.37380000,0.41600000,0.36220000,0.37910000,33742251.00000000,33742251.00000000
2023-04-17,0.42130000,0.45550000,0.35700000,0.37380000,0.42130000,0.45550000,0.35700000,0.37380000,70874473.00000000,70874473.00000000
2023-04-16,0.32710000,0.53770000,0.32000000,0.42100000,0.32710000,0.53770000,0.32000000,0.42100000,218243149.00000000,218243149.00000000
2023-04-15,0.26330000,0.35830000,0.25630000,0.32710000,0.26330000,0.35830000,0.25630000,0.32710000,106115017.00000000,106115017.00000000
2023-04-14,0.26230000,0.27410000,0.25030000,0.26310000,0.26230000,0.27410000,0.25030000,0.26310000,12177934.00000000,12177934.00000000
2023-04-13,0.25270000,0.26480000,0.25010000,0.26180000,0.25270000,0.26480000,0.25010000,0.26180000,7201292.00000000,7201292.00000000
2023-04-12,0.26720000,0.26910000,0.24630000,0.25220000,0.26720000,0.26910000,0.24630000,0.25220000,10597268.00000000,10597268.00000000
2023-04-11,0.27500000,0.29150000,0.26480000,0.26680000,0.27500000,0.29150000,0.26480000,0.26680000,10922234.00000000,10922234.00000000
2023-04-10,0.27240000,0.28900000,0.26710000,0.27530000,0.27240000,0.28900000,0.26710000,0.27530000,11203809.00000000,11203809.00000000
2023-04-09,0.26240000,0.29000000,0.25900000,0.27190000,0.26240000,0.29000000,0.25900000,0.27190000,13414649.00000000,13414649.00000000
2023-04-08,0.29080000,0.29340000,0.25810000,0.26230000,0.29080000,0.29340000,0.25810000,0.26230000,16481541.00000000,16481541.00000000
2023-04-07,0.31180000,0.31300000,0.28780000,0.29120000,0.31180000,0.31300000,0.28780000,0.29120000,6997394.00000000,6997394.00000000
2023-04-06,0.30590000,0.32800000,0.30090000,0.31160000,0.30590000,0.32800000,0.30090000,0.31160000,13568716.00000000,13568716.00000000
2023-04-05,0.29800000,0.33080000,0.29550000,0.30590000,0.29800000,0.33080000,0.29550000,0.30590000,19579847.00000000,19579847.00000000
2023-04-04,0.30170000,0.30980000,0.28590000,0.29840000,0.30170000,0.30980000,0.28590000,0.29840000,10827989.00000000,10827989.00000000
2023-04-03,0.29210000,0.32390000,0.28190000,0.30100000,0.29210000,0.32390000,0.28190000,0.30100000,16616298.00000000,16616298.00000000
2023-04-02,0.32210000,0.32250000,0.27750000,0.29190000,0.32210000,0.32250000,0.27750000,0.29190000,13991234.00000000,13991234.00000000
2023-04-01,0.34650000,0.35490000,0.32000000,0.32170000,0.34650000,0.35490000,0.32000000,0.32170000,18964441.00000000,18964441.00000000
2023-03-31,0.29230000,0.39190000,0.28600000,0.34650000,0.29230000,0.39190000,0.28600000,0.34650000,93019626.00000000,93019626.00000000
2023-03-30,0.31280000,0.32000000,0.28000000,0.29230000,0.31280000,0.32000000,0.28000000,0.29230000,20268409.00000000,20268409.00000000
2023-03-29,0.31810000,0.33420000,0.30500000,0.31200000,0.31810000,0.33420000,0.30500000,0.31200000,17024802.00000000,17024802.00000000
2023-03-28,0.32450000,0.32890000,0.30040000,0.31810000,0.32450000,0.32890000,0.30040000,0.31810000,12790638.00000000,12790638.00000000
2023-03-27,0.36150000,0.36900000,0.30760000,0.32450000,0.36150000,0.36900000,0.30760000,0.32450000,30226483.00000000,30226483.00000000
2023-03-26,0.39550000,0.40930000,0.35490000,0.36200000,0.39550000,0.40930000,0.35490000,0.36200000,34505489.00000000,34505489.00000000
2023-03-25,0.44610000,0.54800000,0.38600000,0.39450000,0.44610000,0.54800000,0.38600000,0.39450000,118705632.00000000,118705632.00000000
2023-03-24,0.18370000,0.51340000,0.18370000,0.44620000,0.18370000,0.51340000,0.18370000,0.44620000,177801774.00000000,177801774.00000000
