timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.99900000,1.00400000,0.99300000,0.99900000,0.99900000,1.00400000,0.99300000,0.99900000,91932.30000000,91932.30000000
2023-05-07,0.98700000,1.01900000,0.96800000,0.99900000,0.98700000,1.01900000,0.96800000,0.99900000,2546434.40000000,2546434.40000000
2023-05-06,1.06000000,1.07000000,0.97600000,0.98700000,1.06000000,1.07000000,0.97600000,0.98700000,3140858.30000000,3140858.30000000
2023-05-05,1.06000000,1.06800000,1.01800000,1.06000000,1.06000000,1.06800000,1.01800000,1.06000000,3124886.00000000,3124886.00000000
2023-05-04,1.11400000,1.11700000,1.05000000,1.06100000,1.11400000,1.11700000,1.05000000,1.06100000,2639171.10000000,2639171.10000000
2023-05-03,1.11600000,1.11900000,1.02700000,1.11500000,1.11600000,1.11900000,1.02700000,1.11500000,6337922.00000000,6337922.00000000
2023-05-02,1.04700000,1.13300000,1.02800000,1.11700000,1.04700000,1.13300000,1.02800000,1.11700000,11311479.40000000,11311479.40000000
2023-05-01,1.04600000,1.06500000,1.00200000,1.04600000,1.04600000,1.06500000,1.00200000,1.04600000,5037866.90000000,5037866.90000000
2023-04-30,1.08800000,1.10000000,1.03100000,1.04600000,1.08800000,1.10000000,1.03100000,1.04600000,5990680.40000000,5990680.40000000
2023-04-29,1.03900000,1.09700000,1.03000000,1.08900000,1.03900000,1.09700000,1.03000000,1.08900000,3672595.00000000,3672595.00000000
2023-04-28,1.07200000,1.09000000,1.01400000,1.04000000,1.07200000,1.09000000,1.01400000,1.04000000,3130789.30000000,3130789.30000000
2023-04-27,1.06300000,1.09200000,1.03000000,1.07200000,1.06300000,1.09200000,1.03000000,1.07200000,4571962.40000000,4571962.40000000
2023-04-26,1.13200000,1.13500000,0.99700000,1.06400000,1.13200000,1.13500000,0.99700000,1.06400000,19786986.10000000,19786986.10000000
2023-04-25,1.17800000,1.17800000,1.08000000,1.13200000,1.17800000,1.17800000,1.08000000,1.13200000,8237498.80000000,8237498.80000000
2023-04-24,1.19300000,1.29300000,1.15300000,1.17800000,1.19300000,1.29300000,1.15300000,1.17800000,6055182.00000000,6055182.00000000
2023-04-23,1.22200000,1.26500000,1.15100000,1.19400000,1.22200000,1.26500000,1.15100000,1.19400000,1975863.60000000,1975863.60000000
2023-04-22,1.18700000,1.22600000,1.17500000,1.22100000,1.18700000,1.22600000,1.17500000,1.22100000,1344802.80000000,1344802.80000000
