timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.22250000,0.22370000,0.22110000,0.22280000,0.22250000,0.22370000,0.22110000,0.22280000,392681.00000000,392681.00000000
2023-05-07,0.22500000,0.22770000,0.22160000,0.22260000,0.22500000,0.22770000,0.22160000,0.22260000,4941014.00000000,4941014.00000000
2023-05-06,0.23390000,0.23490000,0.22210000,0.22480000,0.23390000,0.23490000,0.22210000,0.22480000,6473109.00000000,6473109.00000000
2023-05-05,0.22900000,0.23650000,0.22710000,0.23390000,0.22900000,0.23650000,0.22710000,0.23390000,12841342.00000000,12841342.00000000
2023-05-04,0.23520000,0.23590000,0.22770000,0.22900000,0.23520000,0.23590000,0.22770000,0.22900000,4704720.00000000,4704720.00000000
2023-05-03,0.23180000,0.23770000,0.22240000,0.23510000,0.23180000,0.23770000,0.22240000,0.23510000,7034556.00000000,7034556.00000000
2023-05-02,0.22860000,0.23240000,0.22570000,0.23190000,0.22860000,0.23240000,0.22570000,0.23190000,5657539.00000000,5657539.00000000
2023-05-01,0.23620000,0.23800000,0.22420000,0.22880000,0.23620000,0.23800000,0.22420000,0.22880000,7648911.00000000,7648911.00000000
2023-04-30,0.24270000,0.24340000,0.23530000,0.23620000,0.24270000,0.24340000,0.23530000,0.23620000,5224962.00000000,5224962.00000000
2023-04-29,0.24070000,0.24470000,0.23860000,0.24280000,0.24070000,0.24470000,0.23860000,0.24280000,4800999.00000000,4800999.00000000
2023-04-28,0.24310000,0.24410000,0.23480000,0.24070000,0.24310000,0.24410000,0.23480000,0.24070000,6724334.00000000,6724334.00000000
2023-04-27,0.23740000,0.24750000,0.23390000,0.24290000,0.23740000,0.24750000,0.23390000,0.24290000,11830914.00000000,11830914.00000000
2023-04-26,0.24220000,0.25340000,0.22270000,0.23750000,0.24220000,0.25340000,0.22270000,0.23750000,17591243.00000000,17591243.00000000
2023-04-25,0.23880000,0.24420000,0.22930000,0.24220000,0.23880000,0.24420000,0.22930000,0.24220000,8705829.00000000,8705829.00000000
2023-04-24,0.24180000,0.24350000,0.23310000,0.23880000,0.24180000,0.24350000,0.23310000,0.23880000,8932120.00000000,8932120.00000000
2023-04-23,0.25050000,0.25090000,0.23500000,0.24170000,0.25050000,0.25090000,0.23500000,0.24170000,7557261.00000000,7557261.00000000
2023-04-22,0.24010000,0.25470000,0.24000000,0.25050000,0.24010000,0.25470000,0.24000000,0.25050000,19334186.00000000,19334186.00000000
2023-04-21,0.24900000,0.25900000,0.23540000,0.24010000,0.24900000,0.25900000,0.23540000,0.24010000,16525873.00000000,16525873.00000000
2023-04-20,0.25850000,0.26270000,0.24500000,0.24910000,0.25850000,0.26270000,0.24500000,0.24910000,13830792.00000000,13830792.00000000
2023-04-19,0.28250000,0.28250000,0.25330000,0.25870000,0.28250000,0.28250000,0.25330000,0.25870000,21404230.00000000,21404230.00000000
2023-04-18,0.28590000,0.28790000,0.27670000,0.28240000,0.28590000,0.28790000,0.27670000,0.28240000,18565708.00000000,18565708.00000000
2023-04-17,0.30370000,0.31930000,0.28330000,0.28590000,0.30370000,0.31930000,0.28330000,0.28590000,46454957.00000000,46454957.00000000
2023-04-16,0.26360000,0.32130000,0.26360000,0.30370000,0.26360000,0.32130000,0.26360000,0.30370000,167926506.00000000,167926506.00000000
2023-04-15,0.26610000,0.26620000,0.25940000,0.26340000,0.26610000,0.26620000,0.25940000,0.26340000,7370423.00000000,7370423.00000000
2023-04-14,0.25330000,0.26870000,0.25220000,0.26590000,0.25330000,0.26870000,0.25220000,0.26590000,23764681.00000000,23764681.00000000
2023-04-13,0.24810000,0.25380000,0.24320000,0.25330000,0.24810000,0.25380000,0.24320000,0.25330000,12035540.00000000,12035540.00000000
2023-04-12,0.25580000,0.25580000,0.24110000,0.24770000,0.25580000,0.25580000,0.24110000,0.24770000,16111778.00000000,16111778.00000000
2023-04-11,0.25860000,0.26570000,0.25360000,0.25580000,0.25860000,0.26570000,0.25360000,0.25580000,21865460.00000000,21865460.00000000
2023-04-10,0.26180000,0.26180000,0.24950000,0.25860000,0.26180000,0.26180000,0.24950000,0.25860000,23641571.00000000,23641571.00000000
2023-04-09,0.26880000,0.27170000,0.25680000,0.26160000,0.26880000,0.27170000,0.25680000,0.26160000,25489744.00000000,25489744.00000000
2023-04-08,0.29350000,0.29940000,0.26700000,0.26880000,0.29350000,0.29940000,0.26700000,0.26880000,48967450.00000000,48967450.00000000
2023-04-07,0.29550000,0.32200000,0.28660000,0.29340000,0.29550000,0.32200000,0.28660000,0.29340000,146476947.00000000,146476947.00000000
2023-04-06,0.24890000,0.35190000,0.24580000,0.29550000,0.24890000,0.35190000,0.24580000,0.29550000,419866695.00000000,419866695.00000000
2023-04-05,0.24310000,0.25170000,0.23940000,0.24890000,0.24310000,0.25170000,0.23940000,0.24890000,13312591.00000000,13312591.00000000
2023-04-04,0.24020000,0.24730000,0.23660000,0.24310000,0.24020000,0.24730000,0.23660000,0.24310000,10090157.00000000,10090157.00000000
2023-04-03,0.23580000,0.24330000,0.22810000,0.24000000,0.23580000,0.24330000,0.22810000,0.24000000,12103207.00000000,12103207.00000000
2023-04-02,0.24480000,0.24970000,0.23210000,0.23570000,0.24480000,0.24970000,0.23210000,0.23570000,10461847.00000000,10461847.00000000
