timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-10-10,0.26250000,0.27300000,0.26040000,0.26960000,0.26250000,0.27300000,0.26040000,0.26960000,6536327.20000000,6536327.20000000
2022-10-09,0.25300000,0.28180000,0.25160000,0.26250000,0.25300000,0.28180000,0.25160000,0.26250000,15675540.00000000,15675540.00000000
2022-10-08,0.26080000,0.26820000,0.25180000,0.25330000,0.26080000,0.26820000,0.25180000,0.25330000,5650634.20000000,5650634.20000000
2022-10-07,0.26650000,0.27450000,0.25500000,0.26090000,0.26650000,0.27450000,0.25500000,0.26090000,10939158.60000000,10939158.60000000
2022-10-06,0.25470000,0.27800000,0.25470000,0.26640000,0.25470000,0.27800000,0.25470000,0.26640000,16720922.10000000,16720922.10000000
2022-10-05,0.26440000,0.26440000,0.24700000,0.25480000,0.26440000,0.26440000,0.24700000,0.25480000,7092730.30000000,7092730.30000000
2022-10-04,0.25270000,0.27300000,0.25050000,0.26440000,0.25270000,0.27300000,0.25050000,0.26440000,16339055.90000000,16339055.90000000
2022-10-03,0.22970000,0.25420000,0.22970000,0.25250000,0.22970000,0.25420000,0.22970000,0.25250000,22538754.60000000,22538754.60000000
2022-10-02,0.24040000,0.24190000,0.22930000,0.22960000,0.24040000,0.24190000,0.22930000,0.22960000,4571175.00000000,4571175.00000000
2022-10-01,0.24280000,0.25030000,0.23710000,0.24040000,0.24280000,0.25030000,0.23710000,0.24040000,7882399.40000000,7882399.40000000
2022-09-30,0.24990000,0.25710000,0.23300000,0.24270000,0.24990000,0.25710000,0.23300000,0.24270000,15553997.10000000,15553997.10000000
2022-09-29,0.26110000,0.26700000,0.24130000,0.24980000,0.26110000,0.26700000,0.24130000,0.24980000,17099142.50000000,17099142.50000000
2022-09-28,0.25750000,0.28500000,0.25180000,0.26080000,0.25750000,0.28500000,0.25180000,0.26080000,37342274.70000000,37342274.70000000
2022-09-27,0.24880000,0.29000000,0.24260000,0.25750000,0.24880000,0.29000000,0.24260000,0.25750000,54467142.30000000,54467142.30000000
2022-09-26,0.21230000,0.28580000,0.19940000,0.24870000,0.21230000,0.28580000,0.19940000,0.24870000,89471672.40000001,89471672.40000001
2022-09-25,0.22720000,0.23250000,0.20900000,0.21230000,0.22720000,0.23250000,0.20900000,0.21230000,15345446.10000000,15345446.10000000
2022-09-24,0.20140000,0.24000000,0.20050000,0.22720000,0.20140000,0.24000000,0.20050000,0.22720000,43404211.90000000,43404211.90000000
2022-09-23,0.20150000,0.20890000,0.19450000,0.20100000,0.20150000,0.20890000,0.19450000,0.20100000,6302677.70000000,6302677.70000000
2022-09-22,0.19340000,0.20220000,0.19340000,0.20190000,0.19340000,0.20220000,0.19340000,0.20190000,4213677.20000000,4213677.20000000
2022-09-21,0.19400000,0.23110000,0.19050000,0.19360000,0.19400000,0.23110000,0.19050000,0.19360000,24860745.20000000,24860745.20000000
2022-09-20,0.20140000,0.20230000,0.19000000,0.19390000,0.20140000,0.20230000,0.19000000,0.19390000,3996925.60000000,3996925.60000000
2022-09-19,0.19730000,0.20730000,0.18910000,0.20140000,0.19730000,0.20730000,0.18910000,0.20140000,10914310.40000000,10914310.40000000
2022-09-18,0.22120000,0.23610000,0.19000000,0.19740000,0.22120000,0.23610000,0.19000000,0.19740000,25230745.30000000,25230745.30000000
2022-09-17,0.21790000,0.22800000,0.21590000,0.22130000,0.21790000,0.22800000,0.21590000,0.22130000,12437084.30000000,12437084.30000000
2022-09-16,0.23770000,0.24200000,0.21110000,0.21820000,0.23770000,0.24200000,0.21110000,0.21820000,21033727.10000000,21033727.10000000
2022-09-15,0.24610000,0.27100000,0.23200000,0.23770000,0.24610000,0.27100000,0.23200000,0.23770000,16923161.80000000,16923161.80000000
2022-09-14,0.24210000,0.26000000,0.24070000,0.24680000,0.24210000,0.26000000,0.24070000,0.24680000,14227409.30000000,14227409.30000000
2022-09-13,0.26430000,0.26430000,0.24000000,0.24200000,0.26430000,0.26430000,0.24000000,0.24200000,11065253.50000000,11065253.50000000
2022-09-12,0.28800000,0.31800000,0.26030000,0.26430000,0.28800000,0.31800000,0.26030000,0.26430000,21039067.60000000,21039067.60000000
