timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.17000000,0.17100000,0.16980000,0.17040000,0.17000000,0.17100000,0.16980000,0.17040000,22989.00000000,22989.00000000
2023-05-07,0.17160000,0.17980000,0.16910000,0.17010000,0.17160000,0.17980000,0.16910000,0.17010000,2637656.00000000,2637656.00000000
2023-05-06,0.17730000,0.17810000,0.16910000,0.17120000,0.17730000,0.17810000,0.16910000,0.17120000,930087.00000000,930087.00000000
2023-05-05,0.17470000,0.17820000,0.17390000,0.17730000,0.17470000,0.17820000,0.17390000,0.17730000,1959083.00000000,1959083.00000000
2023-05-04,0.17130000,0.17740000,0.17000000,0.17470000,0.17130000,0.17740000,0.17000000,0.17470000,1611063.00000000,1611063.00000000
2023-05-03,0.17190000,0.17230000,0.16640000,0.17120000,0.17190000,0.17230000,0.16640000,0.17120000,1407802.00000000,1407802.00000000
2023-05-02,0.16960000,0.17270000,0.16810000,0.17220000,0.16960000,0.17270000,0.16810000,0.17220000,851573.00000000,851573.00000000
2023-05-01,0.17600000,0.17820000,0.16800000,0.16970000,0.17600000,0.17820000,0.16800000,0.16970000,1143596.00000000,1143596.00000000
2023-04-30,0.17920000,0.17960000,0.17590000,0.17590000,0.17920000,0.17960000,0.17590000,0.17590000,939539.00000000,939539.00000000
2023-04-29,0.17760000,0.17990000,0.17680000,0.17920000,0.17760000,0.17990000,0.17680000,0.17920000,744755.00000000,744755.00000000
2023-04-28,0.17780000,0.17870000,0.17420000,0.17750000,0.17780000,0.17870000,0.17420000,0.17750000,820418.00000000,820418.00000000
2023-04-27,0.17670000,0.18040000,0.17380000,0.17760000,0.17670000,0.18040000,0.17380000,0.17760000,1390236.00000000,1390236.00000000
2023-04-26,0.17780000,0.18310000,0.17210000,0.17650000,0.17780000,0.18310000,0.17210000,0.17650000,2415243.00000000,2415243.00000000
2023-04-25,0.17600000,0.17980000,0.16920000,0.17780000,0.17600000,0.17980000,0.16920000,0.17780000,2100194.00000000,2100194.00000000
2023-04-24,0.18030000,0.18080000,0.17330000,0.17600000,0.18030000,0.18080000,0.17330000,0.17600000,1839289.00000000,1839289.00000000
2023-04-23,0.18520000,0.19040000,0.17600000,0.18030000,0.18520000,0.19040000,0.17600000,0.18030000,4190195.00000000,4190195.00000000
2023-04-22,0.18980000,0.19070000,0.17790000,0.18520000,0.18980000,0.19070000,0.17790000,0.18520000,10202757.00000000,10202757.00000000
2023-04-21,0.20000000,0.23630000,0.18690000,0.18980000,0.20000000,0.23630000,0.18690000,0.18980000,49634279.00000000,49634279.00000000
2023-04-20,0.18460000,0.23100000,0.18130000,0.19930000,0.18460000,0.23100000,0.18130000,0.19930000,49706351.00000000,49706351.00000000
2023-04-19,0.20250000,0.20250000,0.18340000,0.18460000,0.20250000,0.20250000,0.18340000,0.18460000,1591350.00000000,1591350.00000000
2023-04-18,0.19860000,0.20460000,0.19630000,0.20280000,0.19860000,0.20460000,0.19630000,0.20280000,1669430.00000000,1669430.00000000
2023-04-17,0.20070000,0.20520000,0.19530000,0.19860000,0.20070000,0.20520000,0.19530000,0.19860000,2019883.00000000,2019883.00000000
2023-04-16,0.19830000,0.20190000,0.19630000,0.20070000,0.19830000,0.20190000,0.19630000,0.20070000,1134059.00000000,1134059.00000000
2023-04-15,0.19970000,0.19970000,0.19660000,0.19820000,0.19970000,0.19970000,0.19660000,0.19820000,518045.00000000,518045.00000000
2023-04-14,0.19820000,0.20110000,0.19530000,0.19990000,0.19820000,0.20110000,0.19530000,0.19990000,1502406.00000000,1502406.00000000
2023-04-13,0.19660000,0.19840000,0.19240000,0.19840000,0.19660000,0.19840000,0.19240000,0.19840000,1251705.00000000,1251705.00000000
2023-04-12,0.19660000,0.20160000,0.19000000,0.19640000,0.19660000,0.20160000,0.19000000,0.19640000,3155060.00000000,3155060.00000000
2023-04-11,0.19920000,0.19950000,0.19510000,0.19650000,0.19920000,0.19950000,0.19510000,0.19650000,1696343.00000000,1696343.00000000
2023-04-10,0.19380000,0.19950000,0.19070000,0.19950000,0.19380000,0.19950000,0.19070000,0.19950000,3495952.00000000,3495952.00000000
2023-04-09,0.19530000,0.19580000,0.18900000,0.19350000,0.19530000,0.19580000,0.18900000,0.19350000,1961151.00000000,1961151.00000000
2023-04-08,0.19750000,0.19750000,0.19300000,0.19550000,0.19750000,0.19750000,0.19300000,0.19550000,1791921.00000000,1791921.00000000
2023-04-07,0.20530000,0.20530000,0.19450000,0.19750000,0.20530000,0.20530000,0.19450000,0.19750000,2983819.00000000,2983819.00000000
2023-04-06,0.20190000,0.23130000,0.19530000,0.20580000,0.20190000,0.23130000,0.19530000,0.20580000,30067878.00000000,30067878.00000000
2023-04-05,0.19080000,0.20310000,0.18970000,0.20180000,0.19080000,0.20310000,0.18970000,0.20180000,3260451.00000000,3260451.00000000
2023-04-04,0.18870000,0.19120000,0.18550000,0.19100000,0.18870000,0.19120000,0.18550000,0.19100000,1184838.00000000,1184838.00000000
2023-04-03,0.18930000,0.19240000,0.18300000,0.18870000,0.18930000,0.19240000,0.18300000,0.18870000,1868968.00000000,1868968.00000000
2023-04-02,0.19770000,0.19810000,0.18570000,0.18940000,0.19770000,0.19810000,0.18570000,0.18940000,1433827.00000000,1433827.00000000
2023-04-01,0.19600000,0.19840000,0.19300000,0.19700000,0.19600000,0.19840000,0.19300000,0.19700000,2463343.00000000,2463343.00000000
2023-03-31,0.18910000,0.19890000,0.18300000,0.19640000,0.18910000,0.19890000,0.18300000,0.19640000,8603397.00000000,8603397.00000000
2023-03-30,0.18290000,0.20130000,0.18010000,0.18900000,0.18290000,0.20130000,0.18010000,0.18900000,8991203.00000000,8991203.00000000
2023-03-29,0.17750000,0.18560000,0.17540000,0.18320000,0.17750000,0.18560000,0.17540000,0.18320000,2895709.00000000,2895709.00000000
2023-03-28,0.17230000,0.17760000,0.16800000,0.17720000,0.17230000,0.17760000,0.16800000,0.17720000,3733920.00000000,3733920.00000000
2023-03-27,0.18460000,0.18500000,0.16610000,0.17230000,0.18460000,0.18500000,0.16610000,0.17230000,4864891.00000000,4864891.00000000
2023-03-26,0.17900000,0.18510000,0.17760000,0.18460000,0.17900000,0.18510000,0.17760000,0.18460000,1026117.00000000,1026117.00000000
2023-03-25,0.18010000,0.18110000,0.17680000,0.17900000,0.18010000,0.18110000,0.17680000,0.17900000,472420.00000000,472420.00000000
2023-03-24,0.18550000,0.18580000,0.17770000,0.18010000,0.18550000,0.18580000,0.17770000,0.18010000,761680.00000000,761680.00000000
2023-03-23,0.18190000,0.18810000,0.17670000,0.18580000,0.18190000,0.18810000,0.17670000,0.18580000,1560166.00000000,1560166.00000000
