timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,2.71700000,2.72900000,2.69700000,2.72000000,2.71700000,2.72900000,2.69700000,2.72000000,22726.90000000,22726.90000000
2023-05-07,2.77700000,2.77900000,2.70300000,2.71700000,2.77700000,2.77900000,2.70300000,2.71700000,164360.20000000,164360.20000000
2023-05-06,2.86100000,2.89200000,2.72900000,2.77700000,2.86100000,2.89200000,2.72900000,2.77700000,214886.60000000,214886.60000000
2023-05-05,2.81200000,2.88000000,2.78800000,2.86300000,2.81200000,2.88000000,2.78800000,2.86300000,226535.00000000,226535.00000000
2023-05-04,2.83800000,2.84700000,2.77400000,2.81200000,2.83800000,2.84700000,2.77400000,2.81200000,182088.60000000,182088.60000000
2023-05-03,2.77800000,2.85500000,2.68900000,2.83700000,2.77800000,2.85500000,2.68900000,2.83700000,398581.50000000,398581.50000000
2023-05-02,2.79200000,2.79600000,2.72200000,2.77600000,2.79200000,2.79600000,2.72200000,2.77600000,273854.60000000,273854.60000000
2023-05-01,2.83500000,2.88600000,2.76400000,2.79500000,2.83500000,2.88600000,2.76400000,2.79500000,470445.20000000,470445.20000000
2023-04-30,2.90300000,2.92900000,2.82300000,2.83400000,2.90300000,2.92900000,2.82300000,2.83400000,245716.70000000,245716.70000000
2023-04-29,2.86600000,2.91200000,2.85100000,2.90200000,2.86600000,2.91200000,2.85100000,2.90200000,322488.20000000,322488.20000000
2023-04-28,2.90200000,2.92700000,2.78300000,2.86600000,2.90200000,2.92700000,2.78300000,2.86600000,1186412.30000000,1186412.30000000
2023-04-27,2.87300000,2.96300000,2.82500000,2.89900000,2.87300000,2.96300000,2.82500000,2.89900000,497416.50000000,497416.50000000
2023-04-26,2.93300000,3.04900000,2.72300000,2.87500000,2.93300000,3.04900000,2.72300000,2.87500000,754909.60000000,754909.60000000
2023-04-25,2.86700000,2.94400000,2.77900000,2.93500000,2.86700000,2.94400000,2.77900000,2.93500000,361679.70000000,361679.70000000
2023-04-24,2.91500000,2.96300000,2.80400000,2.86400000,2.91500000,2.96300000,2.80400000,2.86400000,296114.80000000,296114.80000000
2023-04-23,2.96400000,2.96900000,2.83900000,2.91500000,2.96400000,2.96900000,2.83900000,2.91500000,272377.80000000,272377.80000000
2023-04-22,2.87900000,2.98000000,2.87400000,2.96900000,2.87900000,2.98000000,2.87400000,2.96900000,164048.00000000,164048.00000000
2023-04-21,3.01300000,3.03800000,2.83800000,2.88100000,3.01300000,3.03800000,2.83800000,2.88100000,422140.70000000,422140.70000000
2023-04-20,3.06300000,3.10700000,2.94400000,3.01500000,3.06300000,3.10700000,2.94400000,3.01500000,437181.80000000,437181.80000000
2023-04-19,3.32700000,3.36700000,2.99100000,3.06600000,3.32700000,3.36700000,2.99100000,3.06600000,937385.10000000,937385.10000000
2023-04-18,3.27800000,3.36800000,3.21400000,3.33000000,3.27800000,3.36800000,3.21400000,3.33000000,323118.70000000,323118.70000000
2023-04-17,3.41400000,3.43400000,3.25100000,3.27900000,3.41400000,3.43400000,3.25100000,3.27900000,475315.90000000,475315.90000000
2023-04-16,3.34100000,3.52100000,3.29800000,3.41500000,3.34100000,3.52100000,3.29800000,3.41500000,1023563.50000000,1023563.50000000
2023-04-15,3.33300000,3.35000000,3.26600000,3.34100000,3.33300000,3.35000000,3.26600000,3.34100000,290021.50000000,290021.50000000
2023-04-14,3.24100000,3.36000000,3.23000000,3.33100000,3.24100000,3.36000000,3.23000000,3.33100000,755349.20000000,755349.20000000
2023-04-13,3.19900000,3.24200000,3.15200000,3.24100000,3.19900000,3.24200000,3.15200000,3.24100000,333400.20000000,333400.20000000
