timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,68.10000000,68.80000000,68.10000000,68.60000000,68.10000000,68.80000000,68.10000000,68.60000000,352.41500000,352.41500000
2023-05-07,69.50000000,72.90000000,68.00000000,68.10000000,69.50000000,72.90000000,68.00000000,68.10000000,13527.75200000,13527.75200000
2023-05-06,72.30000000,73.00000000,67.70000000,69.50000000,72.30000000,73.00000000,67.70000000,69.50000000,8362.59600000,8362.59600000
2023-05-05,70.80000000,74.60000000,70.30000000,72.40000000,70.80000000,74.60000000,70.30000000,72.40000000,18829.81700000,18829.81700000
2023-05-04,73.00000000,73.40000000,70.60000000,70.70000000,73.00000000,73.40000000,70.60000000,70.70000000,6408.73000000,6408.73000000
2023-05-03,72.90000000,73.50000000,69.60000000,73.00000000,72.90000000,73.50000000,69.60000000,73.00000000,23551.17500000,23551.17500000
2023-05-02,72.80000000,75.70000000,72.50000000,72.80000000,72.80000000,75.70000000,72.50000000,72.80000000,12568.86700000,12568.86700000
2023-05-01,77.30000000,77.80000000,71.70000000,72.70000000,77.30000000,77.80000000,71.70000000,72.70000000,13413.75200000,13413.75200000
2023-04-30,78.50000000,80.50000000,76.70000000,77.20000000,78.50000000,80.50000000,76.70000000,77.20000000,10962.37700000,10962.37700000
2023-04-29,78.30000000,81.00000000,76.90000000,78.40000000,78.30000000,81.00000000,76.90000000,78.40000000,15884.85600000,15884.85600000
2023-04-28,79.10000000,83.70000000,76.30000000,78.30000000,79.10000000,83.70000000,76.30000000,78.30000000,29955.39500000,29955.39500000
2023-04-27,78.50000000,85.00000000,76.50000000,79.10000000,78.50000000,85.00000000,76.50000000,79.10000000,101771.58700000,101771.58700000
2023-04-26,71.20000000,92.00000000,70.20000000,78.40000000,71.20000000,92.00000000,70.20000000,78.40000000,83285.14900000,83285.14900000
2023-04-25,71.40000000,71.90000000,68.60000000,71.20000000,71.40000000,71.90000000,68.60000000,71.20000000,8959.45100000,8959.45100000
2023-04-24,71.30000000,75.00000000,68.40000000,71.50000000,71.30000000,75.00000000,68.40000000,71.50000000,14906.86400000,14906.86400000
2023-04-23,76.10000000,78.60000000,70.20000000,71.40000000,76.10000000,78.60000000,70.20000000,71.40000000,17924.17200000,17924.17200000
2023-04-22,69.90000000,83.00000000,68.80000000,76.00000000,69.90000000,83.00000000,68.80000000,76.00000000,39401.78100000,39401.78100000
2023-04-21,74.80000000,75.70000000,69.10000000,69.90000000,74.80000000,75.70000000,69.10000000,69.90000000,9508.79200000,9508.79200000
2023-04-20,77.10000000,78.80000000,73.60000000,74.70000000,77.10000000,78.80000000,73.60000000,74.70000000,10714.59600000,10714.59600000
2023-04-19,83.70000000,83.90000000,76.30000000,77.20000000,83.70000000,83.90000000,76.30000000,77.20000000,18766.40100000,18766.40100000
2023-04-18,79.50000000,88.00000000,79.40000000,83.80000000,79.50000000,88.00000000,79.40000000,83.80000000,27234.79400000,27234.79400000
2023-04-17,82.80000000,83.00000000,76.50000000,79.60000000,82.80000000,83.00000000,76.50000000,79.60000000,26787.35300000,26787.35300000
2023-04-16,83.80000000,84.50000000,82.40000000,82.90000000,83.80000000,84.50000000,82.40000000,82.90000000,7082.11700000,7082.11700000
2023-04-15,84.00000000,87.70000000,82.30000000,83.80000000,84.00000000,87.70000000,82.30000000,83.80000000,18457.33400000,18457.33400000
2023-04-14,80.60000000,90.10000000,80.40000000,84.10000000,80.60000000,90.10000000,80.40000000,84.10000000,29261.56100000,29261.56100000
2023-04-13,79.30000000,81.20000000,78.50000000,80.60000000,79.30000000,81.20000000,78.50000000,80.60000000,8366.62300000,8366.62300000
2023-04-12,80.90000000,81.00000000,77.50000000,79.20000000,80.90000000,81.00000000,77.50000000,79.20000000,10678.68300000,10678.68300000
2023-04-11,83.00000000,83.50000000,80.20000000,80.80000000,83.00000000,83.50000000,80.20000000,80.80000000,13527.53200000,13527.53200000
2023-04-10,82.50000000,83.60000000,79.00000000,83.00000000,82.50000000,83.60000000,79.00000000,83.00000000,21240.01400000,21240.01400000
2023-04-09,83.30000000,85.10000000,81.70000000,82.50000000,83.30000000,85.10000000,81.70000000,82.50000000,18698.75200000,18698.75200000
2023-04-08,84.10000000,84.40000000,82.90000000,83.20000000,84.10000000,84.40000000,82.90000000,83.20000000,6811.39200000,6811.39200000
2023-04-07,86.00000000,86.30000000,83.50000000,84.00000000,86.00000000,86.30000000,83.50000000,84.00000000,7330.07800000,7330.07800000
2023-04-06,87.00000000,87.10000000,85.00000000,86.00000000,87.00000000,87.10000000,85.00000000,86.00000000,7518.24900000,7518.24900000
2023-04-05,87.50000000,89.50000000,86.00000000,87.00000000,87.50000000,89.50000000,86.00000000,87.00000000,10156.66400000,10156.66400000
2023-04-04,86.60000000,88.90000000,86.20000000,87.50000000,86.60000000,88.90000000,86.20000000,87.50000000,11132.85300000,11132.85300000
2023-04-03,87.30000000,88.00000000,86.00000000,86.60000000,87.30000000,88.00000000,86.00000000,86.60000000,16054.12700000,16054.12700000
2023-04-02,90.40000000,92.00000000,86.00000000,87.40000000,90.40000000,92.00000000,86.00000000,87.40000000,17494.61500000,17494.61500000
2023-04-01,91.80000000,94.80000000,89.10000000,90.40000000,91.80000000,94.80000000,89.10000000,90.40000000,15866.65900000,15866.65900000
2023-03-31,86.90000000,92.00000000,85.20000000,91.90000000,86.90000000,92.00000000,85.20000000,91.90000000,13899.46900000,13899.46900000
2023-03-30,88.40000000,90.40000000,85.10000000,87.10000000,88.40000000,90.40000000,85.10000000,87.10000000,19606.33000000,19606.33000000
2023-03-29,87.40000000,92.00000000,87.00000000,88.50000000,87.40000000,92.00000000,87.00000000,88.50000000,16348.07400000,16348.07400000
2023-03-28,87.20000000,88.70000000,84.60000000,87.30000000,87.20000000,88.70000000,84.60000000,87.30000000,19704.48200000,19704.48200000
2023-03-27,98.50000000,102.00000000,84.90000000,87.10000000,98.50000000,102.00000000,84.90000000,87.10000000,48205.92500000,48205.92500000
2023-03-26,85.40000000,105.60000000,85.10000000,98.30000000,85.40000000,105.60000000,85.10000000,98.30000000,76625.61900000,76625.61900000
2023-03-25,85.60000000,89.80000000,83.80000000,85.40000000,85.60000000,89.80000000,83.80000000,85.40000000,11917.93100000,11917.93100000
2023-03-24,89.70000000,90.70000000,84.60000000,85.60000000,89.70000000,90.70000000,84.60000000,85.60000000,10589.48600000,10589.48600000
2023-03-23,85.50000000,90.10000000,84.60000000,89.70000000,85.50000000,90.10000000,84.60000000,89.70000000,12170.17400000,12170.17400000
2023-03-22,89.20000000,89.50000000,82.80000000,85.40000000,89.20000000,89.50000000,82.80000000,85.40000000,24208.01900000,24208.01900000
2023-03-21,88.30000000,92.00000000,86.50000000,89.20000000,88.30000000,92.00000000,86.50000000,89.20000000,14275.11900000,14275.11900000
2023-03-20,89.20000000,92.90000000,86.10000000,88.30000000,89.20000000,92.90000000,86.10000000,88.30000000,12739.10200000,12739.10200000
2023-03-19,89.20000000,93.00000000,87.90000000,89.20000000,89.20000000,93.00000000,87.90000000,89.20000000,11965.93300000,11965.93300000
2023-03-18,91.30000000,97.50000000,87.80000000,89.40000000,91.30000000,97.50000000,87.80000000,89.40000000,25918.24900000,25918.24900000
2023-03-17,88.30000000,93.80000000,86.90000000,91.40000000,88.30000000,93.80000000,86.90000000,91.40000000,20277.05800000,20277.05800000
2023-03-16,85.70000000,89.70000000,84.80000000,88.50000000,85.70000000,89.70000000,84.80000000,88.50000000,18857.11100000,18857.11100000
2023-03-15,94.40000000,99.10000000,84.00000000,85.70000000,94.40000000,99.10000000,84.00000000,85.70000000,34687.41600000,34687.41600000
2023-03-14,92.70000000,104.40000000,86.50000000,94.00000000,92.70000000,104.40000000,86.50000000,94.00000000,55120.12800000,55120.12800000
2023-03-13,85.30000000,99.00000000,82.50000000,92.70000000,85.30000000,99.00000000,82.50000000,92.70000000,52100.01900000,52100.01900000
2023-03-12,78.10000000,87.00000000,76.40000000,85.30000000,78.10000000,87.00000000,76.40000000,85.30000000,25133.43600000,25133.43600000
