timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00000934,0.00000936,0.00000926,0.00000930,0.00000934,0.00000936,0.00000926,0.00000930,72279650007.00000000,72279650007.00000000
2023-05-07,0.00000945,0.00000954,0.00000930,0.00000934,0.00000945,0.00000954,0.00000930,0.00000934,1556190141044.00000000,1556190141044.00000000
2023-05-06,0.00000999,0.00001005,0.00000918,0.00000945,0.00000999,0.00001005,0.00000918,0.00000945,3625632012261.00000000,3625632012261.00000000
2023-05-05,0.00000989,0.00001004,0.00000976,0.00000999,0.00000989,0.00001004,0.00000976,0.00000999,2112846133765.00000000,2112846133765.00000000
2023-05-04,0.00001012,0.00001013,0.00000987,0.00000989,0.00001012,0.00001013,0.00000987,0.00000989,1274110970422.00000000,1274110970422.00000000
2023-05-03,0.00001001,0.00001020,0.00000981,0.00001011,0.00001001,0.00001020,0.00000981,0.00001011,1648549293278.00000000,1648549293278.00000000
2023-05-02,0.00000996,0.00001012,0.00000985,0.00001001,0.00000996,0.00001012,0.00000985,0.00001001,1357156389385.00000000,1357156389385.00000000
2023-05-01,0.00001008,0.00001012,0.00000974,0.00000996,0.00001008,0.00001012,0.00000974,0.00000996,2356359497533.00000000,2356359497533.00000000
2023-04-30,0.00001029,0.00001031,0.00001002,0.00001007,0.00001029,0.00001031,0.00001002,0.00001007,1216958085323.00000000,1216958085323.00000000
2023-04-29,0.00001024,0.00001037,0.00001018,0.00001030,0.00001024,0.00001037,0.00001018,0.00001030,900959748756.00000000,900959748756.00000000
2023-04-28,0.00001027,0.00001031,0.00001009,0.00001024,0.00001027,0.00001031,0.00001009,0.00001024,1096112696872.00000000,1096112696872.00000000
2023-04-27,0.00001016,0.00001039,0.00001014,0.00001027,0.00001016,0.00001039,0.00001014,0.00001027,1812275518866.00000000,1812275518866.00000000
2023-04-26,0.00001036,0.00001075,0.00000972,0.00001017,0.00001036,0.00001075,0.00000972,0.00001017,3550674516171.00000000,3550674516171.00000000
2023-04-25,0.00001027,0.00001044,0.00001008,0.00001036,0.00001027,0.00001044,0.00001008,0.00001036,1616232122285.00000000,1616232122285.00000000
2023-04-24,0.00001032,0.00001042,0.00001011,0.00001027,0.00001032,0.00001042,0.00001011,0.00001027,1764517783418.00000000,1764517783418.00000000
2023-04-23,0.00001046,0.00001047,0.00001006,0.00001032,0.00001046,0.00001047,0.00001006,0.00001032,1469516512001.00000000,1469516512001.00000000
2023-04-22,0.00001029,0.00001050,0.00001016,0.00001046,0.00001029,0.00001050,0.00001016,0.00001046,1314285267025.00000000,1314285267025.00000000
2023-04-21,0.00001059,0.00001069,0.00001003,0.00001029,0.00001059,0.00001069,0.00001003,0.00001029,3263313680091.00000000,3263313680091.00000000
2023-04-20,0.00001082,0.00001102,0.00001035,0.00001059,0.00001082,0.00001102,0.00001035,0.00001059,3318052892475.00000000,3318052892475.00000000
2023-04-19,0.00001157,0.00001160,0.00001060,0.00001083,0.00001157,0.00001160,0.00001060,0.00001083,4682387214969.00000000,4682387214969.00000000
2023-04-18,0.00001136,0.00001172,0.00001124,0.00001157,0.00001136,0.00001172,0.00001124,0.00001157,3285349981096.00000000,3285349981096.00000000
2023-04-17,0.00001157,0.00001171,0.00001118,0.00001137,0.00001157,0.00001171,0.00001118,0.00001137,5098091891116.00000000,5098091891116.00000000
2023-04-16,0.00001155,0.00001188,0.00001140,0.00001157,0.00001155,0.00001188,0.00001140,0.00001157,5049204811906.00000000,5049204811906.00000000
2023-04-15,0.00001125,0.00001160,0.00001105,0.00001156,0.00001125,0.00001160,0.00001105,0.00001156,3144476864544.00000000,3144476864544.00000000
2023-04-14,0.00001109,0.00001149,0.00001096,0.00001124,0.00001109,0.00001149,0.00001096,0.00001124,4762564752598.00000000,4762564752598.00000000
2023-04-13,0.00001096,0.00001123,0.00001089,0.00001110,0.00001096,0.00001123,0.00001089,0.00001110,2253740621263.00000000,2253740621263.00000000
2023-04-12,0.00001103,0.00001108,0.00001058,0.00001096,0.00001103,0.00001108,0.00001058,0.00001096,3243310262100.00000000,3243310262100.00000000
2023-04-11,0.00001112,0.00001119,0.00001101,0.00001104,0.00001112,0.00001119,0.00001101,0.00001104,2117146883828.00000000,2117146883828.00000000
2023-04-10,0.00001096,0.00001116,0.00001085,0.00001113,0.00001096,0.00001116,0.00001085,0.00001113,1996132132487.00000000,1996132132487.00000000
2023-04-09,0.00001085,0.00001101,0.00001080,0.00001096,0.00001085,0.00001101,0.00001080,0.00001096,1656884899158.00000000,1656884899158.00000000
2023-04-08,0.00001092,0.00001107,0.00001077,0.00001086,0.00001092,0.00001107,0.00001077,0.00001086,1583903238088.00000000,1583903238088.00000000
