timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,2.36100000,2.38500000,2.34900000,2.36800000,2.36100000,2.38500000,2.34900000,2.36800000,142628.40000000,142628.40000000
2023-05-07,2.39000000,2.40400000,2.35400000,2.36000000,2.39000000,2.40400000,2.35400000,2.36000000,1372061.30000000,1372061.30000000
2023-05-06,2.56900000,2.57100000,2.34100000,2.39000000,2.56900000,2.57100000,2.34100000,2.39000000,1994792.00000000,1994792.00000000
2023-05-05,2.48800000,2.58400000,2.43000000,2.56900000,2.48800000,2.58400000,2.43000000,2.56900000,2381001.10000000,2381001.10000000
2023-05-04,2.50800000,2.53900000,2.44200000,2.48800000,2.50800000,2.53900000,2.44200000,2.48800000,1472492.50000000,1472492.50000000
2023-05-03,2.44400000,2.51900000,2.37900000,2.50700000,2.44400000,2.51900000,2.37900000,2.50700000,3252640.90000000,3252640.90000000
2023-05-02,2.34700000,2.46600000,2.32300000,2.44400000,2.34700000,2.46600000,2.32300000,2.44400000,2040116.50000000,2040116.50000000
2023-05-01,2.42700000,2.44300000,2.30500000,2.34800000,2.42700000,2.44300000,2.30500000,2.34800000,1733278.70000000,1733278.70000000
2023-04-30,2.47300000,2.49600000,2.39900000,2.42800000,2.47300000,2.49600000,2.39900000,2.42800000,1617604.90000000,1617604.90000000
2023-04-29,2.44300000,2.51400000,2.43600000,2.47300000,2.44300000,2.51400000,2.43600000,2.47300000,1713311.00000000,1713311.00000000
2023-04-28,2.45200000,2.47400000,2.39100000,2.44300000,2.45200000,2.47400000,2.39100000,2.44300000,2351772.00000000,2351772.00000000
2023-04-27,2.41100000,2.49400000,2.37800000,2.45200000,2.41100000,2.49400000,2.37800000,2.45200000,3396180.90000000,3396180.90000000
2023-04-26,2.48500000,2.60800000,2.26300000,2.41000000,2.48500000,2.60800000,2.26300000,2.41000000,7469362.00000000,7469362.00000000
2023-04-25,2.47700000,2.48400000,2.32600000,2.48300000,2.47700000,2.48400000,2.32600000,2.48300000,3030429.50000000,3030429.50000000
2023-04-24,2.48200000,2.52400000,2.40800000,2.47500000,2.48200000,2.52400000,2.40800000,2.47500000,2050932.10000000,2050932.10000000
2023-04-23,2.54200000,2.54600000,2.40700000,2.48200000,2.54200000,2.54600000,2.40700000,2.48200000,2092681.60000000,2092681.60000000
2023-04-22,2.49000000,2.55400000,2.45300000,2.54300000,2.49000000,2.55400000,2.45300000,2.54300000,3426926.90000000,3426926.90000000
2023-04-21,2.70000000,2.73700000,2.45500000,2.49100000,2.70000000,2.73700000,2.45500000,2.49100000,4687163.00000000,4687163.00000000
2023-04-20,2.83600000,3.03000000,2.64600000,2.70100000,2.83600000,3.03000000,2.64600000,2.70100000,9907096.00000000,9907096.00000000
2023-04-19,3.01900000,3.08900000,2.76000000,2.83700000,3.01900000,3.08900000,2.76000000,2.83700000,10653243.40000000,10653243.40000000
2023-04-18,2.75600000,3.05400000,2.70300000,3.02000000,2.75600000,3.05400000,2.70300000,3.02000000,7817801.00000000,7817801.00000000
2023-04-17,2.83900000,2.84100000,2.69100000,2.75600000,2.83900000,2.84100000,2.69100000,2.75600000,3331717.60000000,3331717.60000000
2023-04-16,2.74600000,2.87300000,2.68200000,2.83900000,2.74600000,2.87300000,2.68200000,2.83900000,4151068.90000000,4151068.90000000
2023-04-15,2.73700000,2.83800000,2.68300000,2.74700000,2.73700000,2.83800000,2.68300000,2.74700000,3627281.60000000,3627281.60000000
2023-04-14,2.63500000,2.77800000,2.62700000,2.73600000,2.63500000,2.77800000,2.62700000,2.73600000,5262678.00000000,5262678.00000000
2023-04-13,2.57700000,2.66800000,2.54100000,2.63400000,2.57700000,2.66800000,2.54100000,2.63400000,3048487.50000000,3048487.50000000
2023-04-12,2.62900000,2.63800000,2.51100000,2.57600000,2.62900000,2.63800000,2.51100000,2.57600000,3100050.00000000,3100050.00000000
2023-04-11,2.70000000,2.73300000,2.61500000,2.63000000,2.70000000,2.73300000,2.61500000,2.63000000,2845263.60000000,2845263.60000000
2023-04-10,2.63200000,2.70200000,2.58300000,2.69900000,2.63200000,2.70200000,2.58300000,2.69900000,2345701.10000000,2345701.10000000
2023-04-09,2.62900000,2.67500000,2.53900000,2.63300000,2.62900000,2.67500000,2.53900000,2.63300000,2346178.70000000,2346178.70000000
2023-04-08,2.64400000,2.72200000,2.59300000,2.62900000,2.64400000,2.72200000,2.59300000,2.62900000,1670661.10000000,1670661.10000000
2023-04-07,2.68100000,2.70300000,2.62100000,2.64400000,2.68100000,2.70300000,2.62100000,2.64400000,1876036.50000000,1876036.50000000
2023-04-06,2.71300000,2.73000000,2.64000000,2.68000000,2.71300000,2.73000000,2.64000000,2.68000000,2558184.80000000,2558184.80000000
2023-04-05,2.75900000,2.88200000,2.65700000,2.71300000,2.75900000,2.88200000,2.65700000,2.71300000,3607765.60000000,3607765.60000000
2023-04-04,2.54600000,2.78900000,2.52800000,2.76000000,2.54600000,2.78900000,2.52800000,2.76000000,5160829.70000000,5160829.70000000
2023-04-03,2.56000000,2.70000000,2.45400000,2.54400000,2.56000000,2.70000000,2.45400000,2.54400000,6741816.40000000,6741816.40000000
2023-04-02,2.58000000,2.66000000,2.50800000,2.56000000,2.58000000,2.66000000,2.50800000,2.56000000,4286921.60000000,4286921.60000000
2023-04-01,2.55700000,2.58700000,2.50700000,2.58000000,2.55700000,2.58700000,2.50700000,2.58000000,3539410.20000000,3539410.20000000
2023-03-31,2.43400000,2.60500000,2.36500000,2.55700000,2.43400000,2.60500000,2.36500000,2.55700000,4948774.20000000,4948774.20000000
2023-03-30,2.55900000,2.58800000,2.38200000,2.43300000,2.55900000,2.58800000,2.38200000,2.43300000,4971818.00000000,4971818.00000000
2023-03-29,2.39600000,2.59000000,2.38300000,2.56000000,2.39600000,2.59000000,2.38300000,2.56000000,6502466.40000000,6502466.40000000
2023-03-28,2.34600000,2.42500000,2.28800000,2.39500000,2.34600000,2.42500000,2.28800000,2.39500000,5375465.30000000,5375465.30000000
2023-03-27,2.46900000,2.55100000,2.28600000,2.34500000,2.46900000,2.55100000,2.28600000,2.34500000,6743461.80000000,6743461.80000000
2023-03-26,2.40900000,2.50500000,2.39800000,2.47000000,2.40900000,2.50500000,2.39800000,2.47000000,2803628.70000000,2803628.70000000
2023-03-25,2.53100000,2.56900000,2.35000000,2.40900000,2.53100000,2.56900000,2.35000000,2.40900000,4407519.40000000,4407519.40000000
2023-03-24,2.71100000,2.75800000,2.47500000,2.53200000,2.71100000,2.75800000,2.47500000,2.53200000,4862484.90000000,4862484.90000000
2023-03-23,2.68100000,2.78500000,2.62200000,2.70900000,2.68100000,2.78500000,2.62200000,2.70900000,5265430.30000000,5265430.30000000
2023-03-22,2.85800000,2.89300000,2.57600000,2.68200000,2.85800000,2.89300000,2.57600000,2.68200000,8408244.70000000,8408244.70000000
2023-03-21,2.99200000,3.04600000,2.78500000,2.85600000,2.99200000,3.04600000,2.78500000,2.85600000,10326998.10000000,10326998.10000000
2023-03-20,2.87000000,3.20500000,2.79300000,2.99300000,2.87000000,3.20500000,2.79300000,2.99300000,19908848.90000000,19908848.90000000
2023-03-19,2.86800000,2.99100000,2.79100000,2.87100000,2.86800000,2.99100000,2.79100000,2.87100000,5663103.50000000,5663103.50000000
2023-03-18,3.03800000,3.13000000,2.76800000,2.86500000,3.03800000,3.13000000,2.76800000,2.86500000,10972935.60000000,10972935.60000000
2023-03-17,2.80900000,3.15900000,2.71900000,3.03800000,2.80900000,3.15900000,2.71900000,3.03800000,17936936.00000000,17936936.00000000
2023-03-16,2.65000000,3.02100000,2.51900000,2.80900000,2.65000000,3.02100000,2.51900000,2.80900000,14598866.80000000,14598866.80000000
2023-03-15,3.14300000,3.39000000,2.52700000,2.65300000,3.14300000,3.39000000,2.52700000,2.65300000,18301401.20000000,18301401.20000000
2023-03-14,3.14900000,3.29100000,2.88800000,3.14400000,3.14900000,3.29100000,2.88800000,3.14400000,13560468.70000000,13560468.70000000
2023-03-13,2.77800000,3.35300000,2.73700000,3.14800000,2.77800000,3.35300000,2.73700000,3.14800000,21358544.90000000,21358544.90000000
2023-03-12,2.18300000,2.79100000,2.10800000,2.78200000,2.18300000,2.79100000,2.10800000,2.78200000,7298515.90000000,7298515.90000000
2023-03-11,2.23900000,2.31600000,1.98700000,2.18400000,2.23900000,2.31600000,1.98700000,2.18400000,8664150.40000000,8664150.40000000
2023-03-10,2.36800000,2.38200000,2.09600000,2.24200000,2.36800000,2.38200000,2.09600000,2.24200000,8312173.50000000,8312173.50000000
2023-03-09,2.60600000,2.61700000,2.26000000,2.36700000,2.60600000,2.61700000,2.26000000,2.36700000,7052662.60000000,7052662.60000000
2023-03-08,2.92700000,2.95200000,2.55400000,2.60700000,2.92700000,2.95200000,2.55400000,2.60700000,6359894.30000000,6359894.30000000
2023-03-07,3.11500000,3.15500000,2.80500000,2.92800000,3.11500000,3.15500000,2.80500000,2.92800000,6980248.90000000,6980248.90000000
2023-03-06,3.10900000,3.29900000,3.04600000,3.11500000,3.10900000,3.29900000,3.04600000,3.11500000,7603548.60000000,7603548.60000000
2023-03-05,2.87500000,3.37000000,2.86100000,3.11100000,2.87500000,3.37000000,2.86100000,3.11100000,9730836.80000000,9730836.80000000
2023-03-04,2.87600000,3.04400000,2.76300000,2.87500000,2.87600000,3.04400000,2.76300000,2.87500000,7298483.00000000,7298483.00000000
2023-03-03,2.89400000,2.92000000,2.55700000,2.87600000,2.89400000,2.92000000,2.55700000,2.87600000,8921928.80000000,8921928.80000000
2023-03-02,3.03400000,3.05000000,2.77800000,2.89500000,3.03400000,3.05000000,2.77800000,2.89500000,5591108.00000000,5591108.00000000
2023-03-01,2.78300000,3.06000000,2.75800000,3.03300000,2.78300000,3.06000000,2.75800000,3.03300000,7550186.00000000,7550186.00000000
2023-02-28,2.82300000,2.97200000,2.76700000,2.78400000,2.82300000,2.97200000,2.76700000,2.78400000,8844765.80000000,8844765.80000000
2023-02-27,2.67200000,2.83600000,2.58600000,2.82400000,2.67200000,2.83600000,2.58600000,2.82400000,6604967.70000000,6604967.70000000
2023-02-26,2.47000000,2.68900000,2.42600000,2.67300000,2.47000000,2.68900000,2.42600000,2.67300000,3296632.40000000,3296632.40000000
2023-02-25,2.64400000,2.70100000,2.39800000,2.47000000,2.64400000,2.70100000,2.39800000,2.47000000,4805499.20000000,4805499.20000000
2023-02-24,2.61800000,2.80000000,2.46500000,2.64400000,2.61800000,2.80000000,2.46500000,2.64400000,9526301.90000000,9526301.90000000
2023-02-23,2.50400000,2.81000000,2.44200000,2.61700000,2.50400000,2.81000000,2.44200000,2.61700000,7470111.50000000,7470111.50000000
2023-02-22,2.61200000,2.63300000,2.38600000,2.50500000,2.61200000,2.63300000,2.38600000,2.50500000,3792045.00000000,3792045.00000000
2023-02-21,2.76200000,2.81700000,2.54100000,2.61100000,2.76200000,2.81700000,2.54100000,2.61100000,4448614.00000000,4448614.00000000
2023-02-20,2.61300000,2.83700000,2.52100000,2.76100000,2.61300000,2.83700000,2.52100000,2.76100000,6526365.80000000,6526365.80000000
2023-02-19,2.59900000,2.78000000,2.55200000,2.61400000,2.59900000,2.78000000,2.55200000,2.61400000,4432637.10000000,4432637.10000000
2023-02-18,2.62100000,2.65300000,2.53900000,2.60000000,2.62100000,2.65300000,2.53900000,2.60000000,2427941.50000000,2427941.50000000
2023-02-17,2.43800000,2.66900000,2.42100000,2.62300000,2.43800000,2.66900000,2.42100000,2.62300000,4386643.80000000,4386643.80000000
2023-02-16,2.73600000,2.76300000,2.39900000,2.43800000,2.73600000,2.76300000,2.39900000,2.43800000,5497877.60000000,5497877.60000000
2023-02-15,2.48700000,2.74900000,2.42700000,2.73800000,2.48700000,2.74900000,2.42700000,2.73800000,4740077.70000000,4740077.70000000
2023-02-14,2.40100000,2.50400000,2.30500000,2.48700000,2.40100000,2.50400000,2.30500000,2.48700000,3383271.70000000,3383271.70000000
2023-02-13,2.35300000,2.48000000,2.21900000,2.40100000,2.35300000,2.48000000,2.21900000,2.40100000,4237300.30000000,4237300.30000000
2023-02-12,2.44500000,2.51000000,2.30500000,2.35200000,2.44500000,2.51000000,2.30500000,2.35200000,3083999.80000000,3083999.80000000
2023-02-11,2.39500000,2.45600000,2.36200000,2.44500000,2.39500000,2.45600000,2.36200000,2.44500000,1344976.00000000,1344976.00000000
2023-02-10,2.37700000,2.49700000,2.32300000,2.39500000,2.37700000,2.49700000,2.32300000,2.39500000,4134571.10000000,4134571.10000000
2023-02-09,2.68900000,2.71800000,2.28200000,2.37600000,2.68900000,2.71800000,2.28200000,2.37600000,4008257.30000000,4008257.30000000
2023-02-08,2.92000000,3.10000000,2.57000000,2.68900000,2.92000000,3.10000000,2.57000000,2.68900000,6094034.90000000,6094034.90000000
2023-02-07,2.78500000,2.95700000,2.75700000,2.91900000,2.78500000,2.95700000,2.75700000,2.91900000,7907579.20000000,7907579.20000000
