timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.20900000,0.21000000,0.20350000,0.20530000,0.20900000,0.21000000,0.20350000,0.20530000,169495.40000000,169495.40000000
2023-05-07,0.20810000,0.21280000,0.20690000,0.20920000,0.20810000,0.21280000,0.20690000,0.20920000,1181373.70000000,1181373.70000000
2023-05-06,0.21380000,0.21380000,0.20590000,0.20820000,0.21380000,0.21380000,0.20590000,0.20820000,2080803.10000000,2080803.10000000
2023-05-05,0.20940000,0.21610000,0.20610000,0.21390000,0.20940000,0.21610000,0.20610000,0.21390000,2024619.70000000,2024619.70000000
2023-05-04,0.20780000,0.21170000,0.20520000,0.20940000,0.20780000,0.21170000,0.20520000,0.20940000,1448622.40000000,1448622.40000000
2023-05-03,0.20980000,0.20980000,0.20110000,0.20770000,0.20980000,0.20980000,0.20110000,0.20770000,1302453.50000000,1302453.50000000
2023-05-02,0.20740000,0.21310000,0.20550000,0.20980000,0.20740000,0.21310000,0.20550000,0.20980000,1394601.50000000,1394601.50000000
2023-05-01,0.21380000,0.21760000,0.20580000,0.20750000,0.21380000,0.21760000,0.20580000,0.20750000,1363945.00000000,1363945.00000000
2023-04-30,0.21540000,0.22230000,0.21230000,0.21390000,0.21540000,0.22230000,0.21230000,0.21390000,2099087.60000000,2099087.60000000
2023-04-29,0.21430000,0.21630000,0.21260000,0.21550000,0.21430000,0.21630000,0.21260000,0.21550000,775605.40000000,775605.40000000
2023-04-28,0.21340000,0.21470000,0.20910000,0.21430000,0.21340000,0.21470000,0.20910000,0.21430000,1192767.50000000,1192767.50000000
2023-04-27,0.21200000,0.21480000,0.20660000,0.21360000,0.21200000,0.21480000,0.20660000,0.21360000,2073097.10000000,2073097.10000000
2023-04-26,0.21600000,0.22100000,0.20660000,0.21190000,0.21600000,0.22100000,0.20660000,0.21190000,2405061.50000000,2405061.50000000
2023-04-25,0.21410000,0.21640000,0.20580000,0.21610000,0.21410000,0.21640000,0.20580000,0.21610000,1444203.80000000,1444203.80000000
2023-04-24,0.21940000,0.21980000,0.21020000,0.21410000,0.21940000,0.21980000,0.21020000,0.21410000,1795286.40000000,1795286.40000000
2023-04-23,0.22220000,0.24040000,0.21400000,0.21950000,0.22220000,0.24040000,0.21400000,0.21950000,3983482.70000000,3983482.70000000
2023-04-22,0.21690000,0.23760000,0.21500000,0.22210000,0.21690000,0.23760000,0.21500000,0.22210000,5381446.50000000,5381446.50000000
2023-04-21,0.22420000,0.22420000,0.21270000,0.21670000,0.22420000,0.22420000,0.21270000,0.21670000,1729520.20000000,1729520.20000000
2023-04-20,0.22740000,0.23020000,0.21840000,0.22450000,0.22740000,0.23020000,0.21840000,0.22450000,2249896.00000000,2249896.00000000
2023-04-19,0.25050000,0.25450000,0.22210000,0.22740000,0.25050000,0.25450000,0.22210000,0.22740000,3904918.10000000,3904918.10000000
2023-04-18,0.24710000,0.26810000,0.24180000,0.25070000,0.24710000,0.26810000,0.24180000,0.25070000,12733003.70000000,12733003.70000000
2023-04-17,0.23600000,0.28000000,0.23230000,0.24710000,0.23600000,0.28000000,0.23230000,0.24710000,39941167.20000000,39941167.20000000
2023-04-16,0.22380000,0.24320000,0.22250000,0.23610000,0.22380000,0.24320000,0.22250000,0.23610000,10133926.10000000,10133926.10000000
2023-04-15,0.22630000,0.22640000,0.22180000,0.22380000,0.22630000,0.22640000,0.22180000,0.22380000,1276589.10000000,1276589.10000000
2023-04-14,0.22030000,0.22790000,0.21910000,0.22640000,0.22030000,0.22790000,0.21910000,0.22640000,8794203.00000000,8794203.00000000
2023-04-13,0.21590000,0.22100000,0.21290000,0.22010000,0.21590000,0.22100000,0.21290000,0.22010000,2762452.70000000,2762452.70000000
2023-04-12,0.22330000,0.22360000,0.20950000,0.21590000,0.22330000,0.22360000,0.20950000,0.21590000,8527119.90000000,8527119.90000000
2023-04-11,0.22490000,0.22850000,0.22160000,0.22330000,0.22490000,0.22850000,0.22160000,0.22330000,11206671.60000000,11206671.60000000
2023-04-10,0.22060000,0.22800000,0.21150000,0.22500000,0.22060000,0.22800000,0.21150000,0.22500000,7598797.50000000,7598797.50000000
2023-04-09,0.22100000,0.22240000,0.21570000,0.22050000,0.22100000,0.22240000,0.21570000,0.22050000,5252070.00000000,5252070.00000000
2023-04-08,0.23400000,0.23400000,0.21890000,0.22100000,0.23400000,0.23400000,0.21890000,0.22100000,13262204.00000000,13262204.00000000
2023-04-07,0.25530000,0.26000000,0.23270000,0.23460000,0.25530000,0.26000000,0.23270000,0.23460000,35615258.30000000,35615258.30000000
