timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.94500000,0.95200000,0.94100000,0.95100000,0.94500000,0.95200000,0.94100000,0.95100000,95372.40000000,95372.40000000
2023-05-07,0.96100000,0.96600000,0.94300000,0.94500000,0.96100000,0.96600000,0.94300000,0.94500000,1346579.00000000,1346579.00000000
2023-05-06,1.00100000,1.00500000,0.94000000,0.96100000,1.00100000,1.00500000,0.94000000,0.96100000,2499252.30000000,2499252.30000000
2023-05-05,0.99000000,1.01000000,0.96000000,1.00200000,0.99000000,1.01000000,0.96000000,1.00200000,2762878.60000000,2762878.60000000
2023-05-04,1.00400000,1.01600000,0.98700000,0.99100000,1.00400000,1.01600000,0.98700000,0.99100000,2330908.10000000,2330908.10000000
2023-05-03,0.98400000,1.00900000,0.95600000,1.00500000,0.98400000,1.00900000,0.95600000,1.00500000,2747876.60000000,2747876.60000000
2023-05-02,0.98700000,0.99200000,0.97300000,0.98400000,0.98700000,0.99200000,0.97300000,0.98400000,1554527.30000000,1554527.30000000
2023-05-01,0.98800000,0.99300000,0.96000000,0.98800000,0.98800000,0.99300000,0.96000000,0.98800000,2811567.40000000,2811567.40000000
2023-04-30,1.02200000,1.02600000,0.98600000,0.98800000,1.02200000,1.02600000,0.98600000,0.98800000,2284125.80000000,2284125.80000000
2023-04-29,1.00600000,1.03300000,1.00000000,1.02200000,1.00600000,1.03300000,1.00000000,1.02200000,2149218.90000000,2149218.90000000
2023-04-28,1.01000000,1.01200000,0.98200000,1.00500000,1.01000000,1.01200000,0.98200000,1.00500000,2211478.60000000,2211478.60000000
2023-04-27,0.99700000,1.03300000,0.99300000,1.01000000,0.99700000,1.03300000,0.99300000,1.01000000,4359097.70000000,4359097.70000000
2023-04-26,1.02900000,1.06400000,0.95100000,0.99700000,1.02900000,1.06400000,0.95100000,0.99700000,5751814.20000000,5751814.20000000
2023-04-25,1.00100000,1.03300000,0.97200000,1.02900000,1.00100000,1.03300000,0.97200000,1.02900000,3167215.90000000,3167215.90000000
2023-04-24,1.01900000,1.03700000,0.98000000,1.00100000,1.01900000,1.03700000,0.98000000,1.00100000,2515872.10000000,2515872.10000000
2023-04-23,1.04200000,1.04200000,0.99200000,1.01900000,1.04200000,1.04200000,0.99200000,1.01900000,2317664.40000000,2317664.40000000
2023-04-22,0.99200000,1.04300000,0.98600000,1.04200000,0.99200000,1.04300000,0.98600000,1.04200000,2485812.40000000,2485812.40000000
2023-04-21,1.03400000,1.04400000,0.96900000,0.99200000,1.03400000,1.04400000,0.96900000,0.99200000,4718678.90000000,4718678.90000000
2023-04-20,1.09600000,1.10800000,1.02100000,1.03300000,1.09600000,1.10800000,1.02100000,1.03300000,5859768.60000000,5859768.60000000
2023-04-19,1.22200000,1.22500000,1.07700000,1.09700000,1.22200000,1.22500000,1.07700000,1.09700000,9825350.00000000,9825350.00000000
2023-04-18,1.11600000,1.24300000,1.10500000,1.22200000,1.11600000,1.24300000,1.10500000,1.22200000,12445605.00000000,12445605.00000000
2023-04-17,1.13300000,1.13500000,1.08800000,1.11600000,1.13300000,1.13500000,1.08800000,1.11600000,3623139.90000000,3623139.90000000
2023-04-16,1.12900000,1.15600000,1.05000000,1.13200000,1.12900000,1.15600000,1.05000000,1.13200000,3848384.40000000,3848384.40000000
2023-04-15,1.12500000,1.14000000,1.10500000,1.12800000,1.12500000,1.14000000,1.10500000,1.12800000,3457349.20000000,3457349.20000000
2023-04-14,1.08400000,1.13200000,1.07900000,1.12400000,1.08400000,1.13200000,1.07900000,1.12400000,5222423.10000000,5222423.10000000
2023-04-13,1.04900000,1.08400000,1.03600000,1.08300000,1.04900000,1.08400000,1.03600000,1.08300000,3258420.10000000,3258420.10000000
2023-04-12,1.06500000,1.06800000,1.01900000,1.04900000,1.06500000,1.06800000,1.01900000,1.04900000,3477417.80000000,3477417.80000000
2023-04-11,1.08600000,1.09000000,1.05900000,1.06600000,1.08600000,1.09000000,1.05900000,1.06600000,3302769.00000000,3302769.00000000
2023-04-10,1.05000000,1.08600000,1.03100000,1.08600000,1.05000000,1.08600000,1.03100000,1.08600000,3411390.60000000,3411390.60000000
2023-04-09,1.05800000,1.06800000,1.03300000,1.05100000,1.05800000,1.06800000,1.03300000,1.05100000,4378005.50000000,4378005.50000000
2023-04-08,1.05900000,1.06800000,1.04600000,1.05900000,1.05900000,1.06800000,1.04600000,1.05900000,2364841.80000000,2364841.80000000
2023-04-07,1.07900000,1.08900000,1.04600000,1.05900000,1.07900000,1.08900000,1.04600000,1.05900000,2959459.30000000,2959459.30000000
2023-04-06,1.09300000,1.09500000,1.06800000,1.08000000,1.09300000,1.09500000,1.06800000,1.08000000,3275621.90000000,3275621.90000000
2023-04-05,1.09300000,1.13200000,1.07700000,1.09200000,1.09300000,1.13200000,1.07700000,1.09200000,4656852.30000000,4656852.30000000
2023-04-04,1.05300000,1.13000000,1.04800000,1.09400000,1.05300000,1.13000000,1.04800000,1.09400000,8226854.60000000,8226854.60000000
2023-04-03,1.04400000,1.07800000,1.01500000,1.05300000,1.04400000,1.07800000,1.01500000,1.05300000,7061319.00000000,7061319.00000000
2023-04-02,1.08100000,1.09000000,1.02400000,1.04300000,1.08100000,1.09000000,1.02400000,1.04300000,3806154.40000000,3806154.40000000
2023-04-01,1.04300000,1.08700000,1.03700000,1.08100000,1.04300000,1.08700000,1.03700000,1.08100000,4833070.90000000,4833070.90000000
2023-03-31,1.02100000,1.04400000,0.99200000,1.04200000,1.02100000,1.04400000,0.99200000,1.04200000,3204982.90000000,3204982.90000000
2023-03-30,1.04700000,1.05400000,0.99900000,1.02000000,1.04700000,1.05400000,0.99900000,1.02000000,5010347.10000000,5010347.10000000
2023-03-29,0.97600000,1.05400000,0.97300000,1.04700000,0.97600000,1.05400000,0.97300000,1.04700000,5571748.60000000,5571748.60000000
2023-03-28,0.97100000,0.98200000,0.95500000,0.97500000,0.97100000,0.98200000,0.95500000,0.97500000,4521194.80000000,4521194.80000000
2023-03-27,1.02000000,1.02400000,0.93900000,0.97000000,1.02000000,1.02400000,0.93900000,0.97000000,4157765.90000000,4157765.90000000
2023-03-26,1.00300000,1.03000000,0.99500000,1.01900000,1.00300000,1.03000000,0.99500000,1.01900000,1898036.20000000,1898036.20000000
2023-03-25,1.01000000,1.01900000,0.98400000,1.00300000,1.01000000,1.01900000,0.98400000,1.00300000,2566652.90000000,2566652.90000000
2023-03-24,1.04900000,1.05600000,0.99200000,1.00900000,1.04900000,1.05600000,0.99200000,1.00900000,3698322.00000000,3698322.00000000
2023-03-23,0.99800000,1.05200000,0.98800000,1.04900000,0.99800000,1.05200000,0.98800000,1.04900000,3818830.10000000,3818830.10000000
2023-03-22,1.04700000,1.05100000,0.96200000,0.99700000,1.04700000,1.05100000,0.96200000,0.99700000,7017814.90000000,7017814.90000000
2023-03-21,1.01100000,1.05700000,0.98200000,1.04700000,1.01100000,1.05700000,0.98200000,1.04700000,4328861.30000000,4328861.30000000
2023-03-20,1.06800000,1.07800000,1.00200000,1.01100000,1.06800000,1.07800000,1.00200000,1.01100000,5122255.20000000,5122255.20000000
2023-03-19,1.03800000,1.09000000,1.03600000,1.06800000,1.03800000,1.09000000,1.03600000,1.06800000,4510371.90000000,4510371.90000000
2023-03-18,1.08700000,1.09800000,1.02700000,1.03800000,1.08700000,1.09800000,1.02700000,1.03800000,4524187.70000000,4524187.70000000
2023-03-17,1.01800000,1.08900000,1.00300000,1.08700000,1.01800000,1.08900000,1.00300000,1.08700000,5289371.20000000,5289371.20000000
2023-03-16,1.01000000,1.03300000,0.99400000,1.01800000,1.01000000,1.03300000,0.99400000,1.01800000,4532203.60000000,4532203.60000000
2023-03-15,1.06800000,1.10200000,0.97500000,1.01000000,1.06800000,1.10200000,0.97500000,1.01000000,6742123.50000000,6742123.50000000
2023-03-14,1.02100000,1.10200000,1.01000000,1.06800000,1.02100000,1.10200000,1.01000000,1.06800000,8275411.80000000,8275411.80000000
2023-03-13,0.97700000,1.02500000,0.95400000,1.02000000,0.97700000,1.02500000,0.95400000,1.02000000,7595102.00000000,7595102.00000000
2023-03-12,0.90300000,0.98300000,0.89200000,0.97600000,0.90300000,0.98300000,0.89200000,0.97600000,4155577.20000000,4155577.20000000
2023-03-11,0.90900000,0.93100000,0.85800000,0.90200000,0.90900000,0.93100000,0.85800000,0.90200000,3960268.40000000,3960268.40000000
2023-03-10,0.88400000,0.91700000,0.85000000,0.90900000,0.88400000,0.91700000,0.85000000,0.90900000,5702171.90000000,5702171.90000000
2023-03-09,0.95500000,0.98800000,0.86700000,0.88300000,0.95500000,0.98800000,0.86700000,0.88300000,5842194.80000000,5842194.80000000
2023-03-08,1.00300000,1.01200000,0.94100000,0.95500000,1.00300000,1.01200000,0.94100000,0.95500000,3626887.50000000,3626887.50000000
2023-03-07,1.01700000,1.03200000,0.97300000,1.00300000,1.01700000,1.03200000,0.97300000,1.00300000,3319255.40000000,3319255.40000000
2023-03-06,0.99300000,1.02100000,0.96400000,1.01600000,0.99300000,1.02100000,0.96400000,1.01600000,3632372.00000000,3632372.00000000
2023-03-05,1.02100000,1.04000000,0.99000000,0.99400000,1.02100000,1.04000000,0.99000000,0.99400000,2601956.70000000,2601956.70000000
2023-03-04,1.05600000,1.06500000,0.99500000,1.02100000,1.05600000,1.06500000,0.99500000,1.02100000,3418458.60000000,3418458.60000000
2023-03-03,1.17000000,1.17100000,1.04000000,1.05600000,1.17000000,1.17100000,1.04000000,1.05600000,7228603.20000000,7228603.20000000
2023-03-02,1.19400000,1.20100000,1.13300000,1.16900000,1.19400000,1.20100000,1.13300000,1.16900000,4023821.80000000,4023821.80000000
2023-03-01,1.12700000,1.20100000,1.12100000,1.19400000,1.12700000,1.20100000,1.12100000,1.19400000,4168293.60000000,4168293.60000000
2023-02-28,1.18100000,1.18300000,1.12000000,1.12700000,1.18100000,1.18300000,1.12000000,1.12700000,3476000.60000000,3476000.60000000
2023-02-27,1.22900000,1.23300000,1.15600000,1.18100000,1.22900000,1.23300000,1.15600000,1.18100000,4472577.00000000,4472577.00000000
2023-02-26,1.21000000,1.23600000,1.18200000,1.22900000,1.21000000,1.23600000,1.18200000,1.22900000,5084420.80000000,5084420.80000000
2023-02-25,1.17700000,1.24500000,1.14100000,1.20900000,1.17700000,1.24500000,1.14100000,1.20900000,8081741.20000000,8081741.20000000
2023-02-24,1.19400000,1.26800000,1.15800000,1.17800000,1.19400000,1.26800000,1.15800000,1.17800000,9353347.70000000,9353347.70000000
2023-02-23,1.19000000,1.22700000,1.16800000,1.19500000,1.19000000,1.22700000,1.16800000,1.19500000,5046099.20000000,5046099.20000000
2023-02-22,1.24300000,1.25200000,1.13300000,1.19000000,1.24300000,1.25200000,1.13300000,1.19000000,6985864.70000000,6985864.70000000
