timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.06919000,0.06940000,0.06901000,0.06919000,0.06919000,0.06940000,0.06901000,0.06919000,10386033.90000000,10386033.90000000
2023-05-07,0.07024000,0.07048000,0.06905000,0.06920000,0.07024000,0.07048000,0.06905000,0.06920000,226068366.80000001,226068366.80000001
2023-05-06,0.07091000,0.07109000,0.06960000,0.07025000,0.07091000,0.07109000,0.06960000,0.07025000,254637459.30000001,254637459.30000001
2023-05-05,0.06940000,0.07137000,0.06938000,0.07092000,0.06940000,0.07137000,0.06938000,0.07092000,335666025.60000002,335666025.60000002
2023-05-04,0.06927000,0.06967000,0.06893000,0.06940000,0.06927000,0.06967000,0.06893000,0.06940000,268720604.00000000,268720604.00000000
2023-05-03,0.06923000,0.06958000,0.06814000,0.06927000,0.06923000,0.06958000,0.06814000,0.06927000,424214521.19999999,424214521.19999999
2023-05-02,0.06851000,0.06992000,0.06717000,0.06922000,0.06851000,0.06992000,0.06717000,0.06922000,373485527.10000002,373485527.10000002
2023-05-01,0.06714000,0.06935000,0.06676000,0.06851000,0.06714000,0.06935000,0.06676000,0.06851000,479686749.50000000,479686749.50000000
2023-04-30,0.06800000,0.06811000,0.06692000,0.06713000,0.06800000,0.06811000,0.06692000,0.06713000,274678310.50000000,274678310.50000000
2023-04-29,0.06667000,0.06823000,0.06663000,0.06800000,0.06667000,0.06823000,0.06663000,0.06800000,254415874.69999999,254415874.69999999
2023-04-28,0.06576000,0.06668000,0.06560000,0.06667000,0.06576000,0.06668000,0.06560000,0.06667000,228818642.09999999,228818642.09999999
2023-04-27,0.06508000,0.06608000,0.06500000,0.06576000,0.06508000,0.06608000,0.06500000,0.06576000,263154774.40000001,263154774.40000001
2023-04-26,0.06584000,0.06714000,0.06388000,0.06507000,0.06584000,0.06714000,0.06388000,0.06507000,441224356.00000000,441224356.00000000
2023-04-25,0.06610000,0.06621000,0.06523000,0.06584000,0.06610000,0.06621000,0.06523000,0.06584000,257591736.30000001,257591736.30000001
2023-04-24,0.06671000,0.06699000,0.06583000,0.06610000,0.06671000,0.06699000,0.06583000,0.06610000,284143889.60000002,284143889.60000002
2023-04-23,0.06610000,0.06699000,0.06467000,0.06671000,0.06610000,0.06699000,0.06467000,0.06671000,277152999.60000002,277152999.60000002
2023-04-22,0.06497000,0.06623000,0.06484000,0.06610000,0.06497000,0.06623000,0.06484000,0.06610000,285759015.30000001,285759015.30000001
2023-04-21,0.06541000,0.06602000,0.06430000,0.06497000,0.06541000,0.06602000,0.06430000,0.06497000,333594081.89999998,333594081.89999998
2023-04-20,0.06563000,0.06666000,0.06462000,0.06542000,0.06563000,0.06666000,0.06462000,0.06542000,434503927.00000000,434503927.00000000
2023-04-19,0.06681000,0.06716000,0.06492000,0.06563000,0.06681000,0.06716000,0.06492000,0.06563000,435332863.80000001,435332863.80000001
2023-04-18,0.06574000,0.06682000,0.06550000,0.06681000,0.06574000,0.06682000,0.06550000,0.06681000,238435947.19999999,238435947.19999999
2023-04-17,0.06655000,0.06665000,0.06535000,0.06574000,0.06655000,0.06665000,0.06535000,0.06574000,278391807.10000002,278391807.10000002
2023-04-16,0.06588000,0.06669000,0.06561000,0.06655000,0.06588000,0.06669000,0.06561000,0.06655000,167394724.19999999,167394724.19999999
2023-04-15,0.06619000,0.06625000,0.06552000,0.06588000,0.06619000,0.06625000,0.06552000,0.06588000,202150727.50000000,202150727.50000000
2023-04-14,0.06523000,0.06700000,0.06514000,0.06619000,0.06523000,0.06700000,0.06514000,0.06619000,386486395.69999999,386486395.69999999
2023-04-13,0.06514000,0.06550000,0.06443000,0.06523000,0.06514000,0.06550000,0.06443000,0.06523000,397134981.19999999,397134981.19999999
2023-04-12,0.06632000,0.06645000,0.06211000,0.06514000,0.06632000,0.06645000,0.06211000,0.06514000,727566962.29999995,727566962.29999995
2023-04-11,0.06731000,0.06780000,0.06533000,0.06632000,0.06731000,0.06780000,0.06533000,0.06632000,598983632.20000005,598983632.20000005
2023-04-10,0.06661000,0.06746000,0.06617000,0.06730000,0.06661000,0.06746000,0.06617000,0.06730000,302672189.69999999,302672189.69999999
2023-04-09,0.06613000,0.06688000,0.06590000,0.06662000,0.06613000,0.06688000,0.06590000,0.06662000,206872397.59999999,206872397.59999999
2023-04-08,0.06604000,0.06655000,0.06570000,0.06613000,0.06604000,0.06655000,0.06570000,0.06613000,210729846.00000000,210729846.00000000
2023-04-07,0.06608000,0.06651000,0.06556000,0.06603000,0.06608000,0.06651000,0.06556000,0.06603000,241329669.69999999,241329669.69999999
2023-04-06,0.06617000,0.06671000,0.06549000,0.06608000,0.06617000,0.06671000,0.06549000,0.06608000,368383747.30000001,368383747.30000001
2023-04-05,0.06573000,0.06672000,0.06534000,0.06616000,0.06573000,0.06672000,0.06534000,0.06616000,314630236.19999999,314630236.19999999
2023-04-04,0.06575000,0.06683000,0.06548000,0.06573000,0.06575000,0.06683000,0.06548000,0.06573000,406274512.60000002,406274512.60000002
2023-04-03,0.06518000,0.06624000,0.06428000,0.06574000,0.06518000,0.06624000,0.06428000,0.06574000,366405511.10000002,366405511.10000002
2023-04-02,0.06647000,0.06695000,0.06485000,0.06518000,0.06647000,0.06695000,0.06485000,0.06518000,294849756.69999999,294849756.69999999
2023-04-01,0.06553000,0.06720000,0.06535000,0.06648000,0.06553000,0.06720000,0.06535000,0.06648000,388654889.60000002,388654889.60000002
2023-03-31,0.06482000,0.06617000,0.06433000,0.06553000,0.06482000,0.06617000,0.06433000,0.06553000,373949586.69999999,373949586.69999999
2023-03-30,0.06433000,0.06546000,0.06361000,0.06481000,0.06433000,0.06546000,0.06361000,0.06481000,459993783.80000001,459993783.80000001
2023-03-29,0.06419000,0.06547000,0.06392000,0.06433000,0.06419000,0.06547000,0.06392000,0.06433000,431694513.39999998,431694513.39999998
2023-03-28,0.06355000,0.06450000,0.06299000,0.06418000,0.06355000,0.06450000,0.06299000,0.06418000,391472532.50000000,391472532.50000000
2023-03-27,0.06413000,0.06440000,0.06186000,0.06355000,0.06413000,0.06440000,0.06186000,0.06355000,398421130.69999999,398421130.69999999
2023-03-26,0.06369000,0.06498000,0.06333000,0.06412000,0.06369000,0.06498000,0.06333000,0.06412000,311099791.39999998,311099791.39999998
2023-03-25,0.06341000,0.06435000,0.06264000,0.06368000,0.06341000,0.06435000,0.06264000,0.06368000,346286886.30000001,346286886.30000001
2023-03-24,0.06521000,0.06553000,0.06269000,0.06341000,0.06521000,0.06553000,0.06269000,0.06341000,516801369.80000001,516801369.80000001
2023-03-23,0.05979000,0.06663000,0.05939000,0.06520000,0.05979000,0.06663000,0.05939000,0.06520000,1203808548.00000000,1203808548.00000000
2023-03-22,0.06700000,0.06836000,0.05680000,0.05978000,0.06700000,0.06836000,0.05680000,0.05978000,1512271598.90000010,1512271598.90000010
2023-03-21,0.06503000,0.06738000,0.06487000,0.06700000,0.06503000,0.06738000,0.06487000,0.06700000,453319260.10000002,453319260.10000002
2023-03-20,0.06651000,0.06694000,0.06478000,0.06503000,0.06651000,0.06694000,0.06478000,0.06503000,418071361.50000000,418071361.50000000
2023-03-19,0.06578000,0.06751000,0.06560000,0.06650000,0.06578000,0.06751000,0.06560000,0.06650000,362377827.50000000,362377827.50000000
2023-03-18,0.06762000,0.06809000,0.06515000,0.06579000,0.06762000,0.06809000,0.06515000,0.06579000,471580884.19999999,471580884.19999999
2023-03-17,0.06512000,0.06786000,0.06474000,0.06763000,0.06512000,0.06786000,0.06474000,0.06763000,521037844.50000000,521037844.50000000
