timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.99860000,0.99880000,0.99840000,0.99880000,0.99860000,0.99880000,0.99840000,0.99880000,5835795.00000000,5835795.00000000
2023-05-07,0.99840000,0.99890000,0.99820000,0.99870000,0.99840000,0.99890000,0.99820000,0.99870000,87196815.00000000,87196815.00000000
2023-05-06,0.99910000,0.99910000,0.99810000,0.99840000,0.99910000,0.99910000,0.99810000,0.99840000,158060733.00000000,158060733.00000000
2023-05-05,0.99910000,0.99930000,0.99880000,0.99900000,0.99910000,0.99930000,0.99880000,0.99900000,129784711.00000000,129784711.00000000
2023-05-04,0.99940000,0.99950000,0.99890000,0.99910000,0.99940000,0.99950000,0.99890000,0.99910000,120673508.00000000,120673508.00000000
2023-05-03,0.99880000,1.00000000,0.99860000,0.99940000,0.99880000,1.00000000,0.99860000,0.99940000,370530361.00000000,370530361.00000000
2023-05-02,1.00290000,1.00340000,0.99860000,0.99880000,1.00290000,1.00340000,0.99860000,0.99880000,433173269.00000000,433173269.00000000
2023-05-01,1.00830000,1.20820000,1.00180000,1.00280000,1.00830000,1.20820000,1.00180000,1.00280000,632891665.00000000,632891665.00000000
2023-04-30,0.99930000,1.01160000,0.99900000,1.00830000,0.99930000,1.01160000,0.99900000,1.00830000,314648864.00000000,314648864.00000000
2023-04-29,0.99920000,0.99940000,0.99890000,0.99920000,0.99920000,0.99940000,0.99890000,0.99920000,34023672.00000000,34023672.00000000
2023-04-28,0.99850000,0.99920000,0.99820000,0.99920000,0.99850000,0.99920000,0.99820000,0.99920000,131403714.00000000,131403714.00000000
2023-04-27,0.99900000,0.99920000,0.99830000,0.99860000,0.99900000,0.99920000,0.99830000,0.99860000,202183256.00000000,202183256.00000000
2023-04-26,0.99930000,0.99940000,0.99840000,0.99900000,0.99930000,0.99940000,0.99840000,0.99900000,241608219.00000000,241608219.00000000
2023-04-25,0.99930000,0.99950000,0.99910000,0.99940000,0.99930000,0.99950000,0.99910000,0.99940000,132824071.00000000,132824071.00000000
2023-04-24,0.99960000,0.99970000,0.99930000,0.99930000,0.99960000,0.99970000,0.99930000,0.99930000,139494698.00000000,139494698.00000000
2023-04-23,0.99980000,0.99980000,0.99950000,0.99960000,0.99980000,0.99980000,0.99950000,0.99960000,101848093.00000000,101848093.00000000
2023-04-22,0.99980000,1.00000000,0.99970000,0.99970000,0.99980000,1.00000000,0.99970000,0.99970000,98563440.00000000,98563440.00000000
2023-04-21,0.99960000,0.99990000,0.99950000,0.99980000,0.99960000,0.99990000,0.99950000,0.99980000,146369519.00000000,146369519.00000000
2023-04-20,0.99930000,0.99980000,0.99930000,0.99970000,0.99930000,0.99980000,0.99930000,0.99970000,160548632.00000000,160548632.00000000
2023-04-19,0.99990000,0.99990000,0.99930000,0.99930000,0.99990000,0.99990000,0.99930000,0.99930000,140862617.00000000,140862617.00000000
2023-04-18,0.99940000,1.00000000,0.99930000,0.99990000,0.99940000,1.00000000,0.99930000,0.99990000,147775693.00000000,147775693.00000000
2023-04-17,0.99940000,0.99960000,0.99920000,0.99940000,0.99940000,0.99960000,0.99920000,0.99940000,109035868.00000000,109035868.00000000
2023-04-16,0.99900000,0.99950000,0.99900000,0.99930000,0.99900000,0.99950000,0.99900000,0.99930000,105660557.00000000,105660557.00000000
2023-04-15,0.99920000,0.99920000,0.99890000,0.99900000,0.99920000,0.99920000,0.99890000,0.99900000,100843637.00000000,100843637.00000000
2023-04-14,0.99900000,0.99940000,0.99870000,0.99910000,0.99900000,0.99940000,0.99870000,0.99910000,160367298.00000000,160367298.00000000
2023-04-13,0.99930000,0.99950000,0.99880000,0.99900000,0.99930000,0.99950000,0.99880000,0.99900000,132225243.00000000,132225243.00000000
2023-04-12,0.99940000,0.99950000,0.99910000,0.99930000,0.99940000,0.99950000,0.99910000,0.99930000,143721354.00000000,143721354.00000000
2023-04-11,0.99970000,0.99990000,0.99940000,0.99950000,0.99970000,0.99990000,0.99940000,0.99950000,138097279.00000000,138097279.00000000
2023-04-10,0.99990000,1.00400000,0.99960000,0.99970000,0.99990000,1.00400000,0.99960000,0.99970000,107660914.00000000,107660914.00000000
2023-04-09,0.99960000,1.00000000,0.99940000,0.99990000,0.99960000,1.00000000,0.99940000,0.99990000,69252148.00000000,69252148.00000000
2023-04-08,0.99960000,0.99970000,0.99950000,0.99960000,0.99960000,0.99970000,0.99950000,0.99960000,43225748.00000000,43225748.00000000
2023-04-07,0.99960000,0.99970000,0.99930000,0.99960000,0.99960000,0.99970000,0.99930000,0.99960000,81619102.00000000,81619102.00000000
2023-04-06,0.99980000,1.00000000,0.99940000,0.99950000,0.99980000,1.00000000,0.99940000,0.99950000,92148822.00000000,92148822.00000000
2023-04-05,0.99970000,1.00010000,0.99950000,0.99980000,0.99970000,1.00010000,0.99950000,0.99980000,119398828.00000000,119398828.00000000
2023-04-04,0.99960000,0.99990000,0.99950000,0.99970000,0.99960000,0.99990000,0.99950000,0.99970000,86459662.00000000,86459662.00000000
2023-04-03,0.99930000,0.99990000,0.99900000,0.99960000,0.99930000,0.99990000,0.99900000,0.99960000,124070464.00000000,124070464.00000000
2023-04-02,0.99980000,0.99990000,0.99920000,0.99940000,0.99980000,0.99990000,0.99920000,0.99940000,63015329.00000000,63015329.00000000
2023-04-01,0.99980000,1.00020000,0.99960000,0.99990000,0.99980000,1.00020000,0.99960000,0.99990000,75549934.00000000,75549934.00000000
2023-03-31,0.99990000,1.00110000,0.99970000,0.99990000,0.99990000,1.00110000,0.99970000,0.99990000,178979295.00000000,178979295.00000000
2023-03-30,0.99970000,1.00760000,0.99950000,0.99990000,0.99970000,1.00760000,0.99950000,0.99990000,196687764.00000000,196687764.00000000
2023-03-29,0.99970000,0.99980000,0.99940000,0.99970000,0.99970000,0.99980000,0.99940000,0.99970000,112577744.00000000,112577744.00000000
2023-03-28,0.99930000,0.99990000,0.99910000,0.99960000,0.99930000,0.99990000,0.99910000,0.99960000,107956189.00000000,107956189.00000000
2023-03-27,0.99890000,0.99940000,0.99860000,0.99930000,0.99890000,0.99940000,0.99860000,0.99930000,118703416.00000000,118703416.00000000
2023-03-26,0.99880000,0.99940000,0.99850000,0.99890000,0.99880000,0.99940000,0.99850000,0.99890000,72981068.00000000,72981068.00000000
2023-03-25,0.99870000,0.99950000,0.99820000,0.99880000,0.99870000,0.99950000,0.99820000,0.99880000,69169651.00000000,69169651.00000000
2023-03-24,0.99810000,0.99920000,0.99750000,0.99880000,0.99810000,0.99920000,0.99750000,0.99880000,71319967.00000000,71319967.00000000
2023-03-23,0.99750000,0.99980000,0.99600000,0.99810000,0.99750000,0.99980000,0.99600000,0.99810000,91625195.00000000,91625195.00000000
2023-03-22,0.99810000,0.99990000,0.99650000,0.99760000,0.99810000,0.99990000,0.99650000,0.99760000,82935386.00000000,82935386.00000000
2023-03-21,0.99740000,0.99950000,0.99650000,0.99810000,0.99740000,0.99950000,0.99650000,0.99810000,10717600.00000000,10717600.00000000
2023-03-20,0.99700000,0.99850000,0.99630000,0.99740000,0.99700000,0.99850000,0.99630000,0.99740000,6654321.00000000,6654321.00000000
2023-03-19,0.99730000,0.99870000,0.99620000,0.99700000,0.99730000,0.99870000,0.99620000,0.99700000,2156454.00000000,2156454.00000000
2023-03-18,0.99840000,0.99890000,0.99620000,0.99730000,0.99840000,0.99890000,0.99620000,0.99730000,7530099.00000000,7530099.00000000
2023-03-17,0.99780000,0.99900000,0.99670000,0.99840000,0.99780000,0.99900000,0.99670000,0.99840000,5073616.00000000,5073616.00000000
2023-03-16,0.99620000,0.99910000,0.99610000,0.99780000,0.99620000,0.99910000,0.99610000,0.99780000,7207528.00000000,7207528.00000000
2023-03-15,0.99730000,0.99950000,0.99420000,0.99660000,0.99730000,0.99950000,0.99420000,0.99660000,7508069.00000000,7508069.00000000
2023-03-14,0.99550000,0.99790000,0.99050000,0.99740000,0.99550000,0.99790000,0.99050000,0.99740000,8151575.00000000,8151575.00000000
2023-03-13,0.99420000,0.99700000,0.98650000,0.99600000,0.99420000,0.99700000,0.98650000,0.99600000,18026623.00000000,18026623.00000000
2023-03-12,0.99280000,0.99850000,0.98280000,0.99400000,0.99280000,0.99850000,0.98280000,0.99400000,33254864.00000000,33254864.00000000
2023-03-11,1.00000000,1.19000000,0.96120000,0.99280000,1.00000000,1.19000000,0.96120000,0.99280000,5583026.00000000,5583026.00000000
2022-09-26,1.00000000,1.00000000,0.99990000,0.99990000,1.00000000,1.00000000,0.99990000,0.99990000,487126.00000000,487126.00000000
2022-09-25,1.00000000,1.00010000,0.99990000,1.00000000,1.00000000,1.00010000,0.99990000,1.00000000,3584544.00000000,3584544.00000000
2022-09-24,1.00000000,1.00010000,0.99990000,1.00000000,1.00000000,1.00010000,0.99990000,1.00000000,10123142.00000000,10123142.00000000
2022-09-23,1.00000000,1.00030000,1.00000000,1.00000000,1.00000000,1.00030000,1.00000000,1.00000000,15204879.00000000,15204879.00000000
2022-09-22,1.00000000,1.00020000,0.99990000,1.00000000,1.00000000,1.00020000,0.99990000,1.00000000,8007352.00000000,8007352.00000000
2022-09-21,1.00000000,1.00000000,0.99990000,1.00000000,1.00000000,1.00000000,0.99990000,1.00000000,6628235.00000000,6628235.00000000
2022-09-20,0.99980000,1.00000000,0.99980000,0.99990000,0.99980000,1.00000000,0.99980000,0.99990000,6529626.00000000,6529626.00000000
2022-09-19,1.00000000,1.00010000,0.99980000,0.99980000,1.00000000,1.00010000,0.99980000,0.99980000,9054380.00000000,9054380.00000000
