timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-05-13,0.36360000,0.38999800,0.24000200,0.24577900,0.36360000,0.38999800,0.24000200,0.24577900,120489341.00000000,120489341.00000000
2022-05-12,0.76040000,0.78900000,0.26659000,0.36350500,0.76040000,0.78900000,0.26659000,0.36350500,2579946214.00000000,2579946214.00000000
2022-05-11,0.79880000,0.85000000,0.22500000,0.76048900,0.79880000,0.85000000,0.22500000,0.76048900,3640697608.00000000,3640697608.00000000
2022-05-10,0.75430000,0.94990000,0.60650000,0.79870000,0.75430000,0.94990000,0.60650000,0.79870000,2629362244.00000000,2629362244.00000000
2022-05-09,0.99550000,0.99620000,0.75110000,0.75400000,0.99550000,0.99620000,0.75110000,0.75400000,1584297322.00000000,1584297322.00000000
2022-05-08,0.99390000,0.99910000,0.98780000,0.99540000,0.99390000,0.99910000,0.98780000,0.99540000,1103091679.00000000,1103091679.00000000
2022-05-07,0.99980000,0.99990000,0.98570000,0.99390000,0.99980000,0.99990000,0.98570000,0.99390000,611280823.00000000,611280823.00000000
2022-05-06,0.99980000,1.00000000,0.99950000,0.99980000,0.99980000,1.00000000,0.99950000,0.99980000,115986698.00000000,115986698.00000000
2022-05-05,1.00000000,1.00030000,0.99950000,0.99970000,1.00000000,1.00030000,0.99950000,0.99970000,172501544.00000000,172501544.00000000
2022-05-04,1.00010000,1.00010000,0.99960000,0.99990000,1.00010000,1.00010000,0.99960000,0.99990000,111990297.00000000,111990297.00000000
2022-05-03,1.00020000,1.00020000,0.99980000,1.00010000,1.00020000,1.00020000,0.99980000,1.00010000,92056770.00000000,92056770.00000000
2022-05-02,1.00000000,1.00030000,0.99990000,1.00020000,1.00000000,1.00030000,0.99990000,1.00020000,119852749.00000000,119852749.00000000
2022-05-01,0.99990000,1.00020000,0.99950000,0.99990000,0.99990000,1.00020000,0.99950000,0.99990000,132661771.00000000,132661771.00000000
2022-04-30,1.00010000,1.00030000,0.99950000,1.00000000,1.00010000,1.00030000,0.99950000,1.00000000,119469927.00000000,119469927.00000000
2022-04-29,0.99980000,1.00020000,0.99970000,1.00010000,0.99980000,1.00020000,0.99970000,1.00010000,108212885.00000000,108212885.00000000
2022-04-28,1.00030000,1.00030000,0.99970000,0.99990000,1.00030000,1.00030000,0.99970000,0.99990000,102558414.00000000,102558414.00000000
2022-04-27,1.00070000,1.00080000,1.00000000,1.00020000,1.00070000,1.00080000,1.00000000,1.00020000,187516241.00000000,187516241.00000000
2022-04-26,1.00080000,1.00100000,1.00030000,1.00060000,1.00080000,1.00100000,1.00030000,1.00060000,193924858.00000000,193924858.00000000
2022-04-25,1.00090000,1.00130000,1.00050000,1.00080000,1.00090000,1.00130000,1.00050000,1.00080000,170406981.00000000,170406981.00000000
