timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.22870000,0.23000000,0.22800000,0.22890000,0.22870000,0.23000000,0.22800000,0.22890000,42328.00000000,42328.00000000
2023-05-07,0.23450000,0.23650000,0.22880000,0.22890000,0.23450000,0.23650000,0.22880000,0.22890000,216878.00000000,216878.00000000
2023-05-06,0.24190000,0.24490000,0.22570000,0.23370000,0.24190000,0.24490000,0.22570000,0.23370000,331239.00000000,331239.00000000
2023-05-05,0.24020000,0.24350000,0.23680000,0.24240000,0.24020000,0.24350000,0.23680000,0.24240000,372251.00000000,372251.00000000
2023-05-04,0.24640000,0.24840000,0.23840000,0.23970000,0.24640000,0.24840000,0.23840000,0.23970000,317372.00000000,317372.00000000
2023-05-03,0.24220000,0.24660000,0.23750000,0.24610000,0.24220000,0.24660000,0.23750000,0.24610000,359865.00000000,359865.00000000
2023-05-02,0.23610000,0.24750000,0.23330000,0.24160000,0.23610000,0.24750000,0.23330000,0.24160000,711891.00000000,711891.00000000
2023-05-01,0.25210000,0.25410000,0.23450000,0.23630000,0.25210000,0.25410000,0.23450000,0.23630000,1119697.00000000,1119697.00000000
2023-04-30,0.25460000,0.25700000,0.25000000,0.25270000,0.25460000,0.25700000,0.25000000,0.25270000,299907.00000000,299907.00000000
2023-04-29,0.25370000,0.26000000,0.25000000,0.25460000,0.25370000,0.26000000,0.25000000,0.25460000,455500.00000000,455500.00000000
2023-04-28,0.26170000,0.26200000,0.25230000,0.25320000,0.26170000,0.26200000,0.25230000,0.25320000,361230.00000000,361230.00000000
2023-04-27,0.25480000,0.26430000,0.25390000,0.26160000,0.25480000,0.26430000,0.25390000,0.26160000,715675.00000000,715675.00000000
2023-04-26,0.26640000,0.27840000,0.24450000,0.25500000,0.26640000,0.27840000,0.24450000,0.25500000,2042356.00000000,2042356.00000000
2023-04-25,0.25010000,0.28390000,0.24720000,0.26630000,0.25010000,0.28390000,0.24720000,0.26630000,5426347.00000000,5426347.00000000
2023-04-24,0.25270000,0.26010000,0.24570000,0.25050000,0.25270000,0.26010000,0.24570000,0.25050000,623948.00000000,623948.00000000
2023-04-23,0.25730000,0.25830000,0.24900000,0.25320000,0.25730000,0.25830000,0.24900000,0.25320000,500430.00000000,500430.00000000
2023-04-22,0.25340000,0.25870000,0.24700000,0.25690000,0.25340000,0.25870000,0.24700000,0.25690000,837872.00000000,837872.00000000
2023-04-21,0.25840000,0.27000000,0.25200000,0.25240000,0.25840000,0.27000000,0.25200000,0.25240000,1283666.00000000,1283666.00000000
2023-04-20,0.26470000,0.27360000,0.25770000,0.25870000,0.26470000,0.27360000,0.25770000,0.25870000,1754920.00000000,1754920.00000000
2023-04-19,0.28740000,0.28860000,0.26180000,0.26500000,0.28740000,0.28860000,0.26180000,0.26500000,2646516.00000000,2646516.00000000
2023-04-18,0.27060000,0.33250000,0.26850000,0.28700000,0.27060000,0.33250000,0.26850000,0.28700000,22949263.00000000,22949263.00000000
2023-04-17,0.27850000,0.28030000,0.26900000,0.27100000,0.27850000,0.28030000,0.26900000,0.27100000,944845.00000000,944845.00000000
2023-04-16,0.27400000,0.28120000,0.27130000,0.27870000,0.27400000,0.28120000,0.27130000,0.27870000,1001072.00000000,1001072.00000000
2023-04-15,0.27560000,0.28140000,0.27060000,0.27360000,0.27560000,0.28140000,0.27060000,0.27360000,927902.00000000,927902.00000000
2023-04-14,0.27400000,0.28090000,0.27090000,0.27550000,0.27400000,0.28090000,0.27090000,0.27550000,1323276.00000000,1323276.00000000
2023-04-13,0.27730000,0.27930000,0.27000000,0.27410000,0.27730000,0.27930000,0.27000000,0.27410000,1555691.00000000,1555691.00000000
2023-04-12,0.26970000,0.30250000,0.26110000,0.27680000,0.26970000,0.30250000,0.26110000,0.27680000,6184561.00000000,6184561.00000000
2023-04-11,0.27430000,0.27670000,0.26790000,0.26980000,0.27430000,0.27670000,0.26790000,0.26980000,1002148.00000000,1002148.00000000
2023-04-10,0.26750000,0.27750000,0.26510000,0.27420000,0.26750000,0.27750000,0.26510000,0.27420000,800389.00000000,800389.00000000
2023-04-09,0.26870000,0.27290000,0.26120000,0.26750000,0.26870000,0.27290000,0.26120000,0.26750000,1171960.00000000,1171960.00000000
2023-04-08,0.26920000,0.27380000,0.26530000,0.26890000,0.26920000,0.27380000,0.26530000,0.26890000,746991.00000000,746991.00000000
2023-04-07,0.27230000,0.27480000,0.26660000,0.26920000,0.27230000,0.27480000,0.26660000,0.26920000,500776.00000000,500776.00000000
2023-04-06,0.27140000,0.27830000,0.26750000,0.27240000,0.27140000,0.27830000,0.26750000,0.27240000,1524072.00000000,1524072.00000000
2023-04-05,0.27080000,0.28000000,0.26430000,0.27150000,0.27080000,0.28000000,0.26430000,0.27150000,1242722.00000000,1242722.00000000
2023-04-04,0.26720000,0.27530000,0.26320000,0.27090000,0.26720000,0.27530000,0.26320000,0.27090000,1389855.00000000,1389855.00000000
2023-04-03,0.27010000,0.27500000,0.26220000,0.26720000,0.27010000,0.27500000,0.26220000,0.26720000,880119.00000000,880119.00000000
