timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.80500000,1.82500000,1.79700000,1.81100000,1.80500000,1.82500000,1.79700000,1.81100000,94256.90000000,94256.90000000
2023-05-07,1.80100000,1.83000000,1.78800000,1.80600000,1.80100000,1.83000000,1.78800000,1.80600000,1237819.35000000,1237819.35000000
2023-05-06,1.88500000,1.90000000,1.77500000,1.80000000,1.88500000,1.90000000,1.77500000,1.80000000,1441749.18000000,1441749.18000000
2023-05-05,1.86600000,1.90000000,1.83000000,1.88500000,1.86600000,1.90000000,1.83000000,1.88500000,1135727.84000000,1135727.84000000
2023-05-04,1.90900000,1.91600000,1.84700000,1.86400000,1.90900000,1.91600000,1.84700000,1.86400000,1396396.40000000,1396396.40000000
2023-05-03,1.85800000,1.91200000,1.83200000,1.91000000,1.85800000,1.91200000,1.83200000,1.91000000,3131713.43000000,3131713.43000000
2023-05-02,1.84800000,1.87200000,1.81200000,1.85700000,1.84800000,1.87200000,1.81200000,1.85700000,2814387.04000000,2814387.04000000
2023-05-01,1.88600000,1.89900000,1.81500000,1.84800000,1.88600000,1.89900000,1.81500000,1.84800000,1324137.33000000,1324137.33000000
2023-04-30,1.93400000,1.94000000,1.87100000,1.88500000,1.93400000,1.94000000,1.87100000,1.88500000,1160172.72000000,1160172.72000000
2023-04-29,1.91700000,1.94700000,1.90500000,1.93400000,1.91700000,1.94700000,1.90500000,1.93400000,895411.15000000,895411.15000000
2023-04-28,1.94700000,1.96300000,1.88500000,1.91700000,1.94700000,1.96300000,1.88500000,1.91700000,1393480.78000000,1393480.78000000
2023-04-27,1.91300000,2.02200000,1.90200000,1.94700000,1.91300000,2.02200000,1.90200000,1.94700000,2501997.46000000,2501997.46000000
2023-04-26,1.96000000,2.03800000,1.81000000,1.91200000,1.96000000,2.03800000,1.81000000,1.91200000,3899370.61000000,3899370.61000000
2023-04-25,1.93000000,1.96900000,1.85200000,1.95900000,1.93000000,1.96900000,1.85200000,1.95900000,1925238.13000000,1925238.13000000
2023-04-24,1.90800000,1.95500000,1.88200000,1.93000000,1.90800000,1.95500000,1.88200000,1.93000000,1623315.32000000,1623315.32000000
2023-04-23,1.94600000,1.95100000,1.85700000,1.90700000,1.94600000,1.95100000,1.85700000,1.90700000,1660118.62000000,1660118.62000000
2023-04-22,1.88600000,1.94800000,1.86400000,1.94700000,1.88600000,1.94800000,1.86400000,1.94700000,1198643.53000000,1198643.53000000
2023-04-21,2.01100000,2.03400000,1.85000000,1.88500000,2.01100000,2.03400000,1.85000000,1.88500000,3201126.68000000,3201126.68000000
2023-04-20,2.09600000,2.13100000,1.97400000,2.01200000,2.09600000,2.13100000,1.97400000,2.01200000,4266218.49000000,4266218.49000000
2023-04-19,2.25200000,2.39000000,2.03800000,2.09800000,2.25200000,2.39000000,2.03800000,2.09800000,11915404.29000000,11915404.29000000
2023-04-18,2.20400000,2.27900000,2.17500000,2.25100000,2.20400000,2.27900000,2.17500000,2.25100000,1752527.41000000,1752527.41000000
