timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,28377.13000000,28667.68000000,28279.67000000,28650.21000000,28377.13000000,28667.68000000,28279.67000000,28650.21000000,0.44517000,0.44517000
2023-05-07,28793.50000000,29316.43000000,28396.01000000,28408.46000000,28793.50000000,29316.43000000,28396.01000000,28408.46000000,3.25796000,3.25796000
2023-05-06,29634.82000000,29828.00000000,28371.74000000,28770.21000000,29634.82000000,29828.00000000,28371.74000000,28770.21000000,2.76653000,2.76653000
2023-05-05,28818.28000000,29763.63000000,28031.00000000,29583.86000000,28818.28000000,29763.63000000,28031.00000000,29583.86000000,3.70942000,3.70942000
2023-05-04,29061.05000000,29476.91000000,28625.63000000,28899.31000000,29061.05000000,29476.91000000,28625.63000000,28899.31000000,3.19070000,3.19070000
2023-05-03,28646.12000000,29297.20000000,28145.22000000,29011.21000000,28646.12000000,29297.20000000,28145.22000000,29011.21000000,1.37311000,1.37311000
2023-05-02,27985.17000000,29306.49000000,27899.89000000,28685.65000000,27985.17000000,29306.49000000,27899.89000000,28685.65000000,3.30394000,3.30394000
2023-05-01,29271.23000000,29380.28000000,27745.43000000,28095.70000000,29271.23000000,29380.28000000,27745.43000000,28095.70000000,2.44823000,2.44823000
2023-04-30,29211.05000000,29969.82000000,29056.01000000,29410.54000000,29211.05000000,29969.82000000,29056.01000000,29410.54000000,6.75490000,6.75490000
2023-04-29,29398.73000000,29796.98000000,29050.01000000,29214.49000000,29398.73000000,29796.98000000,29050.01000000,29214.49000000,11.92615000,11.92615000
2023-04-28,29443.26000000,31796.99000000,28912.96000000,29407.79000000,29443.26000000,31796.99000000,28912.96000000,29407.79000000,13.33017000,13.33017000
