timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.09180000,0.09230000,0.09170000,0.09230000,0.09180000,0.09230000,0.09170000,0.09230000,982315.00000000,982315.00000000
2023-05-07,0.09240000,0.09310000,0.09160000,0.09180000,0.09240000,0.09310000,0.09160000,0.09180000,16155576.00000000,16155576.00000000
2023-05-06,0.09420000,0.09470000,0.09150000,0.09240000,0.09420000,0.09470000,0.09150000,0.09240000,33453054.00000000,33453054.00000000
2023-05-05,0.09350000,0.09450000,0.09200000,0.09430000,0.09350000,0.09450000,0.09200000,0.09430000,29675628.00000000,29675628.00000000
2023-05-04,0.09350000,0.09420000,0.09270000,0.09350000,0.09350000,0.09420000,0.09270000,0.09350000,23059087.00000000,23059087.00000000
2023-05-03,0.09360000,0.09390000,0.09170000,0.09350000,0.09360000,0.09390000,0.09170000,0.09350000,25311740.00000000,25311740.00000000
2023-05-02,0.09260000,0.09370000,0.09180000,0.09350000,0.09260000,0.09370000,0.09180000,0.09350000,22161748.00000000,22161748.00000000
2023-05-01,0.09440000,0.09470000,0.09170000,0.09260000,0.09440000,0.09470000,0.09170000,0.09260000,29256674.00000000,29256674.00000000
2023-04-30,0.09590000,0.09600000,0.09400000,0.09440000,0.09590000,0.09600000,0.09400000,0.09440000,20944623.00000000,20944623.00000000
2023-04-29,0.09470000,0.09590000,0.09390000,0.09580000,0.09470000,0.09590000,0.09390000,0.09580000,21581648.00000000,21581648.00000000
2023-04-28,0.09430000,0.09590000,0.09340000,0.09470000,0.09430000,0.09590000,0.09340000,0.09470000,34465452.00000000,34465452.00000000
2023-04-27,0.09350000,0.09500000,0.09240000,0.09430000,0.09350000,0.09500000,0.09240000,0.09430000,38291799.00000000,38291799.00000000
2023-04-26,0.09500000,0.09700000,0.09000000,0.09360000,0.09500000,0.09700000,0.09000000,0.09360000,65475791.00000000,65475791.00000000
2023-04-25,0.09340000,0.09510000,0.09200000,0.09490000,0.09340000,0.09510000,0.09200000,0.09490000,35323647.00000000,35323647.00000000
2023-04-24,0.09460000,0.09620000,0.09170000,0.09340000,0.09460000,0.09620000,0.09170000,0.09340000,48499442.00000000,48499442.00000000
2023-04-23,0.09550000,0.09570000,0.09250000,0.09450000,0.09550000,0.09570000,0.09250000,0.09450000,28339859.00000000,28339859.00000000
2023-04-22,0.09290000,0.09570000,0.09200000,0.09550000,0.09290000,0.09570000,0.09200000,0.09550000,32102108.00000000,32102108.00000000
2023-04-21,0.09580000,0.09670000,0.09210000,0.09290000,0.09580000,0.09670000,0.09210000,0.09290000,50348139.00000000,50348139.00000000
2023-04-20,0.09760000,0.09850000,0.09430000,0.09570000,0.09760000,0.09850000,0.09430000,0.09570000,57049037.00000000,57049037.00000000
2023-04-19,0.10570000,0.10620000,0.09500000,0.09760000,0.10570000,0.10620000,0.09500000,0.09760000,83266790.00000000,83266790.00000000
2023-04-18,0.10390000,0.10630000,0.10340000,0.10570000,0.10390000,0.10630000,0.10340000,0.10570000,44546648.00000000,44546648.00000000
2023-04-17,0.10730000,0.10760000,0.10330000,0.10400000,0.10730000,0.10760000,0.10330000,0.10400000,40441494.00000000,40441494.00000000
2023-04-16,0.10640000,0.10800000,0.10530000,0.10730000,0.10640000,0.10800000,0.10530000,0.10730000,37284236.00000000,37284236.00000000
2023-04-15,0.10690000,0.10750000,0.10570000,0.10640000,0.10690000,0.10750000,0.10570000,0.10640000,33972723.00000000,33972723.00000000
2023-04-14,0.10540000,0.10970000,0.10510000,0.10690000,0.10540000,0.10970000,0.10510000,0.10690000,85686788.00000000,85686788.00000000
2023-04-13,0.10360000,0.10600000,0.10310000,0.10540000,0.10360000,0.10600000,0.10310000,0.10540000,45713075.00000000,45713075.00000000
2023-04-12,0.10520000,0.10530000,0.10230000,0.10360000,0.10520000,0.10530000,0.10230000,0.10360000,38721572.00000000,38721572.00000000
2023-04-11,0.10570000,0.10740000,0.10470000,0.10510000,0.10570000,0.10740000,0.10470000,0.10510000,50075381.00000000,50075381.00000000
2023-04-10,0.10470000,0.10590000,0.10240000,0.10570000,0.10470000,0.10590000,0.10240000,0.10570000,33090742.00000000,33090742.00000000
2023-04-09,0.10440000,0.10550000,0.10260000,0.10480000,0.10440000,0.10550000,0.10260000,0.10480000,33616147.00000000,33616147.00000000
2023-04-08,0.10640000,0.10650000,0.10380000,0.10440000,0.10640000,0.10650000,0.10380000,0.10440000,26155134.00000000,26155134.00000000
2023-04-07,0.10580000,0.10650000,0.10400000,0.10650000,0.10580000,0.10650000,0.10400000,0.10650000,38474541.00000000,38474541.00000000
2023-04-06,0.10730000,0.10740000,0.10380000,0.10580000,0.10730000,0.10740000,0.10380000,0.10580000,43911364.00000000,43911364.00000000
2023-04-05,0.10600000,0.10880000,0.10510000,0.10720000,0.10600000,0.10880000,0.10510000,0.10720000,55647475.00000000,55647475.00000000
2023-04-04,0.10650000,0.10710000,0.10450000,0.10600000,0.10650000,0.10710000,0.10450000,0.10600000,67015784.00000000,67015784.00000000
2023-04-03,0.10670000,0.11050000,0.10480000,0.10640000,0.10670000,0.11050000,0.10480000,0.10640000,95700138.00000000,95700138.00000000
2023-04-02,0.10820000,0.11110000,0.10570000,0.10660000,0.10820000,0.11110000,0.10570000,0.10660000,79050866.00000000,79050866.00000000
2023-04-01,0.11210000,0.11460000,0.10740000,0.10820000,0.11210000,0.11460000,0.10740000,0.10820000,101951089.00000000,101951089.00000000
2023-03-31,0.10640000,0.11300000,0.10500000,0.11220000,0.10640000,0.11300000,0.10500000,0.11220000,193974332.00000000,193974332.00000000
2023-03-30,0.10170000,0.10700000,0.09960000,0.10640000,0.10170000,0.10700000,0.09960000,0.10640000,167622881.00000000,167622881.00000000
2023-03-29,0.09770000,0.10740000,0.09770000,0.10170000,0.09770000,0.10740000,0.09770000,0.10170000,205036440.00000000,205036440.00000000
2023-03-28,0.09260000,0.09820000,0.09090000,0.09770000,0.09260000,0.09820000,0.09090000,0.09770000,143207289.00000000,143207289.00000000
2023-03-27,0.09180000,0.09510000,0.08950000,0.09250000,0.09180000,0.09510000,0.08950000,0.09250000,97089961.00000000,97089961.00000000
2023-03-26,0.09070000,0.09250000,0.09040000,0.09180000,0.09070000,0.09250000,0.09040000,0.09180000,41038470.00000000,41038470.00000000
2023-03-25,0.08880000,0.09300000,0.08840000,0.09070000,0.08880000,0.09300000,0.08840000,0.09070000,75690941.00000000,75690941.00000000
2023-03-24,0.09240000,0.09270000,0.08700000,0.08870000,0.09240000,0.09270000,0.08700000,0.08870000,64193078.00000000,64193078.00000000
2023-03-23,0.09090000,0.09360000,0.08970000,0.09240000,0.09090000,0.09360000,0.08970000,0.09240000,87913143.00000000,87913143.00000000
2023-03-22,0.09630000,0.09710000,0.08820000,0.09080000,0.09630000,0.09710000,0.08820000,0.09080000,145435515.00000000,145435515.00000000
2023-03-21,0.08630000,0.09980000,0.08540000,0.09630000,0.08630000,0.09980000,0.08540000,0.09630000,233825478.00000000,233825478.00000000
2023-03-20,0.08770000,0.08940000,0.08600000,0.08630000,0.08770000,0.08940000,0.08600000,0.08630000,68110422.00000000,68110422.00000000
2023-03-19,0.08560000,0.08900000,0.08550000,0.08770000,0.08560000,0.08900000,0.08550000,0.08770000,73104843.00000000,73104843.00000000
2023-03-18,0.08790000,0.08870000,0.08490000,0.08560000,0.08790000,0.08870000,0.08490000,0.08560000,65514360.00000000,65514360.00000000
2023-03-17,0.08460000,0.08800000,0.08370000,0.08790000,0.08460000,0.08800000,0.08370000,0.08790000,77400887.00000000,77400887.00000000
2023-03-16,0.08370000,0.08520000,0.08320000,0.08450000,0.08370000,0.08520000,0.08320000,0.08450000,59160861.00000000,59160861.00000000
2023-03-15,0.08830000,0.08880000,0.08270000,0.08370000,0.08830000,0.08880000,0.08270000,0.08370000,82469768.00000000,82469768.00000000
2023-03-14,0.08450000,0.08990000,0.08320000,0.08830000,0.08450000,0.08990000,0.08320000,0.08830000,125909813.00000000,125909813.00000000
2023-03-13,0.08220000,0.08530000,0.08030000,0.08440000,0.08220000,0.08530000,0.08030000,0.08440000,99167168.00000000,99167168.00000000
2023-03-12,0.07880000,0.08270000,0.07810000,0.08220000,0.07880000,0.08270000,0.07810000,0.08220000,82217006.00000000,82217006.00000000
2023-03-11,0.07800000,0.07940000,0.07490000,0.07880000,0.07800000,0.07940000,0.07490000,0.07880000,61452617.00000000,61452617.00000000
2023-03-10,0.07710000,0.07850000,0.07440000,0.07810000,0.07710000,0.07850000,0.07440000,0.07810000,57194293.00000000,57194293.00000000
2023-03-09,0.08170000,0.08240000,0.07580000,0.07710000,0.08170000,0.08240000,0.07580000,0.07710000,69404125.00000000,69404125.00000000
2023-03-08,0.08280000,0.08460000,0.08040000,0.08160000,0.08280000,0.08460000,0.08040000,0.08160000,81149933.00000000,81149933.00000000
2023-03-07,0.08340000,0.08420000,0.08160000,0.08270000,0.08340000,0.08420000,0.08160000,0.08270000,52826922.00000000,52826922.00000000
2023-03-06,0.08270000,0.08360000,0.08170000,0.08350000,0.08270000,0.08360000,0.08170000,0.08350000,28819347.00000000,28819347.00000000
