timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.44910000,0.45120000,0.44620000,0.44920000,0.44910000,0.45120000,0.44620000,0.44920000,13879604.00000000,13879604.00000000
2023-05-07,0.45820000,0.46010000,0.44570000,0.44900000,0.45820000,0.46010000,0.44570000,0.44900000,119401215.00000000,119401215.00000000
2023-05-06,0.46710000,0.46950000,0.45120000,0.45820000,0.46710000,0.46950000,0.45120000,0.45820000,168649976.00000000,168649976.00000000
2023-05-05,0.46080000,0.47060000,0.45450000,0.46710000,0.46080000,0.47060000,0.45450000,0.46710000,292855620.00000000,292855620.00000000
2023-05-04,0.46330000,0.46500000,0.45470000,0.46080000,0.46330000,0.46500000,0.45470000,0.46080000,218212542.00000000,218212542.00000000
2023-05-03,0.46440000,0.46550000,0.44970000,0.46320000,0.46440000,0.46550000,0.44970000,0.46320000,341232638.00000000,341232638.00000000
2023-05-02,0.46480000,0.46620000,0.45740000,0.46450000,0.46480000,0.46620000,0.45740000,0.46450000,330734355.00000000,330734355.00000000
2023-05-01,0.47050000,0.47240000,0.45440000,0.46490000,0.47050000,0.47240000,0.45440000,0.46490000,338231418.00000000,338231418.00000000
2023-04-30,0.47790000,0.48190000,0.46870000,0.47050000,0.47790000,0.48190000,0.46870000,0.47050000,143199211.00000000,143199211.00000000
2023-04-29,0.47950000,0.48690000,0.47090000,0.47800000,0.47950000,0.48690000,0.47090000,0.47800000,175533507.00000000,175533507.00000000
2023-04-28,0.46660000,0.48300000,0.46370000,0.47960000,0.46660000,0.48300000,0.46370000,0.47960000,384917512.00000000,384917512.00000000
2023-04-27,0.46180000,0.46990000,0.45570000,0.46670000,0.46180000,0.46990000,0.45570000,0.46670000,345756985.00000000,345756985.00000000
2023-04-26,0.46960000,0.48310000,0.43290000,0.46180000,0.46960000,0.48310000,0.43290000,0.46180000,551155391.00000000,551155391.00000000
2023-04-25,0.46100000,0.47230000,0.45060000,0.46950000,0.46100000,0.47230000,0.45060000,0.46950000,377056298.00000000,377056298.00000000
2023-04-24,0.46480000,0.48570000,0.44690000,0.46110000,0.46480000,0.48570000,0.44690000,0.46110000,408426760.00000000,408426760.00000000
2023-04-23,0.47200000,0.47200000,0.45260000,0.46470000,0.47200000,0.47200000,0.45260000,0.46470000,222191297.00000000,222191297.00000000
2023-04-22,0.44910000,0.47610000,0.44550000,0.47190000,0.44910000,0.47610000,0.44550000,0.47190000,242021955.00000000,242021955.00000000
