timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.96400000,0.97000000,0.95700000,0.96900000,0.96400000,0.97000000,0.95700000,0.96900000,75701.10000000,75701.10000000
2023-05-07,0.98100000,0.98500000,0.95900000,0.96400000,0.98100000,0.98500000,0.95900000,0.96400000,1042948.00000000,1042948.00000000
2023-05-06,1.02100000,1.02900000,0.97600000,0.98000000,1.02100000,1.02900000,0.97600000,0.98000000,1488126.60000000,1488126.60000000
2023-05-05,0.99300000,1.03100000,0.99000000,1.02100000,0.99300000,1.03100000,0.99000000,1.02100000,2212302.80000000,2212302.80000000
2023-05-04,0.99800000,1.00500000,0.98400000,0.99300000,0.99800000,1.00500000,0.98400000,0.99300000,1183815.30000000,1183815.30000000
2023-05-03,0.99200000,1.00300000,0.96200000,0.99800000,0.99200000,1.00300000,0.96200000,0.99800000,1510772.40000000,1510772.40000000
2023-05-02,0.98300000,0.99600000,0.97800000,0.99100000,0.98300000,0.99600000,0.97800000,0.99100000,1777710.20000000,1777710.20000000
2023-05-01,1.00000000,1.01300000,0.96800000,0.98400000,1.00000000,1.01300000,0.96800000,0.98400000,1632377.00000000,1632377.00000000
2023-04-30,1.02800000,1.03300000,0.99700000,0.99900000,1.02800000,1.03300000,0.99700000,0.99900000,1406443.00000000,1406443.00000000
2023-04-29,1.01400000,1.03100000,1.00900000,1.02700000,1.01400000,1.03100000,1.00900000,1.02700000,1273537.90000000,1273537.90000000
2023-04-28,1.03100000,1.03200000,1.00300000,1.01400000,1.03100000,1.03200000,1.00300000,1.01400000,2501865.20000000,2501865.20000000
2023-04-27,1.00300000,1.04200000,1.00000000,1.03100000,1.00300000,1.04200000,1.00000000,1.03100000,2948017.90000000,2948017.90000000
2023-04-26,1.02000000,1.05500000,0.95800000,1.00300000,1.02000000,1.05500000,0.95800000,1.00300000,3100876.90000000,3100876.90000000
2023-04-25,1.00100000,1.02600000,0.97400000,1.02000000,1.00100000,1.02600000,0.97400000,1.02000000,3360174.30000000,3360174.30000000
2023-04-24,1.01600000,1.03300000,0.99000000,1.00200000,1.01600000,1.03300000,0.99000000,1.00200000,2160205.70000000,2160205.70000000
