timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.23730000,0.23910000,0.23620000,0.23820000,0.23730000,0.23910000,0.23620000,0.23820000,256605.00000000,256605.00000000
2023-05-07,0.24060000,0.24510000,0.23610000,0.23730000,0.24060000,0.24510000,0.23610000,0.23730000,3342029.00000000,3342029.00000000
2023-05-06,0.25310000,0.25480000,0.23700000,0.24060000,0.25310000,0.25480000,0.23700000,0.24060000,2953557.00000000,2953557.00000000
2023-05-05,0.24580000,0.25400000,0.24210000,0.25280000,0.24580000,0.25400000,0.24210000,0.25280000,2993559.00000000,2993559.00000000
2023-05-04,0.25130000,0.25210000,0.24450000,0.24570000,0.25130000,0.25210000,0.24450000,0.24570000,1526776.00000000,1526776.00000000
2023-05-03,0.24800000,0.25350000,0.23940000,0.25130000,0.24800000,0.25350000,0.23940000,0.25130000,2368862.00000000,2368862.00000000
2023-05-02,0.24700000,0.24940000,0.23940000,0.24790000,0.24700000,0.24940000,0.23940000,0.24790000,3118257.00000000,3118257.00000000
2023-05-01,0.25620000,0.25730000,0.24380000,0.24700000,0.25620000,0.25730000,0.24380000,0.24700000,2761000.00000000,2761000.00000000
2023-04-30,0.26240000,0.26300000,0.25460000,0.25600000,0.26240000,0.26300000,0.25460000,0.25600000,1966570.00000000,1966570.00000000
2023-04-29,0.26260000,0.26420000,0.25910000,0.26240000,0.26260000,0.26420000,0.25910000,0.26240000,1572886.00000000,1572886.00000000
2023-04-28,0.26620000,0.27020000,0.25530000,0.26280000,0.26620000,0.27020000,0.25530000,0.26280000,3757886.00000000,3757886.00000000
2023-04-27,0.25790000,0.27020000,0.25630000,0.26600000,0.25790000,0.27020000,0.25630000,0.26600000,5143253.00000000,5143253.00000000
2023-04-26,0.26270000,0.27410000,0.24400000,0.25780000,0.26270000,0.27410000,0.24400000,0.25780000,6874502.00000000,6874502.00000000
2023-04-25,0.25790000,0.26410000,0.24740000,0.26300000,0.25790000,0.26410000,0.24740000,0.26300000,3228899.00000000,3228899.00000000
2023-04-24,0.26120000,0.26710000,0.25050000,0.25760000,0.26120000,0.26710000,0.25050000,0.25760000,5522056.00000000,5522056.00000000
2023-04-23,0.26520000,0.27250000,0.25430000,0.26110000,0.26520000,0.27250000,0.25430000,0.26110000,5463078.00000000,5463078.00000000
2023-04-22,0.25580000,0.26730000,0.25570000,0.26550000,0.25580000,0.26730000,0.25570000,0.26550000,7238167.00000000,7238167.00000000
2023-04-21,0.26530000,0.26900000,0.25120000,0.25570000,0.26530000,0.26900000,0.25120000,0.25570000,5558264.00000000,5558264.00000000
2023-04-20,0.27670000,0.28460000,0.26160000,0.26550000,0.27670000,0.28460000,0.26160000,0.26550000,11211676.00000000,11211676.00000000
2023-04-19,0.30480000,0.30480000,0.27000000,0.27730000,0.30480000,0.30480000,0.27000000,0.27730000,9440896.00000000,9440896.00000000
2023-04-18,0.29310000,0.30980000,0.29020000,0.30490000,0.29310000,0.30980000,0.29020000,0.30490000,13051047.00000000,13051047.00000000
2023-04-17,0.30620000,0.31340000,0.28940000,0.29310000,0.30620000,0.31340000,0.28940000,0.29310000,7934088.00000000,7934088.00000000
2023-04-16,0.29510000,0.31720000,0.29280000,0.30610000,0.29510000,0.31720000,0.29280000,0.30610000,20908334.00000000,20908334.00000000
2023-04-15,0.29960000,0.30140000,0.29030000,0.29530000,0.29960000,0.30140000,0.29030000,0.29530000,6436238.00000000,6436238.00000000
2023-04-14,0.28080000,0.30920000,0.27950000,0.29990000,0.28080000,0.30920000,0.27950000,0.29990000,21650110.00000000,21650110.00000000
2023-04-13,0.27860000,0.28270000,0.27250000,0.28090000,0.27860000,0.28270000,0.27250000,0.28090000,4524782.00000000,4524782.00000000
2023-04-12,0.28500000,0.28630000,0.27070000,0.27860000,0.28500000,0.28630000,0.27070000,0.27860000,9078196.00000000,9078196.00000000
2023-04-11,0.28850000,0.29120000,0.28020000,0.28500000,0.28850000,0.29120000,0.28020000,0.28500000,10073161.00000000,10073161.00000000
2023-04-10,0.28770000,0.28910000,0.27280000,0.28860000,0.28770000,0.28910000,0.27280000,0.28860000,10028681.00000000,10028681.00000000
