timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,70.20000000,74.30000000,67.40000000,69.00000000,70.20000000,74.30000000,67.40000000,69.00000000,309557.51700000,309557.51700000
2023-04-30,74.20000000,84.50000000,65.90000000,70.20000000,74.20000000,84.50000000,65.90000000,70.20000000,2006742.36500000,2006742.36500000
2023-03-31,77.60000000,83.20000000,63.90000000,74.20000000,77.60000000,83.20000000,63.90000000,74.20000000,3046448.29300000,3046448.29300000
2023-02-28,82.90000000,95.50000000,73.60000000,77.70000000,82.90000000,95.50000000,73.60000000,77.70000000,4534286.13900000,4534286.13900000
2023-01-31,52.00000000,91.30000000,51.10000000,82.90000000,52.00000000,91.30000000,51.10000000,82.90000000,5529702.16800000,5529702.16800000
2022-12-31,65.30000000,67.30000000,51.40000000,52.00000000,65.30000000,67.30000000,51.40000000,52.00000000,2502483.67800000,2502483.67800000
2022-11-30,83.90000000,98.40000000,50.20000000,65.30000000,83.90000000,98.40000000,50.20000000,65.30000000,7494100.67300000,7494100.67300000
2022-10-31,74.60000000,90.10000000,64.70000000,83.90000000,74.60000000,90.10000000,64.70000000,83.90000000,2849136.17400000,2849136.17400000
2022-09-30,84.80000000,97.00000000,70.40000000,74.60000000,84.80000000,97.00000000,70.40000000,74.60000000,3752771.24900000,3752771.24900000
2022-08-31,97.60000000,115.80000000,78.00000000,84.80000000,97.60000000,115.80000000,78.00000000,84.80000000,5668178.38900000,5668178.38900000
2022-07-31,57.00000000,109.60000000,54.70000000,97.60000000,57.00000000,109.60000000,54.70000000,97.60000000,9756751.44500000,9756751.44500000
2022-06-30,112.90000000,121.00000000,45.60000000,57.00000000,112.90000000,121.00000000,45.60000000,57.00000000,8666097.04510000,8666097.04510000
2022-05-31,142.30000000,162.20000000,64.80000000,112.90000000,142.30000000,162.20000000,64.80000000,112.90000000,9727796.33610000,9727796.33610000
2022-04-30,207.00000000,261.20000000,137.80000000,142.30000000,207.00000000,261.20000000,137.80000000,142.30000000,6509613.46100000,6509613.46100000
2022-03-31,145.80000000,242.30000000,113.30000000,207.10000000,145.80000000,242.30000000,113.30000000,207.10000000,6804899.37600000,6804899.37600000
2022-02-28,157.50000000,192.70000000,112.40000000,145.80000000,157.50000000,192.70000000,112.40000000,145.80000000,3173902.24270000,3173902.24270000
2022-01-31,253.90000000,286.40000000,131.10000000,157.50000000,253.90000000,286.40000000,131.10000000,157.50000000,5091983.38050000,5091983.38050000
2021-12-31,256.80000000,296.80000000,157.60000000,253.90000000,256.80000000,296.80000000,157.60000000,253.90000000,5921074.77140000,5921074.77140000
2021-11-30,314.30000000,349.90000000,218.30000000,256.70000000,314.30000000,349.90000000,218.30000000,256.70000000,3907678.37200000,3907678.37200000
2021-10-31,276.40000000,459.00000000,270.80000000,314.20000000,276.40000000,459.00000000,270.80000000,314.20000000,4691554.00210000,4691554.00210000
2021-09-30,391.70000000,425.70000000,252.00000000,276.30000000,391.70000000,425.70000000,252.00000000,276.30000000,4754956.11760000,4754956.11760000
2021-08-31,331.11000000,448.44000000,300.26000000,391.70000000,331.11000000,448.44000000,300.26000000,391.70000000,4767324.36340000,4767324.36340000
2021-07-31,250.96000000,347.53000000,212.54000000,331.10000000,250.96000000,347.53000000,212.54000000,331.10000000,8060052.59330000,8060052.59330000
2021-06-30,382.40000000,409.38000000,170.10000000,251.08000000,382.40000000,409.38000000,170.10000000,251.08000000,5992861.79740000,5992861.79740000
2021-05-31,444.72000000,668.00000000,208.09000000,382.44000000,444.72000000,668.00000000,208.09000000,382.44000000,13167613.23100000,13167613.23100000
2021-04-30,382.56700000,489.00000000,280.72700000,444.72000000,382.56700000,489.00000000,280.72700000,444.72000000,7154113.19810000,7154113.19810000
2021-03-31,353.79100000,459.00000000,296.22500000,382.56700000,353.79100000,459.00000000,296.22500000,382.56700000,4959323.77600000,4959323.77600000
2021-02-28,299.97500000,581.66700000,283.60700000,354.15500000,299.97500000,581.66700000,283.60700000,354.15500000,9101608.67300000,9101608.67300000
2021-01-31,88.35000000,323.70300000,81.29100000,299.60100000,88.35000000,323.70300000,81.29100000,299.60100000,11841857.54400000,11841857.54400000
2020-12-31,76.02700000,96.32900000,63.02100000,88.48000000,76.02700000,96.32900000,63.02100000,88.48000000,8958872.44000000,8958872.44000000
2020-11-30,29.73700000,82.48000000,25.93900000,76.00000000,29.73700000,82.48000000,25.93900000,76.00000000,11372856.19300000,11372856.19300000
