timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.39570000,0.39790000,0.37350000,0.37730000,0.39570000,0.39790000,0.37350000,0.37730000,542107010.50000012,542107010.50000012
2023-04-30,0.39890000,0.46170000,0.37080000,0.39560000,0.39890000,0.46170000,0.37080000,0.39560000,3663539487.79999876,3663539487.79999876
2023-03-31,0.35180000,0.40930000,0.29760000,0.39890000,0.35180000,0.40930000,0.29760000,0.39890000,4849487251.79999828,4849487251.79999828
2023-02-28,0.39020000,0.42130000,0.34500000,0.35170000,0.39020000,0.42130000,0.34500000,0.35170000,3098518378.40000057,3098518378.40000057
2023-01-31,0.24580000,0.39980000,0.24340000,0.39020000,0.24580000,0.39980000,0.24340000,0.39020000,4678982124.60000134,4678982124.60000134
2022-12-31,0.31860000,0.32900000,0.23920000,0.24580000,0.31860000,0.32900000,0.23920000,0.24580000,2502015499.56000042,2502015499.56000042
2022-11-30,0.40550000,0.43780000,0.29530000,0.31870000,0.40550000,0.43780000,0.29530000,0.31870000,4250020234.28999996,4250020234.28999996
2022-10-31,0.43460000,0.44000000,0.33000000,0.40550000,0.43460000,0.44000000,0.33000000,0.40550000,3601087124.88999987,3601087124.88999987
2022-09-30,0.44610000,0.52420000,0.42510000,0.43470000,0.44610000,0.52420000,0.42510000,0.43470000,4569390707.30000019,4569390707.30000019
2022-08-31,0.51610000,0.59480000,0.42360000,0.44620000,0.51610000,0.59480000,0.42360000,0.44620000,5094031038.69999886,5094031038.69999886
2022-07-31,0.45990000,0.55600000,0.40230000,0.51610000,0.45990000,0.55600000,0.40230000,0.51610000,6516727657.10000134,6516727657.10000134
2022-06-30,0.62660000,0.66960000,0.42060000,0.45990000,0.62660000,0.66960000,0.42060000,0.45990000,8816086053.99999809,8816086053.99999809
2022-05-31,0.75550000,0.90580000,0.40190000,0.62680000,0.75550000,0.90580000,0.40190000,0.62680000,8141243478.30000114,8141243478.30000114
2022-04-30,1.14100000,1.24500000,0.73510000,0.75560000,1.14100000,1.24500000,0.73510000,0.75560000,3276695100.64000034,3276695100.64000034
2022-03-31,0.96200000,1.24600000,0.77600000,1.14100000,0.96200000,1.24600000,0.77600000,1.14100000,4660687892.60000038,4660687892.60000038
2022-02-28,1.05200000,1.26300000,0.74600000,0.96200000,1.05200000,1.26300000,0.74600000,0.96200000,4965234001.96000004,4965234001.96000004
2022-01-31,1.30800000,1.63800000,0.91700000,1.05100000,1.30800000,1.63800000,0.91700000,1.05100000,6651504867.03999901,6651504867.03999901
2021-12-31,1.55300000,1.76000000,1.18200000,1.30800000,1.55300000,1.76000000,1.18200000,1.30800000,5964130803.34000015,5964130803.34000015
2021-11-30,1.96500000,2.37800000,1.41600000,1.55400000,1.96500000,2.37800000,1.41600000,1.55400000,5739631243.13999844,5739631243.13999844
2021-10-31,2.11500000,2.37500000,1.80400000,1.96400000,2.11500000,2.37500000,1.80400000,1.96400000,4723845901.50000000,4723845901.50000000
2021-09-30,2.76800000,3.10100000,1.91010000,2.11500000,2.76800000,3.10100000,1.91010000,2.11500000,8927152050.97000122,8927152050.97000122
2021-08-31,1.31930000,2.97190000,1.26130000,2.76700000,1.31930000,2.97190000,1.26130000,2.76700000,11444421964.12999916,11444421964.12999916
2021-07-31,1.38530000,1.49550000,1.02020000,1.31930000,1.38530000,1.49550000,1.02020000,1.31930000,5288104011.50000000,5288104011.50000000
2021-06-30,1.73760000,1.88970000,1.00010000,1.38530000,1.73760000,1.88970000,1.00010000,1.38530000,10999524418.34000015,10999524418.34000015
2021-05-31,1.35300000,2.47000000,1.01000000,1.73730000,1.35300000,2.47000000,1.01000000,1.73730000,26585925581.44000244,26585925581.44000244
2021-04-30,1.19172000,1.55845000,0.92000000,1.35320000,1.19172000,1.55845000,0.92000000,1.35320000,13677561607.71000099,13677561607.71000099
2021-03-31,1.31279000,1.47299000,0.98500000,1.19191000,1.31279000,1.47299000,0.98500000,1.19191000,16877748220.99999619,16877748220.99999619
2021-02-28,0.34464000,1.48800000,0.33214000,1.31203000,0.34464000,1.48800000,0.33214000,1.31203000,29026842510.36000443,29026842510.36000443
2021-01-31,0.18134000,0.39740000,0.16793000,0.34475000,0.18134000,0.39740000,0.16793000,0.34475000,26942659415.35999298,26942659415.35999298
2020-12-31,0.17207000,0.19725000,0.12630000,0.18134000,0.17207000,0.19725000,0.12630000,0.18134000,16102604566.30000305,16102604566.30000305
2020-11-30,0.09296000,0.18300000,0.08793000,0.17204000,0.09296000,0.18300000,0.08793000,0.17204000,18309066700.90000153,18309066700.90000153
2020-10-31,0.10136000,0.11428000,0.08915000,0.09300000,0.10136000,0.11428000,0.08915000,0.09300000,7925056172.20000172,7925056172.20000172
2020-09-30,0.12250000,0.12812000,0.07545000,0.10136000,0.12250000,0.12812000,0.07545000,0.10136000,10747649370.19999886,10747649370.19999886
