timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.18140000,0.18300000,0.17100000,0.17530000,0.18140000,0.18300000,0.17100000,0.17530000,14177128.00000000,14177128.00000000
2023-04-30,0.20500000,0.28990000,0.17600000,0.18140000,0.20500000,0.28990000,0.17600000,0.18140000,357209264.00000000,357209264.00000000
2023-03-31,0.18640000,0.22860000,0.15270000,0.20490000,0.18640000,0.22860000,0.15270000,0.20490000,331255862.00000000,331255862.00000000
2023-02-28,0.18090000,0.22740000,0.16420000,0.18640000,0.18090000,0.22740000,0.16420000,0.18640000,313649702.00000000,313649702.00000000
2023-01-31,0.11070000,0.60000000,0.10950000,0.18080000,0.11070000,0.60000000,0.10950000,0.18080000,389028039.00000000,389028039.00000000
2022-12-31,0.13940000,0.14820000,0.10760000,0.11070000,0.13940000,0.14820000,0.10760000,0.11070000,107762287.00000000,107762287.00000000
2022-11-30,0.16750000,0.19200000,0.10540000,0.13940000,0.16750000,0.19200000,0.10540000,0.13940000,291228699.00000000,291228699.00000000
2022-10-31,0.16930000,0.18500000,0.14440000,0.16770000,0.16930000,0.18500000,0.14440000,0.16770000,209782802.00000000,209782802.00000000
2022-09-30,0.15560000,0.19100000,0.14700000,0.16930000,0.15560000,0.19100000,0.14700000,0.16930000,305734137.00000000,305734137.00000000
2022-08-31,0.19490000,0.21130000,0.15160000,0.15560000,0.19490000,0.21130000,0.15160000,0.15560000,285246819.00000000,285246819.00000000
2022-07-31,0.14170000,0.30280000,0.13430000,0.19530000,0.14170000,0.30280000,0.13430000,0.19530000,575457362.00000000,575457362.00000000
2022-06-30,0.22880000,0.23090000,0.13030000,0.14160000,0.22880000,0.23090000,0.13030000,0.14160000,253190575.00000000,253190575.00000000
2022-05-31,0.32600000,0.35490000,0.18340000,0.22870000,0.32600000,0.35490000,0.18340000,0.22870000,273325262.00000000,273325262.00000000
2022-04-30,0.42100000,0.53420000,0.32340000,0.32600000,0.42100000,0.53420000,0.32340000,0.32600000,299309492.00000000,299309492.00000000
2022-03-31,0.43000000,0.63840000,0.36360000,0.42100000,0.43000000,0.63840000,0.36360000,0.42100000,389795932.00000000,389795932.00000000
2022-02-28,0.43580000,0.52000000,0.37870000,0.43030000,0.43580000,0.52000000,0.37870000,0.43030000,275209560.00000000,275209560.00000000
2022-01-31,0.55470000,0.61320000,0.37040000,0.43580000,0.55470000,0.61320000,0.37040000,0.43580000,178950010.00000000,178950010.00000000
2021-12-31,0.73150000,0.91900000,0.51110000,0.55460000,0.73150000,0.91900000,0.51110000,0.55460000,186042619.00000000,186042619.00000000
2021-11-30,0.91420000,1.09620000,0.66620000,0.73150000,0.91420000,1.09620000,0.66620000,0.73150000,286658438.00000000,286658438.00000000
