timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-02-27,0.03263000,0.06000000,0.00919000,0.00943000,0.03263000,0.06000000,0.00919000,0.00943000,3511603226.00000000,3511603226.00000000
2023-01-31,0.02636000,0.04047000,0.02580000,0.03258000,0.02636000,0.04047000,0.02580000,0.03258000,931597941.00000000,931597941.00000000
2022-12-31,0.03428000,0.04100000,0.02550000,0.02635000,0.03428000,0.04100000,0.02550000,0.02635000,579903427.00000000,579903427.00000000
2022-11-30,0.03954000,0.04120000,0.02454000,0.03429000,0.03954000,0.04120000,0.02454000,0.03429000,620104450.00000000,620104450.00000000
2022-10-31,0.03923000,0.08459000,0.03102000,0.03956000,0.03923000,0.08459000,0.03102000,0.03956000,1908227357.00000000,1908227357.00000000
2022-09-30,0.04563000,0.05191000,0.03667000,0.03926000,0.04563000,0.05191000,0.03667000,0.03926000,296557430.00000000,296557430.00000000
2022-08-31,0.03914000,0.06000000,0.03906000,0.04553000,0.03914000,0.06000000,0.03906000,0.04553000,1204186926.00000000,1204186926.00000000
2022-07-31,0.02750000,0.05335000,0.02630000,0.03913000,0.02750000,0.05335000,0.02630000,0.03913000,1760324740.00000000,1760324740.00000000
2022-06-30,0.03710000,0.03770000,0.02190000,0.02760000,0.03710000,0.03770000,0.02190000,0.02760000,551828568.00000000,551828568.00000000
2022-05-31,0.06890000,0.07610000,0.02230000,0.03700000,0.06890000,0.07610000,0.02230000,0.03700000,1045416635.02000010,1045416635.02000010
2022-04-30,0.10910000,0.16000000,0.06710000,0.06890000,0.10910000,0.16000000,0.06710000,0.06890000,762044917.00000000,762044917.00000000
2022-03-31,0.08400000,0.11760000,0.07470000,0.10910000,0.08400000,0.11760000,0.07470000,0.10910000,667208276.00000000,667208276.00000000
2022-02-28,0.09040000,0.13490000,0.06600000,0.08410000,0.09040000,0.13490000,0.06600000,0.08410000,608236942.53999996,608236942.53999996
2022-01-31,0.13910000,0.16700000,0.07510000,0.09070000,0.13910000,0.16700000,0.07510000,0.09070000,590398398.59999990,590398398.59999990
2021-12-31,0.20070000,0.25740000,0.13140000,0.13910000,0.20070000,0.25740000,0.13140000,0.13910000,1183133240.00000000,1183133240.00000000
2021-11-30,0.18830000,0.36800000,0.14820000,0.20070000,0.18830000,0.36800000,0.14820000,0.20070000,2634149222.59000015,2634149222.59000015
2021-10-31,0.14090000,0.21600000,0.13880000,0.18840000,0.14090000,0.21600000,0.13880000,0.18840000,734860596.00000000,734860596.00000000
2021-09-30,0.19710000,0.24440000,0.13200000,0.14100000,0.19710000,0.24440000,0.13200000,0.14100000,796083439.64000010,796083439.64000010
2021-08-31,0.12660000,0.23800000,0.11700000,0.19690000,0.12660000,0.23800000,0.11700000,0.19690000,1010440148.94999993,1010440148.94999993
2021-07-31,0.14410000,0.14790000,0.09320000,0.12650000,0.14410000,0.14790000,0.09320000,0.12650000,458969263.34999985,458969263.34999985
2021-06-30,0.20920000,0.22410000,0.09410000,0.14440000,0.20920000,0.22410000,0.09410000,0.14440000,551425185.87999988,551425185.87999988
2021-05-31,0.38140000,0.69520000,0.12460000,0.20930000,0.38140000,0.69520000,0.12460000,0.20930000,1870962055.91999984,1870962055.91999984
2021-04-30,0.34350000,0.55550000,0.21300000,0.38150000,0.34350000,0.55550000,0.21300000,0.38150000,1075584991.12000012,1075584991.12000012
2021-03-31,0.16920000,0.38000000,0.15790000,0.34350000,0.16920000,0.38000000,0.15790000,0.34350000,1528704885.19000006,1528704885.19000006
2021-02-28,0.07210000,0.26800000,0.07020000,0.16870000,0.07210000,0.26800000,0.07020000,0.16870000,1715808688.86000013,1715808688.86000013
2021-01-31,0.06160000,0.10450000,0.06120000,0.07230000,0.06160000,0.10450000,0.06120000,0.07230000,515405220.70999992,515405220.70999992
2020-12-31,0.07670000,0.09840000,0.05940000,0.06160000,0.07670000,0.09840000,0.05940000,0.06160000,212267312.59000003,212267312.59000003
2020-11-30,0.06240000,0.10010000,0.05670000,0.07640000,0.06240000,0.10010000,0.05670000,0.07640000,162761991.27000004,162761991.27000004
2020-10-31,0.08380000,0.08980000,0.05770000,0.06260000,0.08380000,0.08980000,0.05770000,0.06260000,73638331.47000001,73638331.47000001
2020-09-30,0.13480000,0.14950000,0.07410000,0.08360000,0.13480000,0.14950000,0.07410000,0.08360000,146205982.67000002,146205982.67000002
2020-08-31,0.10200000,0.16150000,0.09380000,0.13470000,0.10200000,0.16150000,0.09380000,0.13470000,287519934.36000001,287519934.36000001
2020-07-31,0.09690000,0.12880000,0.09260000,0.10220000,0.09690000,0.12880000,0.09260000,0.10220000,243668655.42000002,243668655.42000002
