timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.18030000,0.18320000,0.17200000,0.17360000,0.18030000,0.18320000,0.17200000,0.17360000,155982336.00000000,155982336.00000000
2023-04-30,0.22590000,0.23530000,0.17150000,0.18010000,0.22590000,0.23530000,0.17150000,0.18010000,1169688004.00000000,1169688004.00000000
2023-03-31,0.24450000,0.25410000,0.17850000,0.22600000,0.24450000,0.25410000,0.17850000,0.22600000,1584883555.00000000,1584883555.00000000
2023-02-28,0.24150000,0.29950000,0.23090000,0.24440000,0.24150000,0.29950000,0.23090000,0.24440000,1407866584.00000000,1407866584.00000000
2023-01-31,0.17250000,0.26460000,0.17120000,0.24140000,0.17250000,0.26460000,0.17120000,0.24140000,1554924501.00000000,1554924501.00000000
2022-12-31,0.24760000,0.24840000,0.15980000,0.17250000,0.24760000,0.24840000,0.15980000,0.17250000,1177933271.55999994,1177933271.55999994
2022-11-30,0.35870000,0.45370000,0.22580000,0.24770000,0.35870000,0.45370000,0.22580000,0.24770000,3086250681.65999985,3086250681.65999985
2022-10-31,0.35350000,0.38090000,0.28630000,0.35860000,0.35350000,0.38090000,0.28630000,0.35860000,1025437993.00000000,1025437993.00000000
2022-09-30,0.28850000,0.41000000,0.28060000,0.35350000,0.28850000,0.41000000,0.28060000,0.35350000,1653252227.00000000,1653252227.00000000
2022-08-31,0.33600000,0.38380000,0.27880000,0.28850000,0.33600000,0.38380000,0.27880000,0.28850000,1022596405.00000000,1022596405.00000000
2022-07-31,0.31480000,0.37860000,0.28980000,0.33610000,0.31480000,0.37860000,0.28980000,0.33610000,1164110573.00000000,1164110573.00000000
2022-06-30,0.41120000,0.43160000,0.27510000,0.31470000,0.41120000,0.43160000,0.27510000,0.31470000,1441610818.75000000,1441610818.75000000
2022-05-31,0.56720000,0.78620000,0.35270000,0.41130000,0.56720000,0.78620000,0.35270000,0.41130000,2593861603.97000027,2593861603.97000027
2022-04-30,0.92930000,0.97700000,0.53730000,0.56730000,0.92930000,0.97700000,0.53730000,0.56730000,905698645.53999996,905698645.53999996
2022-03-31,0.86760000,0.98860000,0.67360000,0.92930000,0.86760000,0.98860000,0.67360000,0.92930000,1107558421.00000000,1107558421.00000000
2022-02-28,0.94990000,1.10200000,0.68800000,0.86810000,0.94990000,1.10200000,0.68800000,0.86810000,926824461.94000006,926824461.94000006
2022-01-31,1.65850000,1.84510000,0.79570000,0.94990000,1.65850000,1.84510000,0.79570000,0.94990000,1312426872.11999989,1312426872.11999989
2021-12-31,1.81200000,2.04310000,1.25650000,1.65910000,1.81200000,2.04310000,1.25650000,1.65910000,1262973125.00000000,1262973125.00000000
2021-11-30,1.82810000,2.99000000,1.56070000,1.81190000,1.82810000,2.99000000,1.56070000,1.81190000,2046739559.80399990,2046739559.80399990
2021-10-31,1.62740000,2.10000000,1.59540000,1.82840000,1.62740000,2.10000000,1.59540000,1.82840000,1533276686.00000000,1533276686.00000000
2021-09-30,1.11350000,2.55740000,1.01990000,1.62730000,1.11350000,2.55740000,1.01990000,1.62730000,3669413244.93300009,3669413244.93300009
2021-08-31,0.83910000,1.24440000,0.79000000,1.11340000,0.83910000,1.24440000,0.79000000,1.11340000,1209815928.65999985,1209815928.65999985
2021-07-31,0.88360000,0.94080000,0.67600000,0.83950000,0.88360000,0.94080000,0.67600000,0.83950000,406951812.24999988,406951812.24999988
2021-06-30,0.93560000,1.15370000,0.67120000,0.88330000,0.93560000,1.15370000,0.67120000,0.88330000,785555436.72999990,785555436.72999990
2021-05-31,1.40290000,1.69650000,0.67740000,0.93590000,1.40290000,1.69650000,0.67740000,0.93590000,1290617316.68999982,1290617316.68999982
2021-04-30,1.36550000,1.79990000,0.91300000,1.40290000,1.36550000,1.79990000,0.91300000,1.40290000,1499320358.19999981,1499320358.19999981
2021-03-31,1.02310000,1.45210000,0.97580000,1.36670000,1.02310000,1.45210000,0.97580000,1.36670000,1689560229.66000032,1689560229.66000032
2021-02-28,0.65240000,1.84000000,0.61590000,1.02180000,0.65240000,1.84000000,0.61590000,1.02180000,1937551707.83400011,1937551707.83400011
2021-01-31,0.33580000,0.70360000,0.33100000,0.65160000,0.33580000,0.70360000,0.33100000,0.65160000,1754726859.87000012,1754726859.87000012
2020-12-31,0.32890000,0.38480000,0.26500000,0.33530000,0.32890000,0.38480000,0.26500000,0.33530000,881446205.33000028,881446205.33000028
2020-11-30,0.24860000,0.42120000,0.22240000,0.32890000,0.24860000,0.42120000,0.22240000,0.32890000,785061979.38000000,785061979.38000000
2020-10-31,0.34700000,0.37500000,0.23590000,0.24880000,0.34700000,0.37500000,0.23590000,0.24880000,450241999.56999987,450241999.56999987
2020-09-30,0.50150000,0.55360000,0.26300000,0.34690000,0.50150000,0.55360000,0.26300000,0.34690000,681556844.25999999,681556844.25999999
