timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00345000,0.00361000,0.00322000,0.00328000,0.00345000,0.00361000,0.00322000,0.00328000,3353656065.00000000,3353656065.00000000
2023-04-30,0.00372000,0.00426000,0.00339000,0.00345000,0.00372000,0.00426000,0.00339000,0.00345000,14214269998.00000000,14214269998.00000000
2023-03-31,0.00523000,0.00584000,0.00349000,0.00372000,0.00523000,0.00584000,0.00349000,0.00372000,17198313815.00000000,17198313815.00000000
2023-02-28,0.00459000,0.00891000,0.00438000,0.00523000,0.00459000,0.00891000,0.00438000,0.00523000,19517328925.00000000,19517328925.00000000
2023-01-31,0.00305000,0.00590000,0.00302000,0.00458000,0.00305000,0.00590000,0.00302000,0.00458000,8136124091.00000000,8136124091.00000000
2022-12-31,0.00352000,0.00424000,0.00303000,0.00304000,0.00352000,0.00424000,0.00303000,0.00304000,5786934900.00000000,5786934900.00000000
2022-11-30,0.00482000,0.00530000,0.00319000,0.00352000,0.00482000,0.00530000,0.00319000,0.00352000,4729704285.00000000,4729704285.00000000
2022-10-31,0.00488000,0.00580000,0.00459000,0.00482000,0.00488000,0.00580000,0.00459000,0.00482000,6666261704.00000000,6666261704.00000000
2022-09-30,0.00618000,0.00870000,0.00469000,0.00488000,0.00618000,0.00870000,0.00469000,0.00488000,9115114682.00000000,9115114682.00000000
2022-08-31,0.00907000,0.00935000,0.00608000,0.00619000,0.00907000,0.00935000,0.00608000,0.00619000,4693016406.00000000,4693016406.00000000
2022-07-31,0.01023000,0.01133000,0.00810000,0.00908000,0.01023000,0.01133000,0.00810000,0.00908000,4299523270.00000000,4299523270.00000000
2022-06-30,0.01256000,0.01549000,0.00791000,0.01023000,0.01256000,0.01549000,0.00791000,0.01023000,3545356479.00000000,3545356479.00000000
2022-05-31,0.01933000,0.01988000,0.00976000,0.01254000,0.01933000,0.01988000,0.00976000,0.01254000,3617510299.00000000,3617510299.00000000
2022-04-30,0.02693000,0.03000000,0.01926000,0.01935000,0.02693000,0.03000000,0.01926000,0.01935000,4126849801.00000000,4126849801.00000000
2022-03-31,0.02932000,0.03008000,0.02387000,0.02693000,0.02932000,0.03008000,0.02387000,0.02693000,3176673614.00000000,3176673614.00000000
2022-02-28,0.02977000,0.03812000,0.02144000,0.02932000,0.02977000,0.03812000,0.02144000,0.02932000,2623030008.00000000,2623030008.00000000
2022-01-31,0.04826000,0.05615000,0.02400000,0.02984000,0.04826000,0.05615000,0.02400000,0.02984000,2055850312.00000000,2055850312.00000000
2021-12-31,0.06078000,0.06311000,0.04596000,0.04826000,0.06078000,0.06311000,0.04596000,0.04826000,2900157740.00000000,2900157740.00000000
