timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-12-27,0.05428000,0.06453000,0.02777000,0.03151000,0.05428000,0.06453000,0.02777000,0.03151000,1617918881.34999943,1617918881.34999943
2022-11-30,0.08362000,0.09300000,0.01540000,0.05429000,0.08362000,0.09300000,0.01540000,0.05429000,1355250103.37000012,1355250103.37000012
2022-10-31,0.09131000,0.10670000,0.07651000,0.08354000,0.09131000,0.10670000,0.07651000,0.08354000,1313340136.77999997,1313340136.77999997
2022-09-30,0.09160000,0.21700000,0.08240000,0.09138000,0.09160000,0.21700000,0.08240000,0.09138000,5684797014.85000038,5684797014.85000038
2022-08-31,0.11603000,0.13925000,0.07000000,0.09154000,0.11603000,0.13925000,0.07000000,0.09154000,1961976163.98000002,1961976163.98000002
2022-07-31,0.14421000,0.15350000,0.10295000,0.11609000,0.14421000,0.15350000,0.10295000,0.11609000,2314315738.69000006,2314315738.69000006
2022-06-30,0.23350000,0.24400000,0.08075000,0.14423000,0.23350000,0.24400000,0.08075000,0.14423000,6136799010.28999901,6136799010.28999901
2022-05-31,1.59400000,2.33400000,0.01774000,0.23355000,1.59400000,2.33400000,0.01774000,0.23355000,8746698469.97999954,8746698469.97999954
2022-04-30,2.54900000,3.48000000,1.58000000,1.59400000,2.54900000,3.48000000,1.58000000,1.59400000,263433572.11000001,263433572.11000001
2022-03-31,3.51000000,6.19000000,2.40400000,2.55000000,3.51000000,6.19000000,2.40400000,2.55000000,335861952.61999995,335861952.61999995
2022-02-28,1.54100000,3.99500000,1.30400000,3.51500000,1.54100000,3.99500000,1.30400000,3.51500000,137350708.06000000,137350708.06000000
