timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,3.24500000,3.25500000,2.79600000,2.99800000,3.24500000,3.25500000,2.79600000,2.99800000,4862311.10000000,4862311.10000000
2023-04-30,2.55600000,3.96700000,2.44500000,3.24500000,2.55600000,3.96700000,2.44500000,3.24500000,32458868.20000000,32458868.20000000
2023-03-31,2.66500000,2.75500000,1.91300000,2.55500000,2.66500000,2.75500000,1.91300000,2.55500000,18649927.30000001,18649927.30000001
2023-02-28,3.20000000,3.30100000,2.54600000,2.66600000,3.20000000,3.30100000,2.54600000,2.66600000,18925307.10000000,18925307.10000000
2023-01-31,2.23600000,3.23800000,2.01600000,3.20100000,2.23600000,3.23800000,2.01600000,3.20100000,35531450.90000001,35531450.90000001
2022-12-31,1.95500000,3.71800000,1.78000000,2.23600000,1.95500000,3.71800000,1.78000000,2.23600000,61504521.00000001,61504521.00000001
2022-11-30,1.84500000,2.49900000,1.56400000,1.95500000,1.84500000,2.49900000,1.56400000,1.95500000,57908867.49999999,57908867.49999999
2022-10-31,1.69200000,1.95400000,1.44100000,1.84600000,1.69200000,1.95400000,1.44100000,1.84600000,23658892.50000000,23658892.50000000
2022-09-30,1.65900000,2.13000000,1.53200000,1.69200000,1.65900000,2.13000000,1.53200000,1.69200000,58855081.40000000,58855081.40000000
2022-08-31,1.95400000,3.27200000,1.48700000,1.65800000,1.95400000,3.27200000,1.48700000,1.65800000,62015441.70000001,62015441.70000001
2022-07-31,1.53600000,2.28700000,1.46000000,1.95600000,1.53600000,2.28700000,1.46000000,1.95600000,52431236.29999999,52431236.29999999
2022-06-30,2.03000000,2.60000000,1.19500000,1.53600000,2.03000000,2.60000000,1.19500000,1.53600000,106512823.00000001,106512823.00000001
2022-05-31,3.17900000,3.68400000,1.09800000,2.03100000,3.17900000,3.68400000,1.09800000,2.03100000,104142155.69999999,104142155.69999999
2022-04-30,5.13700000,6.34500000,3.05700000,3.17900000,5.13700000,6.34500000,3.05700000,3.17900000,53064676.50000000,53064676.50000000
2022-03-31,5.39900000,5.88500000,4.18500000,5.13600000,5.39900000,5.88500000,4.18500000,5.13600000,50367208.40000001,50367208.40000001
2022-02-28,7.77800000,8.88300000,4.08900000,5.39800000,7.77800000,8.88300000,4.08900000,5.39800000,77455801.70000000,77455801.70000000
2022-01-31,13.53500000,14.29300000,3.95800000,7.77800000,13.53500000,14.29300000,3.95800000,7.77800000,128872220.25000001,128872220.25000001
2021-12-31,5.52700000,14.13000000,3.39900000,13.54100000,5.52700000,14.13000000,3.39900000,13.54100000,148658243.68000001,148658243.68000001
2021-11-30,4.69300000,9.00000000,4.20100000,5.55000000,4.69300000,9.00000000,4.20100000,5.55000000,80278902.03999999,80278902.03999999
2021-10-31,4.31400000,5.30000000,4.26200000,4.69500000,4.31400000,5.30000000,4.26200000,4.69500000,19253665.50000000,19253665.50000000
2021-09-30,5.09900000,8.75500000,4.07600000,4.31400000,5.09900000,8.75500000,4.07600000,4.31400000,51974654.83000000,51974654.83000000
2021-08-31,4.02100000,5.63990000,3.62700000,5.10200000,4.02100000,5.63990000,3.62700000,5.10200000,22488206.93000000,22488206.93000000
2021-07-31,3.70470000,4.54000000,3.00360000,4.01130000,3.70470000,4.54000000,3.00360000,4.01130000,29022715.25000000,29022715.25000000
2021-06-30,5.00450000,6.12360000,3.04710000,3.70290000,5.00450000,6.12360000,3.04710000,3.70290000,47530751.83999999,47530751.83999999
2021-05-31,9.94590000,12.07860000,2.77830000,5.00680000,9.94590000,12.07860000,2.77830000,5.00680000,48295340.03000000,48295340.03000000
2021-04-30,10.79160000,14.98000000,7.02000000,9.93090000,10.79160000,14.98000000,7.02000000,9.93090000,45059758.78000001,45059758.78000001
2021-03-31,3.80000000,13.86390000,3.79830000,10.79060000,3.80000000,13.86390000,3.79830000,10.79060000,82956229.94999999,82956229.94999999
2021-02-28,4.17890000,7.49000000,3.52950000,3.80420000,4.17890000,7.49000000,3.52950000,3.80420000,32298870.01000000,32298870.01000000
2021-01-31,3.05630000,5.28940000,2.96000000,4.16600000,3.05630000,5.28940000,2.96000000,4.16600000,22298539.65000000,22298539.65000000
2020-12-31,3.42710000,3.65880000,2.60830000,3.05630000,3.42710000,3.65880000,2.60830000,3.05630000,6873663.61000000,6873663.61000000
2020-11-30,3.09130000,4.58000000,2.66390000,3.43320000,3.09130000,4.58000000,2.66390000,3.43320000,9530388.35000000,9530388.35000000
2020-10-31,3.67840000,3.88910000,2.83040000,3.09010000,3.67840000,3.88910000,2.83040000,3.09010000,4813146.40000000,4813146.40000000
2020-09-30,8.17520000,8.50000000,2.93640000,3.67530000,8.17520000,8.50000000,2.93640000,3.67530000,22832843.93000000,22832843.93000000
