timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.08950000,0.09110000,0.08410000,0.08480000,0.08950000,0.09110000,0.08410000,0.08480000,22674973.00000000,22674973.00000000
2023-04-30,0.09170000,0.14600000,0.08630000,0.08940000,0.09170000,0.14600000,0.08630000,0.08940000,333754799.00000000,333754799.00000000
2023-03-31,0.10440000,0.11680000,0.07460000,0.09160000,0.10440000,0.11680000,0.07460000,0.09160000,122937482.00000000,122937482.00000000
2023-02-28,0.08680000,0.11900000,0.08290000,0.10410000,0.08680000,0.11900000,0.08290000,0.10410000,152161347.00000000,152161347.00000000
2023-01-31,0.06660000,0.11880000,0.06460000,0.08690000,0.06660000,0.11880000,0.06460000,0.08690000,222531884.00000000,222531884.00000000
2022-12-31,0.07750000,0.15950000,0.06150000,0.06680000,0.07750000,0.15950000,0.06150000,0.06680000,417938378.00000000,417938378.00000000
2022-11-30,0.09750000,0.10190000,0.05900000,0.07750000,0.09750000,0.10190000,0.05900000,0.07750000,101606234.00000000,101606234.00000000
2022-10-31,0.09720000,0.10620000,0.08700000,0.09730000,0.09720000,0.10620000,0.08700000,0.09730000,49326130.00000000,49326130.00000000
2022-09-30,0.10500000,0.12170000,0.09310000,0.09710000,0.10500000,0.12170000,0.09310000,0.09710000,79689293.00000000,79689293.00000000
2022-08-31,0.11100000,0.15000000,0.09960000,0.10520000,0.11100000,0.15000000,0.09960000,0.10520000,160434268.00000000,160434268.00000000
2022-07-31,0.09670000,0.12470000,0.09100000,0.11120000,0.09670000,0.12470000,0.09100000,0.11120000,101071741.00000000,101071741.00000000
2022-06-30,0.12140000,0.15490000,0.07880000,0.09700000,0.12140000,0.15490000,0.07880000,0.09700000,93064571.50000000,93064571.50000000
2022-05-31,0.18170000,0.19210000,0.08060000,0.12150000,0.18170000,0.19210000,0.08060000,0.12150000,68119056.59999999,68119056.59999999
2022-04-30,0.24910000,0.28990000,0.17810000,0.18170000,0.24910000,0.28990000,0.17810000,0.18170000,162504414.00000000,162504414.00000000
2022-03-31,0.20620000,0.25490000,0.17960000,0.24900000,0.20620000,0.25490000,0.17960000,0.24900000,116572122.00000000,116572122.00000000
2022-02-28,0.17990000,0.26450000,0.15450000,0.20620000,0.17990000,0.26450000,0.15450000,0.20620000,128611579.00000000,128611579.00000000
2022-01-31,0.22430000,0.38820000,0.14490000,0.18010000,0.22430000,0.38820000,0.14490000,0.18010000,355889794.30000001,355889794.30000001
2021-12-31,0.36370000,0.40880000,0.20860000,0.22410000,0.36370000,0.40880000,0.20860000,0.22410000,199187322.90000001,199187322.90000001
2021-11-30,0.34150000,0.41850000,0.28950000,0.36310000,0.34150000,0.41850000,0.28950000,0.36310000,261362868.00000000,261362868.00000000
2021-10-31,0.28070000,0.44900000,0.27300000,0.34150000,0.28070000,0.44900000,0.27300000,0.34150000,334515819.00000000,334515819.00000000
2021-09-30,0.29150000,0.71600000,0.24470000,0.28010000,0.29150000,0.71600000,0.24470000,0.28010000,517574170.30000001,517574170.30000001
2021-08-31,0.30580000,0.32609000,0.22336000,0.29200000,0.30580000,0.32609000,0.22336000,0.29200000,468673907.60000002,468673907.60000002
2021-07-31,0.15495000,0.37798000,0.11678000,0.30594000,0.15495000,0.37798000,0.11678000,0.30594000,596033410.39999998,596033410.39999998
2021-06-30,0.22202000,0.24298000,0.08713000,0.15536000,0.22202000,0.24298000,0.08713000,0.15536000,325248990.99999994,325248990.99999994
2021-05-31,0.41300000,0.63450000,0.15188000,0.22202000,0.41300000,0.63450000,0.15188000,0.22202000,616211625.59999990,616211625.59999990
2021-04-30,0.38120000,0.79000000,0.24400000,0.41297000,0.38120000,0.79000000,0.24400000,0.41297000,1143566519.50000024,1143566519.50000024
2021-03-31,0.15675000,0.43838000,0.15658000,0.38241000,0.15675000,0.43838000,0.15658000,0.38241000,377774130.00000012,377774130.00000012
2021-02-28,0.07919000,0.23699000,0.07625000,0.15629000,0.07919000,0.23699000,0.07625000,0.15629000,537853357.10000002,537853357.10000002
2021-01-31,0.07154000,0.09618000,0.06208000,0.07900000,0.07154000,0.09618000,0.06208000,0.07900000,174483646.60000002,174483646.60000002
2020-12-31,0.07367000,0.08869000,0.05877000,0.07162000,0.07367000,0.08869000,0.05877000,0.07162000,120264956.80000000,120264956.80000000
2020-11-30,0.04714000,0.09314000,0.04452000,0.07399000,0.04714000,0.09314000,0.04452000,0.07399000,179812967.69999999,179812967.69999999
2020-10-31,0.05105000,0.06553000,0.04367000,0.04728000,0.05105000,0.06553000,0.04367000,0.04728000,48965722.19999999,48965722.19999999
2020-09-30,0.08584000,0.08640000,0.02119000,0.05088000,0.08584000,0.08640000,0.02119000,0.05088000,123562592.40000001,123562592.40000001
