timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,17.10000000,17.73000000,16.28000000,16.47000000,17.10000000,17.73000000,16.28000000,16.47000000,8003511.46000000,8003511.46000000
2023-04-30,17.70000000,21.56000000,16.27000000,17.10000000,17.70000000,21.56000000,16.27000000,17.10000000,53270359.23000000,53270359.23000000
2023-03-31,17.10000000,18.25000000,13.88000000,17.70000000,17.10000000,18.25000000,13.88000000,17.70000000,64130218.34999999,64130218.34999999
2023-02-28,19.80000000,22.79000000,16.84000000,17.09000000,19.80000000,22.79000000,16.84000000,17.09000000,73675792.63999999,73675792.63999999
2023-01-31,10.90000000,21.81000000,10.64000000,19.80000000,10.90000000,21.81000000,10.64000000,19.80000000,108887889.48999998,108887889.48999998
2022-12-31,13.15000000,14.40000000,10.54000000,10.90000000,13.15000000,14.40000000,10.54000000,10.90000000,31962716.35100000,31962716.35100000
2022-11-30,19.28000000,20.63000000,11.44000000,13.15000000,19.28000000,20.63000000,11.44000000,13.15000000,63684778.25699999,63684778.25699999
2022-10-31,17.21000000,19.83000000,14.42000000,19.28000000,17.21000000,19.83000000,14.42000000,19.28000000,45153891.34000000,45153891.34000000
2022-09-30,19.14000000,21.91000000,16.19000000,17.20000000,19.14000000,21.91000000,16.19000000,17.20000000,65461800.15000001,65461800.15000001
2022-08-31,23.72000000,30.89000000,17.48000000,19.14000000,23.72000000,30.89000000,17.48000000,19.14000000,92005523.68999998,92005523.68999998
2022-07-31,16.98000000,26.38000000,15.80000000,23.72000000,16.98000000,26.38000000,15.80000000,23.72000000,119695686.82000002,119695686.82000002
2022-06-30,26.43000000,27.79000000,13.71000000,16.99000000,26.43000000,27.79000000,13.71000000,16.99000000,158579366.75799999,158579366.75799999
2022-05-31,56.98000000,69.52000000,21.35000000,26.42000000,56.98000000,69.52000000,21.35000000,26.42000000,151650261.80199999,151650261.80199999
2022-04-30,97.43000000,103.62000000,55.05000000,56.98000000,97.43000000,103.62000000,55.05000000,56.98000000,57402328.20000000,57402328.20000000
2022-03-31,84.54000000,101.98000000,65.55000000,97.41000000,84.54000000,101.98000000,65.55000000,97.41000000,89740080.05999999,89740080.05999999
2022-02-28,69.90000000,98.77000000,64.45000000,84.54000000,69.90000000,98.77000000,64.45000000,84.54000000,75906195.69999999,75906195.69999999
2022-01-31,109.43000000,117.53000000,52.95000000,69.87000000,109.43000000,117.53000000,52.95000000,69.87000000,61854215.53999999,61854215.53999999
2021-12-31,120.42000000,127.41000000,75.50000000,109.43000000,120.42000000,127.41000000,75.50000000,109.43000000,98963152.58000000,98963152.58000000
2021-11-30,64.50000000,147.00000000,62.19000000,120.41000000,64.50000000,147.00000000,62.19000000,120.41000000,124104384.07200000,124104384.07200000
2021-10-31,66.64000000,73.41000000,51.04000000,64.50000000,66.64000000,73.41000000,51.04000000,64.50000000,106658750.45999998,106658750.45999998
2021-09-30,39.51000000,79.80000000,32.23000000,66.63000000,39.51000000,79.80000000,32.23000000,66.63000000,302711022.21100008,302711022.21100008
2021-08-31,13.53500000,58.97700000,12.32500000,39.50000000,13.53500000,58.97700000,12.32500000,39.50000000,176223178.36099997,176223178.36099997
2021-07-31,11.94000000,14.22600000,9.32700000,13.52500000,11.94000000,14.22600000,9.32700000,13.52500000,34077153.34100000,34077153.34100000
2021-06-30,18.15300000,20.70000000,9.32500000,11.94900000,18.15300000,20.70000000,9.32500000,11.94900000,51047621.30300001,51047621.30300001
2021-05-31,32.81900000,43.88500000,12.08600000,18.14000000,32.81900000,43.88500000,12.08600000,18.14000000,117913221.43699999,117913221.43699999
2021-04-30,28.72170000,40.75900000,19.80000000,32.80000000,28.72170000,40.75900000,19.80000000,32.80000000,95312326.06700000,95312326.06700000
2021-03-31,23.96980000,39.30000000,23.41020000,28.72180000,23.96980000,39.30000000,23.41020000,28.72180000,105152540.38000003,105152540.38000003
2021-02-28,13.47040000,60.30350000,12.57410000,23.95660000,13.47040000,60.30350000,12.57410000,23.95660000,81203850.29000002,81203850.29000002
2021-01-31,3.18590000,15.37280000,3.01780000,13.47040000,3.18590000,15.37280000,3.01780000,13.47040000,64215467.81000001,64215467.81000001
2020-12-31,3.70440000,3.89660000,2.75010000,3.18590000,3.70440000,3.89660000,2.75010000,3.18590000,22406906.27000000,22406906.27000000
2020-11-30,3.63550000,4.39890000,3.00000000,3.70240000,3.63550000,4.39890000,3.00000000,3.70240000,16082274.06999999,16082274.06999999
2020-10-31,4.32930000,4.71000000,3.20700000,3.64560000,4.32930000,4.71000000,3.20700000,3.64560000,18902047.38000000,18902047.38000000
