timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.69300000,1.72900000,1.61300000,1.62300000,1.69300000,1.72900000,1.61300000,1.62300000,4170635.00000000,4170635.00000000
2023-04-30,1.86400000,2.16200000,1.59400000,1.69300000,1.86400000,2.16200000,1.59400000,1.69300000,48101415.39999999,48101415.39999999
2023-03-31,1.95900000,2.08900000,1.35000000,1.86500000,1.95900000,2.08900000,1.35000000,1.86500000,51994359.29999999,51994359.29999999
2023-02-28,2.13700000,2.35400000,1.72700000,1.95800000,2.13700000,2.35400000,1.72700000,1.95800000,76572953.59999999,76572953.59999999
2023-01-31,1.40800000,2.38800000,1.36200000,2.13700000,1.40800000,2.38800000,1.36200000,2.13700000,76349714.49999997,76349714.49999997
2022-12-31,1.95100000,2.78500000,1.32300000,1.40600000,1.95100000,2.78500000,1.32300000,1.40600000,78958529.00000000,78958529.00000000
2022-11-30,1.18200000,3.68200000,1.10300000,1.95300000,1.18200000,3.68200000,1.10300000,1.95300000,327090152.10000002,327090152.10000002
2022-10-31,1.22500000,1.30000000,0.97800000,1.18200000,1.22500000,1.30000000,0.97800000,1.18200000,36030727.30000000,36030727.30000000
2022-09-30,1.27700000,1.45800000,1.07000000,1.22600000,1.27700000,1.45800000,1.07000000,1.22600000,45756808.59999999,45756808.59999999
2022-08-31,1.67700000,1.99800000,1.16400000,1.27700000,1.67700000,1.99800000,1.16400000,1.27700000,51100498.29999999,51100498.29999999
2022-07-31,1.31100000,2.14400000,1.18100000,1.67900000,1.31100000,2.14400000,1.18100000,1.67900000,51183133.50000001,51183133.50000001
2022-06-30,1.81300000,2.74400000,1.18100000,1.31100000,1.81300000,2.74400000,1.18100000,1.31100000,87409066.09999999,87409066.09999999
2022-05-31,2.95600000,3.38800000,1.27300000,1.81200000,2.95600000,3.38800000,1.27300000,1.81200000,41149970.69599999,41149970.69599999
2022-04-30,4.89000000,5.63500000,2.79200000,2.95900000,4.89000000,5.63500000,2.79200000,2.95900000,22316284.40000000,22316284.40000000
2022-03-31,3.93200000,5.26100000,3.25800000,4.89000000,3.93200000,5.26100000,3.25800000,4.89000000,28397417.60000000,28397417.60000000
2022-02-28,3.48000000,5.48500000,3.07600000,3.93400000,3.48000000,5.48500000,3.07600000,3.93400000,63037099.00000001,63037099.00000001
2022-01-31,5.01400000,7.00000000,2.97300000,3.48000000,5.01400000,7.00000000,2.97300000,3.48000000,46534194.50899999,46534194.50899999
2021-12-31,7.71300000,8.65700000,4.62200000,5.01100000,7.71300000,8.65700000,4.62200000,5.01100000,31032690.25800001,31032690.25800001
2021-11-30,9.83300000,10.55200000,6.59300000,7.70800000,9.83300000,10.55200000,6.59300000,7.70800000,40638224.96399999,40638224.96399999
2021-10-31,7.16800000,9.98100000,7.06300000,9.84000000,7.16800000,9.98100000,7.06300000,9.84000000,27907783.90000000,27907783.90000000
2021-09-30,9.23700000,11.43700000,6.72200000,7.16800000,9.23700000,11.43700000,6.72200000,7.16800000,37710463.25900000,37710463.25900000
2021-08-31,6.47900000,10.50000000,5.96000000,9.23800000,6.47900000,10.50000000,5.96000000,9.23800000,48816008.98800001,48816008.98800001
2021-07-31,5.96200000,7.16300000,4.22300000,6.47600000,5.96200000,7.16300000,4.22300000,6.47600000,33288364.69100000,33288364.69100000
2021-06-30,8.97300000,9.44000000,4.06400000,5.95700000,8.97300000,9.44000000,4.06400000,5.95700000,45227127.18600000,45227127.18600000
2021-05-31,17.25000000,20.67300000,5.24000000,8.96500000,17.25000000,20.67300000,5.24000000,8.96500000,83336474.49799998,83336474.49799998
2021-04-30,16.74270000,23.30460000,11.00910000,17.25000000,16.74270000,23.30460000,11.00910000,17.25000000,84168217.90399998,84168217.90399998
2021-03-31,11.82810000,17.23970000,11.20020000,16.74940000,11.82810000,17.23970000,11.20020000,16.74940000,52070207.10000001,52070207.10000001
2021-02-28,9.01630000,20.62100000,8.58000000,11.83280000,9.01630000,20.62100000,8.58000000,11.83280000,99648085.98000000,99648085.98000000
2021-01-31,5.34200000,11.48240000,5.31000000,9.00770000,5.34200000,11.48240000,5.31000000,9.00770000,91933999.56000000,91933999.56000000
2020-12-31,6.24510000,7.80460000,4.50000000,5.34920000,6.24510000,7.80460000,4.50000000,5.34920000,45259923.70000000,45259923.70000000
2020-11-30,4.34070000,7.93700000,3.81860000,6.23690000,4.34070000,7.93700000,3.81860000,6.23690000,58558684.78000000,58558684.78000000
2020-10-31,6.49220000,7.52240000,3.28220000,4.34600000,6.49220000,7.52240000,3.28220000,4.34600000,42174576.99000000,42174576.99000000
2020-09-30,13.07040000,17.00000000,5.54430000,6.49000000,13.07040000,17.00000000,5.54430000,6.49000000,73567019.30999999,73567019.30999999
