timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.24550000,0.24650000,0.22810000,0.22970000,0.24550000,0.24650000,0.22810000,0.22970000,24353858.00000000,24353858.00000000
2023-04-30,0.26850000,0.32450000,0.23550000,0.24540000,0.26850000,0.32450000,0.23550000,0.24540000,417469013.00000000,417469013.00000000
2023-03-31,0.28910000,0.30940000,0.19970000,0.26850000,0.28910000,0.30940000,0.19970000,0.26850000,444012219.00000000,444012219.00000000
2023-02-28,0.25250000,0.33600000,0.24800000,0.28890000,0.25250000,0.33600000,0.24800000,0.28890000,544983422.00000000,544983422.00000000
2023-01-31,0.16620000,0.28280000,0.16430000,0.25250000,0.16620000,0.28280000,0.16430000,0.25250000,450284568.00000000,450284568.00000000
2022-12-31,0.23780000,0.24500000,0.16020000,0.16620000,0.23780000,0.24500000,0.16020000,0.16620000,194224111.90000001,194224111.90000001
2022-11-30,0.29620000,0.35230000,0.20960000,0.23780000,0.29620000,0.35230000,0.20960000,0.23780000,448979320.18000001,448979320.18000001
2022-10-31,0.30330000,0.31490000,0.26110000,0.29660000,0.30330000,0.31490000,0.26110000,0.29660000,184879883.00000000,184879883.00000000
2022-09-30,0.33510000,0.36420000,0.28470000,0.30310000,0.33510000,0.36420000,0.28470000,0.30310000,259912314.00000000,259912314.00000000
2022-08-31,0.39920000,0.48000000,0.32380000,0.33540000,0.39920000,0.48000000,0.32380000,0.33540000,386989868.00000000,386989868.00000000
2022-07-31,0.39240000,0.45950000,0.34760000,0.39900000,0.39240000,0.45950000,0.34760000,0.39900000,527368814.00000000,527368814.00000000
2022-06-30,0.40290000,0.44300000,0.25810000,0.39260000,0.40290000,0.44300000,0.25810000,0.39260000,808638477.49000001,808638477.49000001
2022-05-31,0.56920000,0.67030000,0.30600000,0.40260000,0.56920000,0.67030000,0.30600000,0.40260000,660770920.46000004,660770920.46000004
2022-04-30,0.86680000,0.98000000,0.55050000,0.56920000,0.86680000,0.98000000,0.55050000,0.56920000,397788137.46000004,397788137.46000004
2022-03-31,0.74120000,0.93640000,0.61450000,0.86690000,0.74120000,0.93640000,0.61450000,0.86690000,515474288.00000000,515474288.00000000
2022-02-28,0.85240000,0.98710000,0.56710000,0.74180000,0.85240000,0.98710000,0.56710000,0.74180000,348211017.00000000,348211017.00000000
2022-01-31,1.20500000,1.36410000,0.65220000,0.85280000,1.20500000,1.36410000,0.65220000,0.85280000,559764514.00000000,559764514.00000000
2021-12-31,1.45670000,1.69000000,0.87570000,1.20470000,1.45670000,1.69000000,0.87570000,1.20470000,1078242162.00000000,1078242162.00000000
2021-11-30,0.99510000,1.92900000,0.93050000,1.45730000,0.99510000,1.92900000,0.93050000,1.45730000,2169584889.19999981,2169584889.19999981
2021-10-31,0.63280000,1.46850000,0.62030000,0.99430000,0.63280000,1.46850000,0.62030000,0.99430000,1181023175.00999999,1181023175.00999999
2021-09-30,0.81370000,1.00350000,0.57780000,0.63200000,0.81370000,1.00350000,0.57780000,0.63200000,378069089.49000001,378069089.49000001
2021-08-31,0.65220000,0.91000000,0.61980000,0.81460000,0.65220000,0.91000000,0.61980000,0.81460000,504647557.43000001,504647557.43000001
2021-07-31,0.61580000,0.65870000,0.45570000,0.65190000,0.61580000,0.65870000,0.45570000,0.65190000,400495683.79999989,400495683.79999989
2021-06-30,0.76730000,0.85000000,0.42500000,0.61580000,0.76730000,0.85000000,0.42500000,0.61580000,412514708.01999998,412514708.01999998
2021-05-31,1.26410000,1.59480000,0.45410000,0.76790000,1.26410000,1.59480000,0.45410000,0.76790000,885271473.06000006,885271473.06000006
2021-04-30,1.14270000,1.64980000,0.85000000,1.26360000,1.14270000,1.64980000,0.85000000,1.26360000,1059853572.64000010,1059853572.64000010
2021-03-31,0.52900000,1.37990000,0.51900000,1.14270000,0.52900000,1.37990000,0.51900000,1.14270000,1998479335.74000001,1998479335.74000001
2021-02-28,0.30250000,0.70790000,0.29070000,0.52800000,0.30250000,0.70790000,0.29070000,0.52800000,1713292653.26000023,1713292653.26000023
2021-01-31,0.19930000,0.36230000,0.19780000,0.30280000,0.19930000,0.36230000,0.19780000,0.30280000,1618820209.48000002,1618820209.48000002
2020-12-31,0.24370000,0.26320000,0.18060000,0.19960000,0.24370000,0.26320000,0.18060000,0.19960000,664566162.50000000,664566162.50000000
2020-11-30,0.18520000,0.28830000,0.17520000,0.24380000,0.18520000,0.28830000,0.17520000,0.24380000,696466099.35999978,696466099.35999978
2020-10-31,0.23960000,0.24770000,0.17670000,0.18530000,0.23960000,0.24770000,0.17670000,0.18530000,292270911.66000009,292270911.66000009
2020-09-30,0.34820000,0.35210000,0.20610000,0.23940000,0.34820000,0.35210000,0.20610000,0.23940000,460566871.68000001,460566871.68000001
