timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-11-20,427.05000000,646.98000000,389.00000000,448.70000000,427.05000000,646.98000000,389.00000000,448.70000000,1200654.74144000,1200654.74144000
2018-10-31,531.15000000,554.00000000,410.00000000,427.37000000,531.15000000,554.00000000,410.00000000,427.37000000,1055579.77791000,1055579.77791000
2018-09-30,542.00000000,660.30000000,408.00000000,531.99000000,542.00000000,660.30000000,408.00000000,531.99000000,1593779.89561000,1593779.89561000
2018-08-31,777.05000000,779.00000000,471.48000000,542.02000000,777.05000000,779.00000000,471.48000000,542.02000000,1527751.80295000,1527751.80295000
2018-07-31,748.43000000,891.69000000,662.00000000,776.74000000,748.43000000,891.69000000,662.00000000,776.74000000,1051659.06473000,1051659.06473000
2018-06-30,996.08000000,1213.06000000,647.57000000,748.43000000,996.08000000,1213.06000000,647.57000000,748.43000000,879850.75489000,879850.75489000
2018-05-31,1346.99000000,1850.00000000,868.00000000,996.08000000,1346.99000000,1850.00000000,868.00000000,996.08000000,880590.43736000,880590.43736000
2018-04-30,682.08000000,1570.00000000,578.00000000,1346.99000000,682.08000000,1570.00000000,578.00000000,1346.99000000,544918.64587000,544918.64587000
2018-03-31,1198.00000000,1309.00000000,672.47000000,683.00000000,1198.00000000,1309.00000000,672.47000000,683.00000000,208883.64378000,208883.64378000
2018-02-28,1500.00000000,1629.15000000,760.01000000,1198.56000000,1500.00000000,1629.15000000,760.01000000,1198.56000000,218137.96597000,218137.96597000
2018-01-31,2339.36000000,2995.00000000,1320.00000000,1500.00000000,2339.36000000,2995.00000000,1320.00000000,1500.00000000,171077.59192000,171077.59192000
2017-12-31,1307.98000000,5389.35000000,1085.18000000,2352.32000000,1307.98000000,5389.35000000,1085.18000000,2352.32000000,203262.92135000,203262.92135000
