timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,117.60000000,121.00000000,115.10000000,116.60000000,117.60000000,121.00000000,115.10000000,116.60000000,165449.66600000,165449.66600000
2023-04-30,123.90000000,136.10000000,111.50000000,117.70000000,123.90000000,136.10000000,111.50000000,117.70000000,1276346.33400000,1276346.33400000
2023-03-31,132.00000000,140.00000000,105.10000000,123.90000000,132.00000000,140.00000000,105.10000000,123.90000000,1623090.98800000,1623090.98800000
2023-02-28,133.30000000,154.40000000,119.70000000,132.00000000,133.30000000,154.40000000,119.70000000,132.00000000,1491970.60400000,1491970.60400000
2023-01-31,97.00000000,138.70000000,95.50000000,133.30000000,97.00000000,138.70000000,95.50000000,133.30000000,2105024.39400000,2105024.39400000
2022-12-31,113.50000000,117.00000000,95.10000000,97.00000000,113.50000000,117.00000000,95.10000000,97.00000000,1257517.85800000,1257517.85800000
2022-11-30,115.00000000,126.00000000,87.00000000,113.50000000,115.00000000,126.00000000,87.00000000,113.50000000,2915282.47522000,2915282.47522000
2022-10-31,120.00000000,123.80000000,101.80000000,115.00000000,120.00000000,123.80000000,101.80000000,115.00000000,1667662.73100000,1667662.73100000
2022-09-30,115.00000000,140.20000000,106.40000000,120.10000000,115.00000000,140.20000000,106.40000000,120.10000000,3225972.89100000,3225972.89100000
2022-08-31,139.30000000,148.80000000,110.80000000,115.20000000,139.30000000,148.80000000,110.80000000,115.20000000,3112511.54800000,3112511.54800000
2022-07-31,103.20000000,165.50000000,95.20000000,139.30000000,103.20000000,165.50000000,95.20000000,139.30000000,4259952.55600000,4259952.55600000
2022-06-30,204.70000000,211.30000000,97.20000000,103.20000000,204.70000000,211.30000000,97.20000000,103.20000000,4934024.89413000,4934024.89413000
2022-05-31,277.80000000,302.60000000,156.80000000,204.60000000,277.80000000,302.60000000,156.80000000,204.60000000,3850752.73750000,3850752.73750000
2022-04-30,384.00000000,389.40000000,267.30000000,277.70000000,384.00000000,389.40000000,267.30000000,277.70000000,1543834.73000000,1543834.73000000
2022-03-31,339.00000000,391.20000000,270.00000000,384.30000000,339.00000000,391.20000000,270.00000000,384.30000000,2185543.21500000,2185543.21500000
2022-02-28,284.90000000,362.70000000,259.60000000,339.00000000,284.90000000,362.70000000,259.60000000,339.00000000,2216831.25000000,2216831.25000000
2022-01-31,430.30000000,452.40000000,259.60000000,285.00000000,430.30000000,452.40000000,259.60000000,285.00000000,2344004.70306000,2344004.70306000
2021-12-31,570.40000000,586.70000000,344.10000000,430.20000000,570.40000000,586.70000000,344.10000000,430.20000000,2724967.52727000,2724967.52727000
2021-11-30,596.90000000,731.40000000,530.80000000,570.40000000,596.90000000,731.40000000,530.80000000,570.40000000,3255189.35200000,3255189.35200000
2021-10-31,502.80000000,655.90000000,500.30000000,596.90000000,502.80000000,655.90000000,500.30000000,596.90000000,2931210.32300000,2931210.32300000
2021-09-30,636.80000000,803.60000000,471.30000000,502.60000000,636.80000000,803.60000000,471.30000000,502.60000000,3663191.86966000,3663191.86966000
2021-08-31,545.80000000,714.76000000,512.00000000,636.60000000,545.80000000,714.76000000,512.00000000,636.60000000,3681604.94779000,3681604.94779000
2021-07-31,526.80000000,558.00000000,383.53000000,545.98000000,526.80000000,558.00000000,383.53000000,545.98000000,2939853.68604000,2939853.68604000
2021-06-30,702.47000000,735.53000000,387.61000000,526.80000000,702.47000000,735.53000000,387.61000000,526.80000000,3750835.24347000,3750835.24347000
2021-05-31,995.90000000,1650.00000000,468.13000000,702.46000000,995.90000000,1650.00000000,468.13000000,702.46000000,12958559.83493000,12958559.83493000
2021-04-30,541.11000000,1219.98000000,521.07000000,995.51000000,541.11000000,1219.98000000,521.07000000,995.51000000,10226163.38614000,10226163.38614000
2021-03-31,460.17000000,608.96000000,441.47000000,541.06000000,460.17000000,608.96000000,441.47000000,541.06000000,4690715.39465000,4690715.39465000
2021-02-28,399.30000000,773.84000000,389.51000000,460.12000000,399.30000000,773.84000000,389.51000000,460.12000000,11418814.12707000,11418814.12707000
2021-01-31,342.05000000,629.79000000,331.16000000,399.30000000,342.05000000,629.79000000,331.16000000,399.30000000,13765246.48159000,13765246.48159000
2020-12-31,317.37000000,380.47000000,255.00000000,342.15000000,317.37000000,380.47000000,255.00000000,342.15000000,9557114.87184000,9557114.87184000
2020-11-30,262.00000000,372.00000000,230.00000000,317.49000000,262.00000000,372.00000000,230.00000000,317.49000000,8627868.48811000,8627868.48811000
2020-10-31,227.97000000,280.98000000,212.14000000,262.01000000,227.97000000,280.98000000,212.14000000,262.01000000,4866141.78363000,4866141.78363000
2020-09-30,273.48000000,298.05000000,200.73000000,227.96000000,273.48000000,298.05000000,200.73000000,227.96000000,4297955.12727000,4297955.12727000
