timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.07560000,0.07620000,0.06680000,0.06730000,0.07560000,0.07620000,0.06680000,0.06730000,84985999.00000000,84985999.00000000
2023-04-30,0.08570000,0.09660000,0.07140000,0.07560000,0.08570000,0.09660000,0.07140000,0.07560000,697491646.00000000,697491646.00000000
2023-03-31,0.11330000,0.11990000,0.06460000,0.08570000,0.11330000,0.11990000,0.06460000,0.08570000,1067687536.00000000,1067687536.00000000
2023-02-28,0.07420000,0.13880000,0.07210000,0.11330000,0.07420000,0.13880000,0.07210000,0.11330000,3170684042.00000000,3170684042.00000000
2023-01-31,0.04930000,0.07820000,0.04820000,0.07420000,0.04930000,0.07820000,0.04820000,0.07420000,824335680.00000000,824335680.00000000
2022-12-31,0.06530000,0.06980000,0.04860000,0.04930000,0.06530000,0.06980000,0.04860000,0.04930000,526349884.00000000,526349884.00000000
2022-11-30,0.07900000,0.09280000,0.05090000,0.06540000,0.07900000,0.09280000,0.05090000,0.06540000,1437674736.00000000,1437674736.00000000
2022-10-31,0.08940000,0.09330000,0.06900000,0.07900000,0.08940000,0.09330000,0.06900000,0.07900000,711788645.00000000,711788645.00000000
2022-09-30,0.09910000,0.11450000,0.07600000,0.08940000,0.09910000,0.11450000,0.07600000,0.08940000,1277728877.00000000,1277728877.00000000
2022-08-31,0.10200000,0.19190000,0.07210000,0.09920000,0.10200000,0.19190000,0.07210000,0.09920000,2943415451.00000000,2943415451.00000000
2022-07-31,0.08660000,0.11680000,0.07670000,0.10200000,0.08660000,0.11680000,0.07670000,0.10200000,1263560176.00000000,1263560176.00000000
2022-06-30,0.08270000,0.22000000,0.07260000,0.08660000,0.08270000,0.22000000,0.07260000,0.08660000,3904731964.00000000,3904731964.00000000
2022-05-31,0.11980000,0.14000000,0.04650000,0.08270000,0.11980000,0.14000000,0.04650000,0.08270000,1101972058.40000010,1101972058.40000010
2022-04-30,0.18610000,0.23580000,0.11750000,0.11960000,0.18610000,0.23580000,0.11750000,0.11960000,479317322.00000000,479317322.00000000
2022-03-31,0.16800000,0.21800000,0.12620000,0.18600000,0.16800000,0.21800000,0.12620000,0.18600000,676238982.00000000,676238982.00000000
2022-02-28,0.13040000,0.24750000,0.12520000,0.16800000,0.13040000,0.24750000,0.12520000,0.16800000,1214593220.00000000,1214593220.00000000
2022-01-31,0.21970000,0.24150000,0.10510000,0.13050000,0.21970000,0.24150000,0.10510000,0.13050000,666561418.90000010,666561418.90000010
2021-12-31,0.33890000,0.39900000,0.18660000,0.21980000,0.33890000,0.39900000,0.18660000,0.21980000,1549129796.00000000,1549129796.00000000
2021-11-30,0.26090000,0.41800000,0.24280000,0.33850000,0.26090000,0.41800000,0.24280000,0.33850000,1783567599.60000014,1783567599.60000014
2021-10-31,0.21290000,0.31500000,0.21060000,0.26100000,0.21290000,0.31500000,0.21060000,0.26100000,957701776.00000000,957701776.00000000
2021-09-30,0.24910000,0.32200000,0.18190000,0.21280000,0.24910000,0.32200000,0.18190000,0.21280000,1200871146.09999990,1200871146.09999990
2021-08-31,0.17194000,0.27727000,0.15763000,0.24890000,0.17194000,0.27727000,0.15763000,0.24890000,972602579.29999983,972602579.29999983
2021-07-31,0.14869000,0.18147000,0.11050000,0.17153000,0.14869000,0.18147000,0.11050000,0.17153000,1135355698.79999995,1135355698.79999995
2021-06-30,0.22341000,0.24000000,0.10819000,0.14844000,0.22341000,0.24000000,0.10819000,0.14844000,919351117.40000010,919351117.40000010
2021-05-31,0.42955000,0.49000000,0.11288000,0.22332000,0.42955000,0.49000000,0.11288000,0.22332000,1784743086.80000019,1784743086.80000019
2021-04-30,0.48910000,0.62222000,0.25689000,0.42955000,0.48910000,0.62222000,0.25689000,0.42955000,1199787804.09999990,1199787804.09999990
2021-03-31,0.17102000,0.66789000,0.16530000,0.48996000,0.17102000,0.66789000,0.16530000,0.48996000,2266747247.90000010,2266747247.90000010
2021-02-28,0.13402000,0.26766000,0.11144000,0.17114000,0.13402000,0.26766000,0.11144000,0.17114000,1597156277.90000010,1597156277.90000010
2021-01-31,0.06059000,0.16189000,0.05961000,0.13401000,0.06059000,0.16189000,0.05961000,0.13401000,1210846264.50000024,1210846264.50000024
2020-12-31,0.07722000,0.08667000,0.04521000,0.06044000,0.07722000,0.08667000,0.04521000,0.06044000,399744069.10000008,399744069.10000008
2020-11-30,0.05978000,0.10635000,0.05011000,0.07720000,0.05978000,0.10635000,0.05011000,0.07720000,452250752.19999993,452250752.19999993
2020-10-31,0.11487000,0.13100000,0.05869000,0.05991000,0.11487000,0.13100000,0.05869000,0.05991000,288305679.00000006,288305679.00000006
2020-09-30,0.16019000,0.16226000,0.07494000,0.11476000,0.16019000,0.16226000,0.07494000,0.11476000,353220128.70000005,353220128.70000005
