timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,337.50000000,339.60000000,319.50000000,321.80000000,337.50000000,339.60000000,319.50000000,321.80000000,2738735.01800000,2738735.01800000
2023-04-30,317.00000000,350.00000000,299.50000000,337.50000000,317.00000000,350.00000000,299.50000000,337.50000000,13022252.69000000,13022252.69000000
2023-03-31,301.50000000,346.30000000,265.00000000,316.90000000,301.50000000,346.30000000,265.00000000,316.90000000,13637106.40400000,13637106.40400000
2023-02-28,312.10000000,337.80000000,282.80000000,301.40000000,312.10000000,337.80000000,282.80000000,301.40000000,10977302.42800000,10977302.42800000
2023-01-31,246.30000000,323.50000000,240.70000000,312.00000000,246.30000000,323.50000000,240.70000000,312.00000000,10262168.48300000,10262168.48300000
2022-12-31,300.60000000,302.00000000,220.00000000,246.30000000,300.60000000,302.00000000,220.00000000,246.30000000,10945730.62700000,10945730.62700000
2022-11-30,325.80000000,398.30000000,250.00000000,300.60000000,325.80000000,398.30000000,250.00000000,300.60000000,20493005.68300000,20493005.68300000
2022-10-31,284.90000000,337.90000000,256.80000000,325.70000000,284.90000000,337.90000000,256.80000000,325.70000000,8998318.31900000,8998318.31900000
2022-09-30,279.30000000,300.00000000,256.70000000,284.80000000,279.30000000,300.00000000,256.70000000,284.80000000,11042786.76400000,11042786.76400000
2022-08-31,283.50000000,336.80000000,272.30000000,279.20000000,283.50000000,336.80000000,272.30000000,279.20000000,15761599.54400000,15761599.54400000
2022-07-31,219.60000000,302.00000000,213.50000000,283.40000000,219.60000000,302.00000000,213.50000000,283.40000000,17406679.06600000,17406679.06600000
2022-06-30,321.00000000,324.50000000,183.40000000,219.60000000,321.00000000,324.50000000,183.40000000,219.60000000,25167392.68570000,25167392.68570000
2022-05-31,377.10000000,413.60000000,218.80000000,320.90000000,377.10000000,413.60000000,218.80000000,320.90000000,35345315.09350001,35345315.09350001
2022-04-30,428.90000000,460.00000000,376.30000000,377.10000000,428.90000000,460.00000000,376.30000000,377.10000000,18734022.95000000,18734022.95000000
2022-03-31,395.70000000,452.30000000,359.50000000,428.90000000,395.70000000,452.30000000,359.50000000,428.90000000,19507996.78400000,19507996.78400000
2022-02-28,374.40000000,445.40000000,323.50000000,395.60000000,374.40000000,445.40000000,323.50000000,395.60000000,21315454.12000000,21315454.12000000
2022-01-31,511.50000000,533.90000000,336.00000000,374.30000000,511.50000000,533.90000000,336.00000000,374.30000000,29739135.34700001,29739135.34700001
2021-12-31,622.50000000,649.80000000,489.20000000,511.40000000,622.50000000,649.80000000,489.20000000,511.40000000,30148546.27500000,30148546.27500000
2021-11-30,524.60000000,669.30000000,510.00000000,622.50000000,524.60000000,669.30000000,510.00000000,622.50000000,39485176.55960000,39485176.55960000
2021-10-31,387.50000000,540.50000000,381.50000000,524.60000000,387.50000000,540.50000000,381.50000000,524.60000000,36199498.16350000,36199498.16350000
2021-09-30,463.90000000,509.90000000,320.00000000,387.50000000,463.90000000,509.90000000,320.00000000,387.50000000,38737545.28240000,38737545.28240000
2021-08-31,332.38000000,518.94000000,317.02000000,463.90000000,332.38000000,518.94000000,317.02000000,463.90000000,47408854.23390000,47408854.23390000
2021-07-31,303.75000000,340.00000000,254.52000000,332.38000000,303.75000000,340.00000000,254.52000000,332.38000000,42951736.78140000,42951736.78140000
2021-06-30,353.37000000,433.00000000,225.42000000,303.71000000,353.37000000,433.00000000,225.42000000,303.71000000,81593138.71619999,81593138.71619999
2021-05-31,622.64000000,691.77000000,211.70000000,353.33000000,622.64000000,691.77000000,211.70000000,353.33000000,134587758.87999997,134587758.87999997
2021-04-30,302.45910000,638.56730000,300.70000000,622.65000000,302.45910000,638.56730000,300.70000000,622.65000000,128716600.92150001,128716600.92150001
2021-03-31,210.11770000,316.69970000,209.12040000,302.37240000,210.11770000,316.69970000,209.12040000,302.37240000,120847150.58600001,120847150.58600001
2021-02-28,44.32910000,348.69690000,43.43310000,210.21380000,44.32910000,348.69690000,43.43310000,210.21380000,232104898.34599996,232104898.34599996
2021-01-31,37.35960000,47.21870000,35.03740000,44.32920000,37.35960000,47.21870000,35.03740000,44.32920000,108685854.13700001,108685854.13700001
2020-12-31,31.49350000,39.99990000,26.72730000,37.35880000,31.49350000,39.99990000,26.72730000,37.35880000,81889998.06000000,81889998.06000000
2020-11-30,28.50580000,35.43380000,25.74990000,31.49350000,28.50580000,35.43380000,25.74990000,31.49350000,80529464.34400000,80529464.34400000
2020-10-31,29.26960000,32.37880000,25.66520000,28.50580000,29.26960000,32.37880000,25.66520000,28.50580000,81019994.54300000,81019994.54300000
2020-09-30,23.14810000,33.38880000,18.01100000,29.26560000,23.14810000,33.38880000,18.01100000,29.26560000,145525582.49399996,145525582.49399996
