timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.46710000,0.48770000,0.45300000,0.45600000,0.46710000,0.48770000,0.45300000,0.45600000,3809974.20000000,3809974.20000000
2023-04-30,0.56580000,0.64220000,0.44910000,0.46720000,0.56580000,0.64220000,0.44910000,0.46720000,63923796.59999999,63923796.59999999
2023-03-31,0.45800000,0.62000000,0.37400000,0.56720000,0.45800000,0.62000000,0.37400000,0.56720000,60200159.60000000,60200159.60000000
2023-02-28,0.42400000,0.56500000,0.40600000,0.45600000,0.42400000,0.56500000,0.40600000,0.45600000,50841973.20000000,50841973.20000000
2023-01-31,0.35000000,0.44500000,0.33600000,0.42400000,0.35000000,0.44500000,0.33600000,0.42400000,57283845.50000000,57283845.50000000
2022-12-31,0.38900000,0.49400000,0.32100000,0.35000000,0.38900000,0.49400000,0.32100000,0.35000000,48292816.70000000,48292816.70000000
2022-11-30,0.47400000,0.52700000,0.33200000,0.38900000,0.47400000,0.52700000,0.33200000,0.38900000,49138403.20000001,49138403.20000001
2022-10-31,0.43100000,0.49900000,0.39700000,0.47500000,0.43100000,0.49900000,0.39700000,0.47500000,55037356.50000001,55037356.50000001
2022-09-30,0.45900000,0.65700000,0.41000000,0.43100000,0.45900000,0.65700000,0.41000000,0.43100000,89365215.20000002,89365215.20000002
2022-08-31,0.56300000,0.67500000,0.43400000,0.45900000,0.56300000,0.67500000,0.43400000,0.45900000,73346122.69999997,73346122.69999997
2022-07-31,0.48900000,0.60600000,0.41600000,0.56300000,0.48900000,0.60600000,0.41600000,0.56300000,83732263.30000001,83732263.30000001
2022-06-30,1.33400000,1.47900000,0.43700000,0.49100000,1.33400000,1.47900000,0.43700000,0.49100000,73744106.28999999,73744106.28999999
2022-05-31,1.98800000,2.12300000,1.20100000,1.33500000,1.98800000,2.12300000,1.20100000,1.33500000,17605139.94000000,17605139.94000000
2022-04-30,2.68500000,2.96600000,1.95000000,1.98700000,2.68500000,2.96600000,1.95000000,1.98700000,17380743.00000000,17380743.00000000
2022-03-31,2.43800000,2.87000000,2.08100000,2.68700000,2.43800000,2.87000000,2.08100000,2.68700000,9521171.30000000,9521171.30000000
2022-02-28,2.50800000,2.92900000,1.94200000,2.43500000,2.50800000,2.92900000,1.94200000,2.43500000,7569601.12000000,7569601.12000000
2022-01-31,3.21200000,3.57100000,2.08700000,2.50800000,3.21200000,3.57100000,2.08700000,2.50800000,9924497.40000000,9924497.40000000
2021-12-31,4.10400000,4.31900000,2.85100000,3.21300000,4.10400000,4.31900000,2.85100000,3.21300000,9925515.87000000,9925515.87000000
2021-11-30,4.24400000,5.02220000,3.69700000,4.09700000,4.24400000,5.02220000,3.69700000,4.09700000,20230546.40000000,20230546.40000000
2021-10-31,3.46500000,4.39400000,3.42200000,4.24500000,3.46500000,4.39400000,3.42200000,4.24500000,9601634.90000000,9601634.90000000
2021-09-30,4.30900000,4.86600000,3.19200000,3.46600000,4.30900000,4.86600000,3.19200000,3.46600000,18130736.60000000,18130736.60000000
2021-08-31,3.53220000,4.85260000,3.37460000,4.30600000,3.53220000,4.85260000,3.37460000,4.30600000,36191429.04000000,36191429.04000000
2021-07-31,3.35380000,3.62000000,2.49020000,3.53830000,3.35380000,3.62000000,2.49020000,3.53830000,9775574.25000000,9775574.25000000
2021-06-30,4.75420000,4.97320000,2.66000000,3.35960000,4.75420000,4.97320000,2.66000000,3.35960000,24884776.45000000,24884776.45000000
2021-05-31,6.90470000,8.44000000,3.06650000,4.75850000,6.90470000,8.44000000,3.06650000,4.75850000,35325241.59000001,35325241.59000001
2021-04-30,7.44300000,8.20000000,5.48130000,6.90610000,7.44300000,8.20000000,5.48130000,6.90610000,26045101.20999999,26045101.20999999
2021-03-31,4.82660000,9.36890000,4.77200000,7.43500000,4.82660000,9.36890000,4.77200000,7.43500000,68388591.11000001,68388591.11000001
2021-02-28,1.87210000,6.78800000,1.82970000,4.82100000,1.87210000,6.78800000,1.82970000,4.82100000,110729304.60000001,110729304.60000001
2021-01-31,1.26480000,2.10850000,1.22220000,1.87580000,1.26480000,2.10850000,1.22220000,1.87580000,43914761.80000000,43914761.80000000
2020-12-31,1.02200000,1.91940000,0.92020000,1.26280000,1.02200000,1.91940000,0.92020000,1.26280000,107793369.11000001,107793369.11000001
2020-11-30,0.58630000,1.19880000,0.51350000,1.01670000,0.58630000,1.19880000,0.51350000,1.01670000,42547010.18999999,42547010.18999999
2020-10-31,1.15860000,1.43500000,0.54240000,0.58630000,1.15860000,1.43500000,0.54240000,0.58630000,29943530.68000000,29943530.68000000
2020-09-30,1.76740000,1.81190000,0.71230000,1.15860000,1.76740000,1.81190000,0.71230000,1.15860000,28097194.24000001,28097194.24000001
