timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-10-24,20.53000000,45.00000000,15.59000000,17.65000000,20.53000000,45.00000000,15.59000000,17.65000000,1767706.37000000,1767706.37000000
2022-09-30,22.95000000,28.00000000,20.09000000,20.55000000,22.95000000,28.00000000,20.09000000,20.55000000,600878.73000000,600878.73000000
2022-08-31,30.54000000,34.34000000,21.77000000,22.92000000,30.54000000,34.34000000,21.77000000,22.92000000,1098681.50000000,1098681.50000000
2022-07-31,15.43000000,38.50000000,14.48000000,30.54000000,15.43000000,38.50000000,14.48000000,30.54000000,2099067.67000000,2099067.67000000
2022-06-30,23.31000000,24.50000000,13.50000000,15.59000000,23.31000000,24.50000000,13.50000000,15.59000000,725074.53000000,725074.53000000
2022-05-31,27.69000000,34.50000000,14.88000000,23.32000000,27.69000000,34.50000000,14.88000000,23.32000000,1500769.98000000,1500769.98000000
2022-04-30,41.96000000,46.09000000,27.50000000,27.69000000,41.96000000,46.09000000,27.50000000,27.69000000,953960.04000000,953960.04000000
2022-03-31,32.02000000,48.50000000,27.77000000,41.92000000,32.02000000,48.50000000,27.77000000,41.92000000,1230798.97000000,1230798.97000000
2022-02-28,29.57000000,38.37000000,24.78000000,32.01000000,29.57000000,38.37000000,24.78000000,32.01000000,410350.01000000,410350.01000000
2022-01-31,40.60000000,44.15000000,25.77000000,29.56000000,40.60000000,44.15000000,25.77000000,29.56000000,564650.98900000,564650.98900000
2021-12-31,55.32000000,58.70000000,32.81000000,40.48000000,55.32000000,58.70000000,32.81000000,40.48000000,669521.99500000,669521.99500000
2021-11-30,65.44000000,75.96000000,51.83000000,55.40000000,65.44000000,75.96000000,51.83000000,55.40000000,763115.67000000,763115.67000000
2021-10-31,51.69000000,77.73000000,50.93000000,65.43000000,51.69000000,77.73000000,50.93000000,65.43000000,1229537.20000000,1229537.20000000
2021-09-30,76.16000000,88.60000000,48.27000000,51.63000000,76.16000000,88.60000000,48.27000000,51.63000000,798334.39800000,798334.39800000
2021-08-31,51.47100000,93.23000000,48.40300000,75.92000000,51.47100000,93.23000000,48.40300000,75.92000000,1799217.98900000,1799217.98900000
2021-07-31,50.43600000,55.00000000,33.64300000,51.59400000,50.43600000,55.00000000,33.64300000,51.59400000,782304.66200000,782304.66200000
2021-06-30,59.71000000,84.55500000,29.14000000,50.33500000,59.71000000,84.55500000,29.14000000,50.33500000,3290247.63800000,3290247.63800000
2021-05-31,93.39800000,169.00000000,37.30000000,59.71200000,93.39800000,169.00000000,37.30000000,59.71200000,3188510.03800000,3188510.03800000
